Frequency (Hz),Magnitude (db)
0.0,1.1571929598639439e-14
1.0,-12.620409200100353
2.0,-14.461213445162585
3.0,-17.982967187391814
4.0,-24.661394709724327
5.0,-298.02619250455854
6.0,-28.182934131633917
7.0,-25.341931373747492
8.0,-26.50155598959698
9.0,-31.70411634078851
10.0,-298.02734246166074
11.0,-33.44654830855231
12.0,-30.022238075225317
13.0,-30.717122970728763
14.0,-35.54018362849929
15.0,-298.0154821837124
16.0,-36.69916517760294
17.0,-33.045519567870684
18.0,-33.54149107144178
19.0,-38.19033702877627
20.0,-298.05862015801216
21.0,-39.0585075854404
22.0,-35.28220794338638
23.0,-35.66766788571153
24.0,-40.21641703770405
25.0,-298.0534051826331
26.0,-40.91022980246546
27.0,-37.05752772204217
28.0,-37.37262684991153
29.0,-41.85636415053266
30.0,-298.0130521627874
31.0,-42.433922526054396
32.0,-38.52903469630833
33.0,-38.795384579715055
34.0,-43.23347894327675
35.0,-298.0420711251578
36.0,-43.727948722128865
37.0,-39.785136464272995
38.0,-40.015701343591914
39.0,-44.41997312803177
40.0,-298.0617997398389
41.0,-44.852069675596184
42.0,-40.88043831754284
43.0,-41.08360571934249
44.0,-45.461798360601236
45.0,-298.0507374407768
46.0,-45.845326240789845
47.0,-41.851043308809174
48.0,-42.0325515450681
49.0,-46.390013144716555
50.0,-298.05386955817903
51.0,-46.73463280951354
52.0,-42.722069145699486
53.0,-42.88601672685609
54.0,-47.22659566355054
55.0,-298.0367453490066
56.0,-47.5393314334904
57.0,-43.51169728831303
58.0,-43.66111337297721
59.0,-47.987671100220666
60.0,-298.0542901001833
61.0,-48.27379036353175
62.0,-44.2335128698696
63.0,-44.37069949698551
64.0,-48.68542141988446
65.0,-298.05461786617565
66.0,-48.94897547435154
67.0,-44.89793419368398
68.0,-45.02468174450584
69.0,-49.32927462267571
70.0,-298.0542900565138
71.0,-49.57344626143947
72.0,-45.513126361222675
73.0,-45.630854715304
74.0,-49.92667691425516
75.0,-298.0525788590403
76.0,-50.15401209921802
77.0,-46.0856074670542
78.0,-46.19546161941231
79.0,-50.483611876495914
80.0,-298.0617997398389
81.0,-50.696178986461355
82.0,-46.62066371126298
83.0,-46.72358041206286
84.0,-51.004960023475896
85.0,-298.0453916378184
86.0,-51.20446224911057
87.0,-47.122641441296985
88.0,-47.219396794119646
89.0,-51.494754233600794
90.0,-298.04435904792393
91.0,-51.68261074243773
92.0,-47.595157467823846
93.0,-47.68640166262199
94.0,-51.956365269181575
95.0,-298.0329746011313
96.0,-52.13377100582819
97.0,-48.04125365051487
98.0,-48.127536790102575
99.0,-52.39263915884263
100.0,-298.05824130953926
101.0,-52.56060969161161
102.0,-48.46351258634118
103.0,-48.54530421335767
104.0,-52.80600069443626
105.0,-298.0449867108346
106.0,-52.9654063819134
107.0,-48.86414558474527
108.0,-48.941849667201865
109.0,-53.19853260211872
110.0,-298.0576915622029
111.0,-53.35012499306544
112.0,-49.24506053313506
113.0,-49.31902711965275
114.0,-53.57203694161243
115.0,-298.0493769723366
116.0,-53.71646943470032
117.0,-49.607914928413585
118.0,-49.67844932348235
119.0,-53.928083315775396
120.0,-298.0617997398389
121.0,-54.065927514458494
122.0,-49.954157802930496
123.0,-50.02152786955682
124.0,-54.268047150884236
125.0,-298.05503153650363
126.0,-54.399805946748465
127.0,-50.28506322377378
128.0,-50.34950525414696
129.0,-54.59314040484549
130.0,-298.0488234304655
131.0,-54.71925854451656
132.0,-50.60175731944799
133.0,-50.66348079785732
134.0,-54.90443643245064
135.0,-298.0490236211608
136.0,-55.02530912734645
137.0,-50.905240278952746
138.0,-50.964431778652816
139.0,-55.20289029296673
140.0,-298.05463026358694
141.0,-55.318870291336744
142.0,-51.19640440536927
143.0,-51.25323080172365
144.0,-55.48935546713385
145.0,-298.0544147488785
146.0,-55.60075890656849
147.0,-51.476049043719755
148.0,-51.53066018268733
149.0,-55.76459771939394
150.0,-298.06014293312865
151.0,-55.8717090037339
152.0,-51.744893010782704
153.0,-51.797423939893264
154.0,-56.02930667104154
155.0,-298.0550391186128
156.0,-56.132382560529436
157.0,-52.003585012241025
158.0,-52.0541578573954
159.0,-56.28410552337808
160.0,-298.0617997398389
161.0,-56.383378585579734
162.0,-52.25271242595099
163.0,-52.30143797943179
164.0,-56.52955927472401
165.0,-298.0606082718756
166.0,-56.6252408124501
167.0,-52.492808749470896
168.0,-52.53978782088615
169.0,-56.76618170281293
170.0,-298.0499142022244
171.0,-56.85846425133942
172.0,-52.72435994838571
173.0,-52.769684519773186
174.0,-56.99444132864373
175.0,-298.03327009175274
176.0,-57.08350079606676
177.0,-52.94780989449101
178.0,-52.9915641126818
179.0,-57.21476653499159
180.0,-298.0598107041978
181.0,-57.30076404519562
182.0,-53.16356504601386
183.0,-53.20582607900504
184.0,-57.427549979361096
185.0,-298.0516817295879
186.0,-57.510633465823986
187.0,-53.37199849316356
188.0,-53.41283727225695
189.0,-57.633152414917134
190.0,-298.02957871751045
191.0,-57.71345800469224
192.0,-53.57345346952152
193.0,-53.61293533502926
194.0,-57.83190601216771
195.0,-298.057364186031
196.0,-57.90955923232155
197.0,-53.76824641168325
198.0,-53.806431676846465
199.0,-58.02411725764045
200.0,-298.0617997398389
201.0,-58.0992340907741
202.0,-53.95666963510122
203.0,-53.99361408033591
204.0,-58.210069492543624
205.0,-298.05133231302693
206.0,-58.282757303480956
207.0,-54.13899368244028
208.0,-54.1747489899824
209.0,-58.390025143724316
210.0,-298.0551871294963
211.0,-58.46038349576769
212.0,-54.31546939134886
213.0,-54.35008352870906
214.0,-58.56422769057106
215.0,-298.0419614000971
216.0,-58.63234906672976
217.0,-54.48632972088763
218.0,-54.519847280176
219.0,-58.73290340445307
220.0,-298.06026608560325
221.0,-58.79887384659918
222.0,-54.65179136960217
223.0,-54.68425386866941
224.0,-58.89626289150057
225.0,-298.03978246081715
226.0,-58.96016256839084
227.0,-54.81205621307793
228.0,-54.84350236350656
229.0,-59.054502464770735
230.0,-298.0529812731247
231.0,-59.116406178208045
232.0,-54.96731258456953
233.0,-54.99777853078952
234.0,-59.20780536790197
235.0,-298.0555621497531
236.0,-59.267783004929484
237.0,-55.11773641877348
238.0,-55.14725595194798
239.0,-59.35634286908925
240.0,-298.0617997398389
241.0,-59.414459806957694
242.0,-55.263492275879294
243.0,-55.29209702567853
244.0,-59.5002752414802
245.0,-298.05691367488055
246.0,-59.556592711166644
247.0,-55.40473426057921
248.0,-55.43245386752048
249.0,-59.63975264380596
250.0,-298.03903304681205
251.0,-59.694328057052594
252.0,-55.541606848656855
253.0,-55.568469119316916
254.0,-59.7749159131365
255.0,-298.054320000963
256.0,-59.82780315729595
257.0,-55.674245632038506
258.0,-55.70027667913088
259.0,-59.90589728002719
260.0,-298.0587771310803
261.0,-59.9571469844237
262.0,-55.80277799172097
263.0,-55.82800236076548
264.0,-60.03282101494786
265.0,-298.052120963142
266.0,-60.0824807919729
267.0,-55.9273237067446
268.0,-55.95176449082931
269.0,-60.15580401371715
270.0,-298.05523750854616
271.0,-60.20391867746171
272.0,-56.04799550631698
273.0,-56.07167445026122
274.0,-60.274956328669006
275.0,-298.0520310571353
276.0,-60.32156809353616
277.0,-56.16489957128715
278.0,-56.18783716634773
279.0,-60.39038165142433
280.0,-298.0617997398389
281.0,-60.435530312862234
282.0,-56.27813599039182
283.0,-56.30035156051416
284.0,-60.50217775241181
285.0,-298.06024169760906
286.0,-60.54590085164133
287.0,-56.38779917602854
288.0,-56.40931095652125
289.0,-60.61043688165101
290.0,-298.0527156561593
291.0,-60.652769856038525
292.0,-56.493978243733345
293.0,-56.514803453140374
294.0,-60.715246134768265
295.0,-298.03582651971175
296.0,-60.75622245529598
297.0,-56.596757359045036
298.0,-56.61691226489772
299.0,-60.81668778774761
300.0,-298.0595920379971
301.0,-60.8563390848649
302.0,-56.69621605500528
303.0,-56.71571603405782
304.0,-60.91483960350955
305.0,-298.0483847114625
306.0,-60.95319578250116
307.0,-56.792429523170526
308.0,-56.811289116653356
309.0,-61.00977511305858
310.0,-298.04607867395066
311.0,-61.04686445993647
312.0,-56.885468880684975
313.0,-56.90370184505055
314.0,-61.101563873629175
315.0,-298.0558665244556
316.0,-61.137413152443074
317.0,-56.97540141567936
318.0,-56.99302076926237
319.0,-61.190271705992316
320.0,-298.0617997398389
321.0,-61.224906248355715
322.0,-57.06229081301129
323.0,-57.079308878979546
324.0,-61.27596091284686
325.0,-298.04992960784307
326.0,-61.30940470038823
327.0,-57.14619736214428
328.0,-57.162625808075475
329.0,-61.35869048001358
330.0,-298.0570143725927
331.0,-61.390966220388385
332.0,-57.22717814877094
333.0,-57.243028023155546
334.0,-61.43851626196667
335.0,-298.03375555886925
336.0,-61.46964545899728
337.0,-57.305287231616006
338.0,-57.32056899755543
339.0,-61.51549115307732
340.0,-298.05693509000105
341.0,-61.54549417153005
342.0,-57.380575805707075
343.0,-57.39529937204751
344.0,-61.58966524580126
345.0,-298.0403846796478
346.0,-61.61856137125751
347.0,-57.453092353267124
348.0,-57.46726710338602
349.0,-61.661085976917036
350.0,-298.05336053610654
351.0,-61.68889347114947
352.0,-57.52288278326766
353.0,-57.5365176017075
354.0,-61.729798262810476
355.0,-298.0550637906377
356.0,-61.75653441503297
357.0,-57.58999056057644
358.0,-57.60309385770132
359.0,-61.79584462470066
360.0,-298.0617997398389
361.0,-61.8215257990265
362.0,-57.65445682554191
363.0,-57.667036560374754
364.0,-61.85926530461596
365.0,-298.05714675686465
366.0,-61.88390698402408
367.0,-57.716320504773876
368.0,-57.728384206158154
369.0,-61.92009837284977
370.0,-298.0494309913221
371.0,-61.94371519993075
372.0,-57.775618413807095
373.0,-57.787173200020746
374.0,-61.978379827553674
375.0,-298.0287603037881
376.0,-62.000985642281506
377.0,-57.83238535226766
378.0,-57.843437949207505
379.0,-62.034143687066006
380.0,-298.05561017121624
381.0,-62.055751561817736
382.0,-57.886654192104714
383.0,-57.89721095014591
384.0,-62.08742207551434
385.0,-298.0547278164313
386.0,-62.108044347539256
387.0,-57.93845595939541
388.0,-57.948522869022774
389.0,-62.1382453021818
390.0,-298.0562414941213
391.0,-62.15789360370232
392.0,-57.98781991018494
393.0,-57.99740261648276
394.0,-62.18664193508049
395.0,-298.0563580687484
396.0,-62.205327221191055
397.0,-58.03477360078009
398.0,-58.04387741685915
399.0,-62.23263886913452
400.0,-298.0617997398389
401.0,-62.2503714436487
402.0,-58.07934295287546
403.0,-58.087972872309294
404.0,-62.27626138933813
405.0,-298.05455903323684
406.0,-62.29305092872018
407.0,-58.12155231385819
408.0,-58.129713022193386
409.0,-62.31753322922086
410.0,-298.0587790829796
411.0,-62.3333888047257
412.0,-58.161424512603034
413.0,-58.16912039800259
414.0,-62.356476624919836
415.0,-298.04086953711743
416.0,-62.37140672305486
417.0,-58.19898091104287
418.0,-58.20621607411659
419.0,-62.3931123651342
420.0,-298.0589702162396
421.0,-62.40712490654406
422.0,-58.23424145177243
423.0,-58.24101971464258
424.0,-62.427459837209156
425.0,-298.05795278518883
426.0,-62.44056219407664
427.0,-58.26722470191945
428.0,-58.273549616566115
429.0,-62.45953706957419
430.0,-298.03768777746535
431.0,-62.471736081621465
432.0,-58.297947893495284
