Frequency (Hz),Magnitude (db)
0.0,9.643274665532866e-15
1.0,-19.228186073227818
2.0,-19.664016699109748
3.0,-20.410991255519733
4.0,-21.504692353672453
5.0,-23.00689053355741
6.0,-25.026231775582076
7.0,-27.76995544187539
8.0,-31.704359243544033
9.0,-38.31189321391563
10.0,-299.05677732962874
11.0,-40.05432518167935
12.0,-35.225041329172306
13.0,-33.14514703885663
14.0,-32.3834812724476
15.0,-32.546457849740065
16.0,-33.54246282155129
17.0,-35.473543635998524
18.0,-38.744294325388665
19.0,-44.79811390190299
20.0,-299.0668076518442
21.0,-45.66628445856704
22.0,-40.48501119733319
23.0,-38.09569195383935
24.0,-37.05971468165253
25.0,-36.97771615691458
26.0,-37.75352744641397
27.0,-39.485551790169964
28.0,-42.57543010385824
29.0,-48.46414102365895
30.0,-299.0608987009468
31.0,-49.041699399180615
32.0,-43.731837950254956
33.0,-41.22340864784283
34.0,-40.07677658722541
35.0,-39.89169901879727
36.0,-40.57124636607756
37.0,-42.21316053240075
38.0,-45.218504597538434
39.0,-51.02775000115764
40.0,-299.0848501887865
41.0,-51.45984654872198
42.0,-46.08324157148929
43.0,-43.51162978747021
44.0,-42.305096004550066
45.0,-42.063145994386915
46.0,-42.68862388473871
47.0,-44.27906737693688
48.0,-47.235354799014445
49.0,-52.997790017842014
50.0,-299.07838264907303
51.0,-53.34240968263893
52.0,-47.924872399645764
53.0,-45.31404079498376
54.0,-44.06989330749954
55.0,-43.79183799840314
56.0,-44.38262907743945
57.0,-45.939721356440685
58.0,-48.86391662692339
59.0,-54.59544797334571
60.0,-299.0763501264573
61.0,-54.881567236656714
62.0,-49.4363161238157
63.0,-46.79872356511312
64.0,-45.52871906383365
65.0,-45.22566504723799
66.0,-45.792273118300756
67.0,-47.32595826181158
68.0,-50.22748499845186
69.0,-55.937051495800354
70.0,-299.07282612188703
71.0,-56.18122313456403
72.0,-50.7159296151686
73.0,-48.05887878343157
74.0,-46.76997455820451
75.0,-46.44855525707314
76.0,-46.997309743167406
77.0,-48.513631535181744
78.0,-51.398264873358144
79.0,-57.09138874962015
80.0,-299.0848501887865
81.0,-57.30395585958548
82.0,-51.82346696520872
83.0,-49.15160448019037
84.0,-47.848257667425415
85.0,-47.51275092619028
86.0,-48.04775989306012
87.0,-49.550665509424476
88.0,-52.4222000480653
89.0,-58.10253110672461
90.0,-299.07744140557094
91.0,-58.290387615561485
92.0,-52.797960721769435
93.0,-50.11442573074946
94.0,-48.79966291313124
95.0,-48.45298807763469
96.0,-48.97706864977792
97.0,-50.469277718642324
98.0,-53.33034004404808
99.0,-59.00041603196605
100.0,-299.073422404298
101.0,-59.16838656473496
102.0,-53.66631584028661
103.0,-50.973328281485095
104.0,-49.64929833838612
105.0,-49.293536232898845
106.0,-49.8087040258633
107.0,-51.29216965287267
108.0,-54.14465292114719
109.0,-59.80630947524176
110.0,-299.0759995206901
111.0,-59.9579018661884
112.0,-54.4478637870803
113.0,-51.747051187780116
114.0,-50.415334585562455
115.0,-50.05202041301976
116.0,-50.55976707865038
117.0,-52.03593899654095
118.0,-54.8812525774275
119.0,-60.53586018889803
120.0,-299.0848501887865
121.0,-60.6737043875811
122.0,-55.156961056875566
123.0,-52.449551937684134
124.0,-51.11134479483443
125.0,-50.74164340044483
126.0,-51.243103590698695
127.0,-52.7130872919011
128.0,-55.55230850809194
129.0,-61.20091727796773
130.0,-299.0794527198717
131.0,-61.32703541763874
132.0,-55.80456057339293
133.0,-53.09150486598461
134.0,-51.747734076400995
135.0,-51.37255005407064
136.0,-51.868606771296854
137.0,-53.33326434708002
138.0,-56.167235032597645
139.0,-61.81066716608861
140.0,-299.0738577213795
141.0,-61.92664716445853
142.0,-56.399207659314044
143.0,-53.68125486985089
144.0,-52.33265311108438
145.0,-51.95270280840461
146.0,-52.44405655051903
147.0,-53.90407311184696
148.0,-56.73346343663201
149.0,-62.37237459251543
150.0,-299.075310427919
151.0,-62.479485876855335
152.0,-56.9476962647273
153.0,-54.22544800802044
154.0,-52.872604314992216
155.0,-52.48846453380331
156.0,-52.97568020448015
157.0,-54.4316090803682
158.0,-57.256961111339926
159.0,-62.8918823964992
160.0,-299.0848501887865
161.0,-62.991155458700746
162.0,-57.45551567989545
163.0,-54.72946204755897
164.0,-53.37285691867485
165.0,-52.98499881140715
166.0,-53.46853845640098
167.0,-54.92083281759801
168.0,-57.74259107483048
169.0,-63.37395857593367
170.0,-299.08156024235797
171.0,-63.46624112446011
172.0,-57.92716320233001
173.0,-55.19770858790029
174.0,-53.83773897259473
175.0,-53.446552224662
176.0,-53.92679844001778
177.0,-55.375833962618096
178.0,-58.19436736662601
179.0,-63.822543408112
180.0,-299.0821393162077
181.0,-63.908540918315936
182.0,-58.36636829995798
183.0,-55.633850147132094
184.0,-54.270847623312235
