Frequency (Hz),Magnitude (db)
0.0,-316.93495037609745
1.0,-316.7447817793344
2.0,-313.21257104204585
3.0,-310.42558798591637
4.0,-306.7852390282249
5.0,1.928654933106574e-15
6.0,-306.46948412829994
7.0,-310.5039859335642
8.0,-312.8245097974725
9.0,-316.4255781380093
10.0,-316.2148866627154
11.0,-315.4003732296823
12.0,-312.7682116944153
13.0,-311.68645400413476
14.0,-306.6682160150672
15.0,-9.542425094393247
16.0,-306.8676279675791
17.0,-311.9935641395444
18.0,-314.1507216724859
19.0,-315.6323190387604
20.0,-316.57813902100577
21.0,-316.18917723240935
22.0,-314.0675264859318
23.0,-310.3333655063529
24.0,-306.50543616129426
25.0,-13.979400086720373
26.0,-306.2806037022687
27.0,-310.1531093895472
28.0,-313.43602963506464
29.0,-315.0519948053762
30.0,-317.01608537412244
31.0,-315.60320119010595
32.0,-313.420798931639
33.0,-310.5385139019253
34.0,-306.5535821042204
35.0,-16.90196080028513
36.0,-306.4420935058164
37.0,-310.3111763232058
38.0,-313.4223763110101
39.0,-316.10643101597634
40.0,-315.6089352547972
41.0,-315.0030258415669
42.0,-313.0027944652702
43.0,-310.59734429029896
44.0,-306.0143236671092
45.0,-19.084850188786486
46.0,-306.37353469351063
47.0,-309.691796148111
48.0,-314.3148342134953
49.0,-313.9366794532303
50.0,-315.48896953547217
51.0,-316.027436726991
52.0,-313.4160324661077
53.0,-310.45368404602726
54.0,-306.4395740163929
55.0,-20.82785370316449
56.0,-306.63228444336505
57.0,-311.06660486353746
58.0,-312.8265388657125
59.0,-313.3882048152688
60.0,-315.8928135593295
61.0,-316.8113379098967
62.0,-314.12927595453203
63.0,-310.78389965278245
64.0,-306.77820793344233
65.0,-22.278867046136718
66.0,-305.8427459451497
67.0,-310.3729994661923
68.0,-312.6623698344877
69.0,-313.6691570173024
70.0,-317.0077264111193
71.0,-314.56470631357774
72.0,-314.2419710293729
73.0,-310.76714641420375
74.0,-307.01974167487157
75.0,-23.52182518111361
76.0,-306.47343153423486
77.0,-311.0764877278611
78.0,-313.37787301966017
79.0,-314.6633861459609
80.0,-315.13583223738044
81.0,-315.49152592574364
82.0,-314.1803306794927
83.0,-310.74814668857704
84.0,-306.3252212054292
85.0,-24.608978427565454
86.0,-306.4471332119304
87.0,-310.0233299460107
88.0,-313.6452992995435
89.0,-314.56311173769683
90.0,-313.7546704172036
91.0,-316.2650776097045
92.0,-313.6764257207852
93.0,-310.54347299049635
94.0,-306.8064170409036
95.0,-25.57507201905656
96.0,-306.56445273750063
97.0,-309.8035934864441
98.0,-311.47074625280317
99.0,-314.45512765642025
100.0,-316.1188215475027
