Frequency (Hz),Magnitude (db)
0.0,0.0
1.0,-333.62482474751175
2.0,-333.62482474751175
3.0,-333.62482474751175
4.0,-333.62482474751175
5.0,-333.62482474751175
6.0,-333.62482474751175
7.0,-333.62482474751175
8.0,-333.62482474751175
9.0,-333.62482474751175
10.0,-333.62482474751175
11.0,-333.62482474751175
12.0,-333.62482474751175
13.0,-333.62482474751175
14.0,-333.62482474751175
15.0,-333.62482474751175
16.0,-333.62482474751175
17.0,-333.62482474751175
18.0,-333.62482474751175
19.0,-333.62482474751175
20.0,-333.62482474751175
21.0,-333.62482474751175
22.0,-333.62482474751175
23.0,-333.62482474751175
24.0,-333.62482474751175
25.0,-333.62482474751175
26.0,-333.62482474751175
27.0,-333.62482474751175
28.0,-333.62482474751175
29.0,-333.62482474751175
30.0,-333.62482474751175
31.0,-333.62482474751175
32.0,-333.62482474751175
33.0,-333.62482474751175
34.0,-333.62482474751175
35.0,-333.62482474751175
36.0,-333.62482474751175
37.0,-333.62482474751175
38.0,-333.62482474751175
39.0,-333.62482474751175
40.0,-333.62482474751175
41.0,-333.62482474751175
42.0,-333.62482474751175
43.0,-333.62482474751175
44.0,-333.62482474751175
45.0,-333.62482474751175
46.0,-333.62482474751175
47.0,-333.62482474751175
48.0,-333.62482474751175
49.0,-333.62482474751175
50.0,-333.62482474751175
51.0,-333.62482474751175
52.0,-333.62482474751175
53.0,-333.62482474751175
54.0,-333.62482474751175
55.0,-333.62482474751175
56.0,-333.62482474751175
57.0,-333.62482474751175
58.0,-333.62482474751175
59.0,-333.62482474751175
60.0,-333.62482474751175
61.0,-333.62482474751175
62.0,-333.62482474751175
63.0,-333.62482474751175
64.0,-333.62482474751175
65.0,-333.62482474751175
66.0,-333.62482474751175
67.0,-333.62482474751175
68.0,-333.62482474751175
69.0,-333.62482474751175
70.0,-333.62482474751175
71.0,-333.62482474751175
72.0,-333.62482474751175
73.0,-333.62482474751175
74.0,-333.62482474751175
75.0,-333.62482474751175
76.0,-333.62482474751175
77.0,-333.62482474751175
78.0,-333.62482474751175
79.0,-333.62482474751175
80.0,-333.62482474751175
81.0,-333.62482474751175
82.0,-333.62482474751175
83.0,-333.62482474751175
84.0,-333.62482474751175
85.0,-333.62482474751175
86.0,-333.62482474751175
87.0,-333.62482474751175
88.0,-333.62482474751175
89.0,-333.62482474751175
90.0,-333.62482474751175
91.0,-333.62482474751175
92.0,-333.62482474751175
93.0,-333.62482474751175
94.0,-333.62482474751175
95.0,-333.62482474751175
96.0,-333.62482474751175
97.0,-333.62482474751175
98.0,-333.62482474751175
99.0,-333.62482474751175
100.0,-333.62482474751175
101.0,-333.62482474751175
102.0,-333.62482474751175
103.0,-333.62482474751175
104.0,-333.62482474751175
105.0,-333.62482474751175
106.0,-333.62482474751175
107.0,-333.62482474751175
108.0,-333.62482474751175
109.0,-333.62482474751175
110.0,-333.62482474751175
111.0,-333.62482474751175
112.0,-333.62482474751175
113.0,-333.62482474751175
114.0,-333.62482474751175
115.0,-333.62482474751175
116.0,-333.62482474751175
117.0,-333.62482474751175
118.0,-333.62482474751175
119.0,-333.62482474751175
120.0,-333.62482474751175
121.0,-333.62482474751175
122.0,-333.62482474751175
123.0,-333.62482474751175
124.0,-333.62482474751175
125.0,-333.62482474751175
126.0,-333.62482474751175
127.0,-333.62482474751175
128.0,-333.62482474751175
129.0,-333.62482474751175
130.0,-333.62482474751175
131.0,-333.62482474751175
132.0,-333.62482474751175
133.0,-333.62482474751175
134.0,-333.62482474751175
135.0,-333.62482474751175
136.0,-333.62482474751175
137.0,-333.62482474751175
138.0,-333.62482474751175
139.0,-333.62482474751175
140.0,-333.62482474751175
141.0,-333.62482474751175
142.0,-333.62482474751175
143.0,-333.62482474751175
144.0,-333.62482474751175
145.0,-333.62482474751175
146.0,-333.62482474751175
147.0,-333.62482474751175
148.0,-333.62482474751175
149.0,-333.62482474751175
150.0,-333.62482474751175
151.0,-333.62482474751175
152.0,-333.62482474751175
153.0,-333.62482474751175
154.0,-333.62482474751175
155.0,-333.62482474751175
156.0,-333.62482474751175
157.0,-333.62482474751175
158.0,-333.62482474751175
159.0,-333.62482474751175
160.0,-333.62482474751175
161.0,-333.62482474751175
162.0,-333.62482474751175
163.0,-333.62482474751175
164.0,-333.62482474751175
165.0,-333.62482474751175
166.0,-333.62482474751175
167.0,-333.62482474751175
168.0,-333.62482474751175
169.0,-333.62482474751175
170.0,-333.62482474751175
171.0,-333.62482474751175
172.0,-333.62482474751175
173.0,-333.62482474751175
174.0,-333.62482474751175
175.0,-333.62482474751175
176.0,-333.62482474751175
177.0,-333.62482474751175
178.0,-333.62482474751175
179.0,-333.62482474751175
180.0,-333.62482474751175
181.0,-333.62482474751175
182.0,-333.62482474751175
183.0,-333.62482474751175
184.0,-333.62482474751175
185.0,-333.62482474751175
186.0,-333.62482474751175
187.0,-333.62482474751175
188.0,-333.62482474751175
189.0,-333.62482474751175
190.0,-333.62482474751175
191.0,-333.62482474751175
192.0,-333.62482474751175
193.0,-333.62482474751175
194.0,-333.62482474751175
195.0,-333.62482474751175
196.0,-333.62482474751175
197.0,-333.62482474751175
198.0,-333.62482474751175
199.0,-333.62482474751175
200.0,-333.62482474751175
201.0,-333.62482474751175
202.0,-333.62482474751175
203.0,-333.62482474751175
204.0,-333.62482474751175
205.0,-333.62482474751175
206.0,-333.62482474751175
207.0,-333.62482474751175
208.0,-333.62482474751175
209.0,-333.62482474751175
210.0,-333.62482474751175
211.0,-333.62482474751175
212.0,-333.62482474751175
213.0,-333.62482474751175
214.0,-333.62482474751175
215.0,-333.62482474751175
216.0,-333.62482474751175
217.0,-333.62482474751175
218.0,-333.62482474751175
219.0,-333.62482474751175
220.0,-333.62482474751175
221.0,-333.62482474751175
222.0,-333.62482474751175
223.0,-333.62482474751175
224.0,-333.62482474751175
225.0,-333.62482474751175
226.0,-333.62482474751175
227.0,-333.62482474751175
228.0,-333.62482474751175
229.0,-333.62482474751175
230.0,-333.62482474751175
231.0,-333.62482474751175
232.0,-333.62482474751175
233.0,-333.62482474751175
234.0,-333.62482474751175
235.0,-333.62482474751175
236.0,-333.62482474751175
237.0,-333.62482474751175
238.0,-333.62482474751175
239.0,-333.62482474751175
240.0,-333.62482474751175
241.0,-333.62482474751175
242.0,-333.62482474751175
243.0,-333.62482474751175
244.0,-333.62482474751175
245.0,-333.62482474751175
246.0,-333.62482474751175
247.0,-333.62482474751175
248.0,-333.62482474751175
249.0,-333.62482474751175
250.0,-333.62482474751175
251.0,-333.62482474751175
252.0,-333.62482474751175
253.0,-333.62482474751175
254.0,-333.62482474751175
255.0,-333.62482474751175
256.0,-333.62482474751175
257.0,-333.62482474751175
258.0,-333.62482474751175
259.0,-333.62482474751175
260.0,-333.62482474751175
261.0,-333.62482474751175
262.0,-333.62482474751175
263.0,-333.62482474751175
264.0,-333.62482474751175
265.0,-333.62482474751175
266.0,-333.62482474751175
267.0,-333.62482474751175
268.0,-333.62482474751175
269.0,-333.62482474751175
270.0,-333.62482474751175
271.0,-333.62482474751175
272.0,-333.62482474751175
273.0,-333.62482474751175
274.0,-333.62482474751175
275.0,-333.62482474751175
276.0,-333.62482474751175
277.0,-333.62482474751175
278.0,-333.62482474751175
279.0,-333.62482474751175
280.0,-333.62482474751175
281.0,-333.62482474751175
282.0,-333.62482474751175
283.0,-333.62482474751175
284.0,-333.62482474751175
285.0,-333.62482474751175
286.0,-333.62482474751175
287.0,-333.62482474751175
288.0,-333.62482474751175
289.0,-333.62482474751175
290.0,-333.62482474751175
291.0,-333.62482474751175
292.0,-333.62482474751175
293.0,-333.62482474751175
294.0,-333.62482474751175
295.0,-333.62482474751175
296.0,-333.62482474751175
297.0,-333.62482474751175
298.0,-333.62482474751175
299.0,-333.62482474751175
300.0,-333.62482474751175
301.0,-333.62482474751175
302.0,-333.62482474751175
303.0,-333.62482474751175
304.0,-333.62482474751175
305.0,-333.62482474751175
306.0,-333.62482474751175
307.0,-333.62482474751175
308.0,-333.62482474751175
309.0,-333.62482474751175
310.0,-333.62482474751175
311.0,-333.62482474751175
312.0,-333.62482474751175
313.0,-333.62482474751175
314.0,-333.62482474751175
315.0,-333.62482474751175
316.0,-333.62482474751175
317.0,-333.62482474751175
318.0,-333.62482474751175
319.0,-333.62482474751175
320.0,-333.62482474751175
321.0,-333.62482474751175
322.0,-333.62482474751175
323.0,-333.62482474751175
324.0,-333.62482474751175
325.0,-333.62482474751175
326.0,-333.62482474751175
327.0,-333.62482474751175
328.0,-333.62482474751175
329.0,-333.62482474751175
330.0,-333.62482474751175
331.0,-333.62482474751175
332.0,-333.62482474751175
333.0,-333.62482474751175
334.0,-333.62482474751175
335.0,-333.62482474751175
336.0,-333.62482474751175
337.0,-333.62482474751175
338.0,-333.62482474751175
339.0,-333.62482474751175
340.0,-333.62482474751175
341.0,-333.62482474751175
342.0,-333.62482474751175
343.0,-333.62482474751175
344.0,-333.62482474751175
345.0,-333.62482474751175
346.0,-333.62482474751175
347.0,-333.62482474751175
348.0,-333.62482474751175
349.0,-333.62482474751175
350.0,-333.62482474751175
351.0,-333.62482474751175
352.0,-333.62482474751175
353.0,-333.62482474751175
354.0,-333.62482474751175
