Frequency (Hz),Magnitude
0.0,12000.0
1.0,0.0
2.0,2.343647934578383e-13
3.0,0.0
4.0,2.205568065956705e-13
5.0,0.0
6.0,2.607442860083808e-13
7.0,0.0
8.0,0.0
9.0,0.0
10.0,10803.796565219154
11.0,0.0
12.0,6.170802940710715e-14
13.0,0.0
14.0,3.454774304639003e-14
15.0,0.0
16.0,0.0
17.0,0.0
18.0,2.3025126200394864e-13
19.0,0.0
20.0,7639.439450072977
21.0,0.0
22.0,9.981522448935403e-14
23.0,0.0
24.0,0.0
25.0,0.0
26.0,3.9770166142073495e-14
27.0,0.0
28.0,1.7100678429692721e-13
29.0,0.0
30.0,3601.2675786309956
31.0,0.0
32.0,0.0
33.0,0.0
34.0,4.3350477407552916e-14
35.0,0.0
36.0,2.2708596299534642e-13
37.0,0.0
38.0,2.171962022711438e-13
39.0,0.0
40.0,0.0
41.0,0.0
42.0,5.210247201517224e-14
43.0,0.0
44.0,8.005932084973442e-15
45.0,0.0
46.0,3.2153561546098e-14
47.0,0.0
48.0,0.0
49.0,0.0
50.0,2160.7630154510903
51.0,0.0
52.0,1.3806305186481532e-13
53.0,0.0
54.0,2.2500295972256958e-13
55.0,0.0
56.0,0.0
57.0,0.0
58.0,8.978869939997468e-14
59.0,0.0
60.0,2546.4856344667955
61.0,0.0
62.0,2.9381292506366506e-14
63.0,0.0
64.0,0.0
65.0,0.0
66.0,4.911604576889747e-14
67.0,0.0
68.0,8.889441435110072e-14
69.0,0.0
70.0,1543.4047984765937
71.0,0.0
72.0,0.0
73.0,0.0
74.0,1.1554856477198504e-14
75.0,0.0
76.0,5.2937967148329793e-14
77.0,0.0
78.0,8.720729421554321e-14
79.0,0.0
80.0,0.0
81.0,0.0
82.0,3.4861002973229915e-14
83.0,0.0
84.0,1.2269486488667273e-13
85.0,0.0
86.0,5.6114058906803785e-14
87.0,0.0
88.0,0.0
89.0,0.0
90.0,1200.4286969088344
91.0,0.0
92.0,9.840985828031828e-15
93.0,0.0
94.0,1.3991629440201356e-13
95.0,0.0
96.0,0.0
97.0,0.0
98.0,9.057678187205883e-15
99.0,0.0
100.0,1527.898362044536
101.0,0.0
102.0,1.6764459577467463e-13
103.0,0.0
104.0,0.0
105.0,0.0
106.0,4.93258983387825e-14
107.0,0.0
108.0,7.516136080137167e-14
109.0,0.0
110.0,982.1717387131562
111.0,0.0
112.0,0.0
113.0,0.0
114.0,8.296271088900921e-14
115.0,0.0
116.0,4.71257961569187e-14
117.0,0.0
118.0,9.550499576785474e-14
119.0,0.0
120.0,0.0
