Frequency (Hz),Magnitude (db)
0.0,1.928654933106574e-15
1.0,-321.5836249209525
2.0,-319.75475439518823
3.0,-321.5836249209525
4.0,-319.8524649817848
5.0,-321.5836249209525
6.0,-319.57108475074835
7.0,-321.5836249209525
8.0,-321.5836249209525
9.0,-321.5836249209525
10.0,-0.9120969638366789
11.0,-321.5836249209525
12.0,-321.0635228845556
13.0,-321.5836249209525
14.0,-321.28861416904397
15.0,-321.5836249209525
16.0,-321.5836249209525
17.0,-321.5836249209525
18.0,-319.7837485367538
19.0,-321.5836249209525
20.0,-3.922395060096701
21.0,-321.5836249209525
22.0,-320.75723037642933
23.0,-321.5836249209525
24.0,-321.5836249209525
25.0,-321.5836249209525
26.0,-321.2448778774231
27.0,-321.5836249209525
28.0,-320.21243669714516
29.0,-321.5836249209525
30.0,-10.454517097216801
31.0,-321.5836249209525
32.0,-321.5836249209525
33.0,-321.5836249209525
34.0,-321.215020538877
35.0,-321.5836249209525
36.0,-319.8061251587219
37.0,-321.5836249209525
38.0,-319.87641314771065
39.0,-321.5836249209525
40.0,-321.5836249209525
41.0,-321.5836249209525
42.0,-321.14246410057854
43.0,-321.5836249209525
44.0,-321.5143631624094
45.0,-321.5836249209525
46.0,-321.30873861135365
47.0,-321.5836249209525
48.0,-321.5836249209525
49.0,-321.5836249209525
50.0,-14.891482167514273
51.0,-321.5836249209525
52.0,-320.46029844394724
53.0,-321.5836249209525
54.0,-319.8208821609884
55.0,-321.5836249209525
56.0,-321.5836249209525
57.0,-321.5836249209525
58.0,-320.8367789177441
59.0,-321.5836249209525
60.0,-13.46480031042894
61.0,-321.5836249209525
62.0,-321.33209949452646
63.0,-321.5836249209525
64.0,-321.5836249209525
65.0,-321.5836249209525
66.0,-321.16715433249334
67.0,-321.5836249209525
68.0,-320.8439095202872
69.0,-321.5836249209525
70.0,-17.81402799802605
71.0,-321.5836249209525
72.0,-321.5836249209525
73.0,-321.5836249209525
74.0,-321.4838361314735
75.0,-321.5836249209525
