Frequency (Hz),Magnitude
0.0,12000.0
1.0,1.828461500487294e-12
2.0,2.5094087133707602e-12
3.0,4.158767156192157e-12
4.0,3.626977757370577e-12
5.0,2.6417306305480016e-12
6.0,2.81350034106116e-12
7.0,4.505350468266791e-12
8.0,5.2724701694351975e-12
9.0,9.932651160439853e-12
10.0,10803.79579388527
11.0,6.286312813864492e-12
12.0,2.878206769297749e-12
13.0,1.3266357818099644e-12
14.0,9.20892907261249e-13
15.0,1.269295566422274e-12
16.0,2.3464592688948518e-12
17.0,4.354430301360766e-12
18.0,5.46002896616534e-12
19.0,1.2055776310178144e-11
20.0,7639.437268410975
21.0,1.0845724188649472e-11
22.0,4.535686266398035e-12
23.0,3.479376231114768e-12
24.0,2.0647977000029486e-12
25.0,7.543052457087606e-13
26.0,7.500974559328783e-13
27.0,4.0513724665666026e-12
28.0,5.958305218193791e-12
29.0,1.4022434992528232e-11
30.0,3601.265264628427
31.0,1.8681701675301192e-11
32.0,9.239708468512318e-12
33.0,9.042745064483579e-12
34.0,8.206909714198172e-12
35.0,8.150962489034413e-12
36.0,1.419060141841682e-12
37.0,7.087734349787852e-12
38.0,6.3349245258822625e-12
39.0,5.122877423680193e-12
40.0,4.370018014024883e-12
41.0,4.026232787081226e-12
42.0,3.0886444663578547e-12
43.0,4.174030436423282e-12
44.0,4.104435391801665e-12
45.0,3.985542744927399e-12
46.0,4.2247811624813104e-12
47.0,5.13014205432274e-12
48.0,4.6176995391712834e-12
49.0,6.8260095290514895e-12
50.0,2160.759158777051
51.0,8.907827044227705e-13
52.0,2.5887694668422323e-12
53.0,2.930171875204322e-12
54.0,4.490236490296399e-12
55.0,5.484704252622235e-12
56.0,6.439454947000105e-12
57.0,9.74797357416946e-12
58.0,1.1372751845370904e-11
59.0,2.394722624072524e-11
60.0,2546.4790894703237
61.0,2.078109265673956e-11
62.0,9.358157370467214e-12
63.0,5.489257923287687e-12
64.0,3.5785202209793793e-12
65.0,2.372917458330262e-12
66.0,1.0005156141895372e-12
67.0,1.4874963753876902e-12
68.0,2.9851500076452035e-12
69.0,8.828918800454175e-12
70.0,1543.39939912647
71.0,1.3547352024988243e-11
72.0,7.302986341718488e-12
73.0,6.5913530943550085e-12
74.0,5.165160672887998e-12
75.0,4.608087299381491e-12
76.0,3.6869333293722015e-12
77.0,3.5389478833125314e-12
78.0,2.4711799293351114e-12
79.0,3.3379327204056378e-12
80.0,2.976127431802506e-12
81.0,2.8035545343988133e-12
82.0,1.5573631074946539e-12
83.0,3.997950413963117e-12
84.0,3.007324699070631e-12
85.0,3.0158364721651307e-12
86.0,1.8830517755514447e-12
87.0,4.0342262313594854e-12
88.0,3.7434235723122465e-12
89.0,8.847526804423747e-12
90.0,1200.4217548761394
91.0,3.4783692392829896e-12
92.0,1.9392139206944163e-12
93.0,1.409959750852419e-12
94.0,1.2088481996126792e-12
95.0,9.416550063511234e-13
96.0,2.139673368097044e-12
97.0,4.1734811179421226e-12
98.0,2.4507855685495763e-12
99.0,5.626886141515764e-12
100.0,1527.8874536821959
101.0,5.2305611003611065e-12
102.0,2.067952661933542e-12
103.0,2.221499184845602e-12
104.0,2.130519824293597e-12
105.0,2.1784476108191323e-12
106.0,3.457146535993323e-12
107.0,6.3876236204060415e-12
108.0,8.155780932663173e-12
109.0,1.7858608536407145e-11
110.0,982.1632539895721
111.0,1.8765770799967832e-11
112.0,9.15917318373821e-12
113.0,9.075202007279789e-12
114.0,7.490417224699787e-12
115.0,4.003482037127351e-12
116.0,4.077937338917413e-12
117.0,5.261932776429234e-12
118.0,3.1163563746667433e-12
119.0,2.747902250260341e-12
120.0,5.0466845475003235e-12
121.0,5.258077262742348e-12
122.0,2.7207238690982723e-12
123.0,6.0431192248242235e-12
124.0,4.591933782853573e-12
125.0,5.218193895455261e-12
126.0,2.2444098075465404e-12
127.0,3.1704245995149337e-12
128.0,2.3299262700950946e-12
129.0,7.506367015269818e-13
130.0,831.0612149142495
131.0,4.7300033450635094e-12
132.0,3.998809587288314e-12
133.0,5.664837604419769e-12
134.0,4.571640016837178e-12
135.0,6.270375880768824e-12
136.0,5.915203075559387e-12
137.0,8.324409206285945e-12
138.0,9.808424839141461e-12
139.0,1.8844053206003806e-11
140.0,1091.348181201566
141.0,1.3420077141056594e-11
142.0,4.9075762094282206e-12
143.0,2.641901512144368e-12
144.0,2.152177326340741e-12
145.0,1.908169837428344e-14
146.0,1.0420895857496366e-12
147.0,1.7818281797469258e-12
148.0,2.3975226816744452e-12
149.0,9.01059577594732e-12
150.0,720.2530529256871
151.0,9.88511977390401e-12
152.0,4.892709258191705e-12
153.0,3.768591083967874e-12
154.0,3.1597138475983367e-12
155.0,2.0363751123778857e-12
156.0,1.8951380412806674e-12
157.0,1.4908011513073668e-12
158.0,1.9042576638448964e-12
159.0,1.6535437861259112e-12
160.0,2.1652818926169285e-12
161.0,1.1747862609044578e-12
162.0,5.149328429054594e-13
163.0,2.3448423141862744e-12
