Frequency (Hz),Magnitude (db)
0.0,1.928654933106574e-15
1.0,-312.55261948632665
2.0,-310.67894592013783
3.0,-307.33270639707024
4.0,-308.27767668532863
5.0,-310.3574685409401
6.0,-309.95714912963354
7.0,-306.7679254971602
8.0,-305.63485282940763
9.0,-300.8091151042212
10.0,-0.9120975839632415
11.0,-304.33346867473966
12.0,-309.81100571949145
13.0,-314.249056862698
14.0,-315.9135618619483
15.0,-314.46580362814143
16.0,-311.09191405298395
17.0,-307.00935952641737
18.0,-305.3789356142472
19.0,-299.2675709102928
20.0,-3.922397540603054
21.0,-300.11239259146055
22.0,-306.72019554860094
23.0,-308.55927409744413
24.0,-311.85558865983114
25.0,-316.70152168090954
26.0,-316.72238025127905
27.0,-307.51543706679865
28.0,-304.73355542763306
29.0,-298.0488182541298
30.0,-10.454522678356481
31.0,-295.7023720266027
32.0,-301.3778730778413
33.0,-301.54657615598643
34.0,-302.3013472340231
35.0,-302.3542894184363
36.0,-313.91069160542816
37.0,-303.42708736186523
38.0,-304.27571193203994
39.0,-305.8445136167786
40.0,-306.98411006961135
41.0,-307.55877294452154
42.0,-309.35203797037946
43.0,-307.3070453381282
44.0,-307.42467069684557
45.0,-307.62937603792324
46.0,-307.2222628221026
47.0,-305.83421414936504
48.0,-306.59245477319433
49.0,-303.71281747360007
50.0,-14.891497670683627
51.0,-316.0507925005045
52.0,-310.4847136951846
53.0,-309.69539405176147
54.0,-306.79180388179145
55.0,-305.34582144017753
56.0,-304.15280255998493
57.0,-300.9570931215291
58.0,-299.7342988696047
59.0,-293.64317960938996
60.0,-13.464822634996306
61.0,-294.8220316706935
62.0,-301.27797482244466
63.0,-305.3397241998841
64.0,-308.36912218928484
65.0,-311.02351065471555
66.0,-315.56078601230183
67.0,-313.66837578908184
68.0,-309.57473144888746
69.0,-301.73350997595134
70.0,-17.81405838424836
71.0,-298.3279459556736
72.0,-303.1989384506271
73.0,-303.97724107883283
74.0,-305.7847369326845
75.0,-306.607329610138
76.0,-308.1658494045986
77.0,-308.4445209978414
78.0,-310.77408240095514
79.0,-308.8379686810043
80.0,-309.59441902595506
81.0,-309.9798319721595
82.0,-313.4277770058265
83.0,-307.6077860598098
84.0,-309.5265342574668
85.0,-309.50810452687
86.0,-312.38657608543684
87.0,-307.5449703557307
88.0,-308.06178677156106
89.0,-301.71708148878514
90.0,-19.996947772749746
91.0,-308.56122695935187
92.0,-312.2190010035411
93.0,-313.9434291327635
94.0,-314.7003075101409
95.0,-315.8201835830248
96.0,-311.6459355379062
97.0,-307.30796755400263
98.0,-310.8252654586176
99.0,-305.1574347426788
100.0,-17.90179762732342
101.0,-305.6930817347427
102.0,-311.84665183640226
103.0,-311.4224644051453
104.0,-311.6712957541915
105.0,-311.5393237707617
106.0,-308.602486671685
107.0,-304.2135296970789
108.0,-302.34971706281965
109.0,-296.0734320089747
110.0,-21.739951287127717
111.0,-295.66534981967686
112.0,-301.44645764457675
113.0,-301.5185496713051
114.0,-303.0050442752427
115.0,-307.5981780214697
116.0,-307.4698781722792
117.0,-305.6494569002485
118.0,-309.2933655833459
119.0,-310.1078598119959
120.0,-305.9532786755194
121.0,-305.6548065073712
122.0,-310.1710761137858
123.0,-304.6283241184757
124.0,-306.63238451996097
125.0,-305.71033971954824
126.0,-311.3609108097058
127.0,-309.18001944814927
128.0,-311.1349325682155
129.0,-316.71970433957335
130.0,-23.190964630099987
131.0,-306.4205274109513
132.0,-307.6062930391311
133.0,-305.1078334839553
134.0,-306.6639639423375
135.0,-304.3524876288781
136.0,-304.78752615381063
137.0,-302.1911984310767
138.0,-300.9083767838176
139.0,-295.63101726497484
140.0,-20.8243583408882
141.0,-298.404273247479
142.0,-306.155438263673
143.0,-310.3570609809045
144.0,-311.6114121044684
145.0,-321.41944487711726
146.0,-315.38212911066233
147.0,-312.69701887722243
148.0,-310.9603776261471
149.0,-301.57442641930464
150.0,-24.43392276507683
151.0,-300.84696067810586
152.0,-306.1773246436887
153.0,-308.0158232724028
154.0,-309.202355802088
155.0,-311.9365164594051
