Frequency (Hz),Magnitude
0.0,3.0809198856885917e-12
1.0,4.232051602334283e-12
2.0,1.7907028819353075e-12
3.0,1.0371934226497064e-11
4.0,3.065954391306921e-12
5.0,5.602696822470617e-12
6.0,1.105621946813391e-12
7.0,5.013539659393845e-12
8.0,3.083953774103644e-12
9.0,1.2458307041944592e-12
10.0,108.04876281513292
11.0,6.6920406215390894e-12
12.0,3.774750814535283e-12
13.0,5.674161913599479e-12
14.0,4.623307148635876e-12
15.0,2.3870035301549353e-12
16.0,2.970725637585709e-12
17.0,5.1327267761185936e-12
18.0,7.225096652226123e-12
19.0,6.442693004034158e-12
20.0,152.8498853223513
21.0,3.188168550560478e-12
22.0,1.4537121398631354e-12
23.0,4.1897871281281414e-12
24.0,1.5772647188578798e-12
25.0,3.415291621871453e-12
26.0,1.7199090344144268e-13
27.0,7.235015871688597e-12
28.0,9.05657982891646e-12
29.0,2.351288412301902e-12
30.0,108.13527969057422
31.0,6.174540820295389e-12
32.0,1.7819581643253458e-12
33.0,4.9989198823591446e-12
34.0,4.569272076172628e-12
35.0,2.117861324735982e-12
36.0,4.330446259363282e-12
37.0,4.98281865150364e-12
38.0,6.898576801643798e-12
39.0,5.455675536777919e-13
40.0,4.647102644972268e-12
41.0,3.491191126108205e-12
42.0,4.529019517791342e-12
43.0,3.11519348001536e-12
44.0,6.307110365634503e-12
45.0,4.549276685656365e-12
46.0,3.570624689552428e-12
47.0,1.0839528924600664e-11
48.0,1.46820516984309e-11
49.0,9.816318855918052e-12
50.0,108.30872976326017
51.0,4.949443998405947e-12
52.0,3.831708756709726e-12
53.0,8.090811818242685e-12
54.0,8.351415221345118e-12
55.0,1.0812958115985001e-11
56.0,8.499489989152954e-12
57.0,1.3832274766937218e-11
58.0,6.000975416784032e-12
59.0,9.049316064084121e-12
60.0,153.34077214795013
61.0,1.790528226153308e-11
62.0,1.1632528143762624e-11
63.0,2.807020328478039e-12
64.0,1.442730853564471e-11
65.0,1.797247458697303e-11
66.0,9.828948689907347e-12
67.0,8.061259846520572e-12
68.0,7.76998424526168e-12
69.0,8.213378349823631e-12
70.0,108.56995069726798
71.0,1.0313006805314077e-11
72.0,6.746445691163817e-12
73.0,3.9881283522820614e-12
74.0,1.580996771665293e-11
75.0,2.3428142876555557e-11
76.0,1.2288743015909735e-11
77.0,1.284872790923785e-11
78.0,3.4136334132441207e-12
79.0,4.661840782707462e-12
80.0,2.6066334014370035e-12
81.0,7.439568360938968e-12
82.0,3.7022859048507346e-12
83.0,3.117225557379562e-12
84.0,1.438638943511043e-11
85.0,2.2852718535763163e-11
86.0,1.1949648312446466e-11
87.0,1.9791890087576344e-11
88.0,1.5052142767145545e-11
89.0,2.5330624592059054e-12
90.0,108.9202116532467
91.0,2.399583878933324e-12
92.0,7.637977315796582e-12
93.0,3.706386003879205e-12
94.0,5.905777110342287e-12
95.0,1.6195814391331658e-11
96.0,1.1725251193404588e-11
97.0,1.9096204157976388e-11
98.0,2.6162115085262917e-11
99.0,1.4819657174895898e-11
100.0,154.33206602850427
101.0,1.0533233327213605e-12
102.0,6.3725124013230795e-12
103.0,4.754032619620488e-12
104.0,1.3616125168955658e-12
105.0,9.811078481639284e-12
106.0,6.900435608202164e-12
107.0,1.5552783856168063e-11
108.0,2.5684073406402676e-11
109.0,1.1018436932906891e-11
110.0,109.36122880742577
