Frequency (Hz),Magnitude (db)
0.0,-303.3478636270072
1.0,-301.1895846343054
2.0,-306.64875299022424
3.0,-294.44633822499736
4.0,-303.3797749525957
5.0,-299.1685978850233
6.0,-309.0954170358433
7.0,-299.98042141777364
8.0,-303.34140865360325
9.0,-308.535484706522
10.0,-34.8906290382875
11.0,-297.84219362618364
12.0,-301.9840107780572
13.0,-299.0750902411001
14.0,-300.5631888956758
15.0,-304.96671202177754
16.0,-303.58562740842
17.0,-299.8099526771294
18.0,-297.260204807678
19.0,-298.1284228957479
20.0,-31.877722663131838
21.0,-303.1225419816086
22.0,-307.7665527754841
23.0,-301.26003411650447
24.0,-307.3398444361521
25.0,-302.6638371434578
26.0,-314.1845401904225
27.0,-297.2497361968649
28.0,-295.51401890019423
29.0,-305.0587889100465
30.0,-34.88367685011188
31.0,-298.44714278970787
32.0,-306.6760131138137
33.0,-300.0015637711964
34.0,-300.6470563069288
35.0,-305.68588911031674
36.0,-301.0277536231413
37.0,-300.0249082296048
38.0,-297.61204810053283
39.0,-311.7812651684624
40.0,-300.52651137179515
41.0,-302.5157942638092
42.0,-300.71006254709994
43.0,-303.2752198311534
44.0,-298.28811166924237
45.0,-300.6782974241375
46.0,-302.36351378227243
47.0,-294.09633655033434
48.0,-291.6549673827751
49.0,-294.88143537927823
50.0,-34.869755757859316
51.0,-300.073497389596
52.0,-301.8810100432834
53.0,-296.39097165029557
54.0,-296.14547818848837
55.0,-294.115851725032
56.0,-296.0090192194587
57.0,-292.13886976462646
58.0,-298.659853954202
59.0,-295.5202948963271
60.0,-31.849872091333246
61.0,-290.0313616897968
62.0,-293.53321951832214
63.0,-303.95132109091657
64.0,-291.79722170361606
65.0,-290.0005454121689
66.0,-294.8712990890803
67.0,-296.41925331384164
68.0,-296.70304874400557
69.0,-296.2746468887344
70.0,-34.84883219546654
71.0,-294.491464040188
72.0,-297.7809753982949
73.0,-301.6042726072498
74.0,-291.05168742001723
75.0,-287.80521597857785
76.0,-293.09334694949825
77.0,-292.7348273553621
78.0,-302.6670998322327
79.0,-300.503871960584
80.0,-304.4209849992557
81.0,-297.03662030088503
82.0,-302.11684438291024
83.0,-303.2709318083985
84.0,-291.82029059983154
85.0,-288.01226733780373
86.0,-293.31786552818903
87.0,-289.2051455940173
88.0,-291.45236473412217
89.0,-304.59999870421404
90.0,-34.82085547591767
91.0,-304.93450978531564
92.0,-296.83478382343935
93.0,-302.10927413064377
94.0,-298.7787738671393
95.0,-290.85457003226907
96.0,-293.4696977284278
97.0,-289.5007443258539
98.0,-286.88375330810044
99.0,-291.5790836528395
100.0,-31.793901605994765
101.0,-309.31387816288
102.0,-298.2107147726254
103.0,-300.36357861612436
104.0,-308.09885216819237
105.0,-294.88564460638287
106.0,-297.6100042526922
107.0,-291.18560412495447
108.0,-287.0379824736295
109.0,-293.9660652309681
110.0,-34.78575737931469
111.0,-295.37570387277344
112.0,-292.68684759296895
113.0,-298.3651712952859
114.0,-307.7305931017778
115.0,-300.70361719116295
116.0,-294.48492282113705
117.0,-294.408296619721
118.0,-285.62164967901265
119.0,-289.97717777147477
120.0,-296.9164422955447
121.0,-293.9603736180818
122.0,-296.6911711474604
123.0,-301.11778395570883
124.0,-297.79607601122746
125.0,-297.1136679270723
126.0,-300.81268518431017
127.0,-298.6468794088702
128.0,-287.68257443831885
129.0,-290.27735584656864
130.0,-34.74345159272434
131.0,-297.171526172881
132.0,-299.92561587969385
133.0,-300.7900327149583
134.0,-296.9859766233072
135.0,-292.3868287845232
136.0,-294.35616340680536
137.0,-295.9015048559571
138.0,-289.80373957406886
139.0,-291.2248774624839
140.0,-31.709263765644668
141.0,-297.2937750405855
142.0,-298.90627810609936
143.0,-294.60642117685666
144.0,-298.43869254364387
145.0,-298.534189137985
146.0,-290.6737903472132
147.0,-296.64132065999496
148.0,-298.56755652869896
149.0,-291.8938012008037
150.0,-34.69383299204155
151.0,-303.6978923217927
152.0,-301.4431741127327
153.0,-298.75271992428696
154.0,-296.73920164589833
155.0,-302.3993948354822
156.0,-295.3496292601061
157.0,-298.5592525053341
158.0,-298.4063350173279
159.0,-295.4024927942108
160.0,-301.59210122331166
161.0,-296.8300058460326
162.0,-306.7752722773245
163.0,-294.0513629204171
164.0,-298.387996794159
165.0,-296.1884434108677
166.0,-299.2620450359111
167.0,-303.02233703990163
168.0,-296.8374791318075
169.0,-291.80735743186256
170.0,-34.63677675312792
171.0,-295.5280783882748
172.0,-298.0531649602579
173.0,-300.6541736484552
174.0,-308.7812683468908
175.0,-295.2052720155788
176.0,-301.0945873324541
177.0,-305.59925088986154
178.0,-298.63027354091867
179.0,-293.6746014581339
180.0,-31.595114907840344
181.0,-295.37547290596285
182.0,-293.60241141811485
183.0,-297.6925686086214
184.0,-303.9017286014355
185.0,-296.6077069609661
186.0,-296.5528501776051
187.0,-307.66226228155625
188.0,-305.17386374109014
189.0,-298.6956093581416
190.0,-34.57213727610671
191.0,-304.69282797534413
192.0,-304.06756460723886
193.0,-294.6810629037326
194.0,-302.01612921850705
195.0,-296.40049240033085
196.0,-297.1196891678995
197.0,-302.5551551676493
198.0,-303.95534279117123
199.0,-298.26434008251266
200.0,-295.68868473655294
201.0,-298.63601496113523
202.0,-306.1310998640134
203.0,-292.76160507819804
204.0,-300.2155527620412
205.0,-297.03731748667906
206.0,-297.13052682260695
207.0,-303.854808948042
208.0,-311.3238938853505
209.0,-299.64796437004276
210.0,-34.499746902821656
211.0,-298.0883392556186
212.0,-296.03739572192933
213.0,-294.2315772900249
214.0,-299.66966718126207
215.0,-296.8280982305764
216.0,-301.0435207646576
217.0,-300.3074832232234
218.0,-307.399118912379
219.0,-299.91732589305207
