Frequency (Hz),Magnitude (db)
0.0,-319.9550703186825
1.0,-53.206731815272484
2.0,-47.61939897257709
3.0,-44.84027401709788
4.0,-43.42921266525619
5.0,-42.985505816565315
6.0,-43.41179559577861
7.0,-44.80542936245249
8.0,-47.56710568013873
9.0,-53.136958252902396
10.0,-314.90201467552146
11.0,-53.101860156300035
12.0,-47.4968879198955
13.0,-44.70004875971049
14.0,-43.271187270090024
15.0,-42.80958305074758
16.0,-43.21786672426533
17.0,-44.59337392011429
18.0,-47.33679121728565
19.0,-52.88824005309251
20.0,-319.9912882968006
21.0,-52.815849679806384
22.0,-47.19196269079329
23.0,-44.37601156990712
24.0,-42.92782676734981
25.0,-42.446673257384646
26.0,-42.835166515460024
27.0,-44.1906264591979
28.0,-46.913723345071446
29.0,-52.44456162803474
30.0,-325.50856141083983
31.0,-52.33000817552899
32.0,-46.68453090173039
33.0,-43.84662371102771
34.0,-42.376095896622765
35.0,-41.87219023214675
36.0,-42.23749886557136
37.0,-43.569317169869294
38.0,-46.26828954147871
39.0,-51.77449315296535
40.0,-316.7173644500374
41.0,-51.609022933619485
42.0,-45.93720078240832
43.0,-43.07231270042053
44.0,-41.574131600518285
45.0,-41.04186156397386
46.0,-41.378053530637345
47.0,-42.67995892464889
48.0,-45.34817520408395
49.0,-50.82272933787276
50.0,-313.4735630388686
51.0,-50.591060994102506
52.0,-44.88457052989605
53.0,-41.98388061273576
54.0,-40.44869226885001
55.0,-39.878131968302235
56.0,-40.1746667153023
57.0,-41.43545699744593
58.0,-44.06100157053526
59.0,-49.49122006847233
60.0,-322.2894207729199
61.0,-49.16541010883562
62.0,-43.40884624667761
63.0,-40.45588140708864
64.0,-38.86604819478893
65.0,-38.23828750067315
66.0,-38.47486132013551
67.0,-39.67270305817906
68.0,-42.23205922440403
69.0,-47.592568416627934
70.0,-312.93503594635933
71.0,-47.11548261349071
72.0,-41.27660358848418
73.0,-38.23629218342522
74.0,-36.55357314355758
75.0,-35.82680887655618
76.0,-35.9575994090044
77.0,-37.04211688525757
78.0,-39.479727686110884
79.0,-44.70904696194517
80.0,-316.4718786409249
81.0,-43.93624396410898
82.0,-37.92975188525641
83.0,-34.70609505984363
84.0,-32.8218773317985
85.0,-31.87250747856341
