Frequency (Hz),Magnitude
0.0,6.791234241632083e-13
1.0,0.4721904077194236
2.0,1.7968581681428752
3.0,3.7116011876320476
4.0,5.82174406646604
5.0,7.6585837277306705
6.0,8.750144433901157
7.0,8.695214961965123
8.0,7.230835043775068
9.0,4.2839890090953805
10.0,3.4593359789579847e-12
11.0,5.257187038650333
12.0,10.934290329995234
13.0,16.345366597268825
14.0,20.75020651352541
15.0,23.44584327900913
16.0,23.860547109851293
17.0,21.638840041049146
18.0,16.706546944882046
19.0,9.306692172338133
20.0,2.71154328314924e-12
21.0,10.37243117719966
22.0,20.762435554449244
23.0,30.017948534459475
24.0,37.00612866698108
25.0,40.74366543152281
26.0,40.51993810997633
27.0,35.99864817071716
28.0,27.28510411050426
29.0,14.949396737333776
30.0,6.843759093194846e-13
31.0,16.192542149661985
32.0,32.01674554142935
33.0,45.77585928874307
34.0,55.86346545189907
35.0,60.94137991894707
36.0,60.100946097932514
37.0,52.9894750020659
38.0,39.88621911244796
39.0,21.71669342908723
40.0,2.3148272879866797e-12
41.0,23.269468368651584
42.0,45.79762982316072
43.0,65.20885457908533
44.0,79.28660966711159
45.0,86.21308516075177
46.0,84.7830247000783
47.0,74.56820052559844
48.0,56.0126639773641
49.0,30.44481674605691
50.0,4.6228237380371145e-12
51.0,32.543995976054276
52.0,64.0071615223804
53.0,91.10361079491344
54.0,110.76763865819031
55.0,120.47858057709314
56.0,118.55187917168145
57.0,104.36521135343648
58.0,78.49313339564317
59.0,42.73116755963513
60.0,6.284869452221217e-12
61.0,45.86834608931949
62.0,90.44886642479455
63.0,129.12199581799788
64.0,157.51840856260733
65.0,171.97001643176102
66.0,169.92396005198984
67.0,150.27730600602163
68.0,113.59512731719015
69.0,62.183393813561835
70.0,3.335434853924123e-12
71.0,67.59864165413342
72.0,134.26291381949713
73.0,193.17992899388977
74.0,237.68775774815384
75.0,261.92356348837353
76.0,261.4492335304066
77.0,233.79683737442517
78.0,178.88007551096305
79.0,99.22668769812417
80.0,6.923241784434417e-12
81.0,111.20557802583812
82.0,224.79156416313037
83.0,329.7821086089914
84.0,414.60942525531334
85.0,468.0015623891413
86.0,479.90487493527473
87.0,442.36759214454634
88.0,350.3108807378677
89.0,202.11997976203313
90.0,6.446319645712084e-12
91.0,249.94200215174436
92.0,537.9063381784666
93.0,850.8962482862228
94.0,1173.471546263457
95.0,1488.7108523057238
96.0,1779.31508447761
97.0,2028.772094848584
98.0,2222.495753000874
99.0,2348.853049212412
100.0,21599.99999999994
101.0,2372.4607988400776
102.0,2267.403729420389
103.0,2090.5903497320282
104.0,1851.999524203029
105.0,1565.1530013329757
106.0,1246.1923609461564
107.0,912.7763972447376
108.0,582.8817845144525
109.0,273.59706308413865
110.0,5.832996028121631e-12
111.0,225.79876752902183
112.0,395.376602959727
113.0,504.4341692087103
114.0,552.918005223195
115.0,544.8280842587661
116.0,487.73278067953106
117.0,392.03624048786537
118.0,270.061738194636
119.0,135.02773240309293
120.0,2.49653687388192e-12
121.0,123.09701751838847
122.0,224.33354815177142
123.0,296.429500115234
124.0,335.1661226837237
125.0,339.53054526270756
126.0,311.592107203449
127.0,256.1315683980855
128.0,180.06410274427432
129.0,91.71280129457749
130.0,3.011636215411436e-12
131.0,86.37167674498674
132.0,159.67834326737008
133.0,213.8113665812399
134.0,244.74155448047827
135.0,250.7778799356806
136.0,232.60663298334154
137.0,193.11655539559368
138.0,137.0340781914224
139.0,70.40865060242908
140.0,3.810574496160575e-12
141.0,67.3739394837461
142.0,125.46822035228578
143.0,169.16492383914886
144.0,194.90262102698154
145.0,200.94664923711613
146.0,187.48114932179956
147.0,156.52061037264895
148.0,111.65517258122334
149.0,57.658663317207846
150.0,6.677594274332614e-13
151.0,55.69379071220224
152.0,104.17170046583867
153.0,141.0405683307756
154.0,163.1514487638343
155.0,168.85743694883502
156.0,158.12272723384626
157.0,132.4770603705537
158.0,94.8242545877168
159.0,49.12686800610098
160.0,2.3588451895685556e-12
161.0,47.74515003925023
162.0,89.56371177961773
163.0,121.60188739812318
164.0,141.04498124666804
165.0,146.3578692932162
166.0,137.39793515171252
167.0,115.39298725028193
168.0,82.78956962765002
169.0,42.989170242403446
170.0,2.1983309382114053e-12
171.0,41.96064927202057
172.0,78.87458667237586
173.0,107.30244186118601
174.0,124.6994838746674
175.0,129.6389354639459
176.0,121.92357367574681
177.0,102.57742231105227
178.0,73.72090426756881
179.0,38.34382776359053
180.0,1.1844944943418478e-12
181.0,37.54576563028261
182.0,70.68357017105423
183.0,96.30205864037356
184.0,112.07735860754934
185.0,116.68077561659776
186.0,109.88695777043127
187.0,92.5740931564962
188.0,66.6181762697951
189.0,34.693465518654186
190.0,5.962535747601479e-12
191.0,34.05435936629788
192.0,64.18604258037244
193.0,87.54991915137784
194.0,102.00565200610181
195.0,106.31152666120613
196.0,100.22840460376483
197.0,84.52536442002997
198.0,60.88816705332676
199.0,31.740986638063642
200.0,3.8164416884079366e-12
201.0,31.216335293145352
202.0,58.89172896775752
203.0,80.40169305354158
204.0,93.76072022835423
205.0,97.8038807197058
206.0,92.28638170919936
207.0,77.89277954058774
208.0,56.15635527504494
209.0,29.297801856873892
210.0,1.5435100916981266e-12
211.0,28.858437707913016
212.0,54.484540704177036
213.0,74.43990867878583
214.0,86.8714287249625
215.0,90.6820710950112
216.0,85.62614057776649
217.0,72.32086620509428
218.0,52.17439433729978
219.0,27.23831256314347
220.0,2.9660617011004828e-12
221.0,26.86430439439814
222.0,50.751317625761494
223.0,69.38190796677985
224.0,81.01753271947487
225.0,84.62145897317058
226.0,79.94991091921253
227.0,67.56525074605528
228.0,48.77093522190468
229.0,25.47555199164308
230.0,3.393643975062741e-12
231.0,25.15280472892543
232.0,47.542938409410155
233.0,65.0292965107413
234.0,75.97352592807533
235.0,79.39271456392166
236.0,75.04668401646656
237.0,63.452229629945116
238.0,45.823812614705005
239.0,23.947331782972356
240.0,2.0700858879419707e-12
241.0,23.66558692038087
242.0,44.751847131577414
243.0,61.23858192249753
244.0,71.57586115826567
245.0,74.82907069507822
246.0,70.76260995953179
247.0,59.85482329269821
248.0,43.24349345378765
249.0,22.607960227945096
250.0,5.383657944160072e-12
251.0,22.359566868303727
252.0,42.29843890814459
253.0,57.903310490262825
254.0,67.70292373312101
255.0,70.80623365541783
256.0,66.98276319170631
257.0,56.677967009037566
258.0,40.96280068750025
259.0,21.423080511573627
260.0,4.50417011085733e-12
261.0,21.202211291183392
262.0,40.12247879723458
263.0,54.94276712164359
264.0,64.26231777897515
265.0,67.22958492748766
266.0,63.619485623043495
267.0,53.84901147744862
268.0,38.930299387478954
269.0,20.36633757555956
270.0,5.2924953754610365e-12
271.0,20.168472144560496
272.0,38.17750715536832
273.0,52.29458506055681
274.0,61.182525877938595
275.0,64.02575996382336
276.0,60.6046935507234
277.0,51.31143514804501
278.0,37.10590631613935
279.0,19.41715918717509
280.0,3.840622441878438e-12
281.0,19.238734359869362
282.0,36.42708401520095
283.0,49.90977144665747
284.0,58.407280145091285
285.0,61.136949708590315
286.0,57.88465836971205
287.0,49.02056747427374
288.0,35.457896082180845
289.0,18.55923906483118
290.0,1.983260099955623e-12
291.0,18.397406021058657
292.0,34.84220291662057
293.0,47.749273721172635
294.0,55.89166777213336
295.0,58.5169488914305
296.0,55.416378893663776
297.0,46.9406096369712
298.0,33.960810911410974
299.0,17.779475499718966
300.0,1.5338299526531454e-12
301.0,17.631927617859457
302.0,33.39946962662216
303.0,45.78155647947186
304.0,53.59937693809225
305.0,56.12835572093517
306.0,53.16500545350797
307.0,45.042514815012275
308.0,32.593970521142474
309.0,17.067213217222694
310.0,4.5344841047059087e-13
311.0,16.93206163206982
312.0,32.07979372142111
313.0,43.9808574109194
314.0,51.50071088569487
315.0,53.94054893918674
316.0,51.10197569454076
317.0,43.30245137201119
318.0,31.340389859423038
319.0,16.41369178506162
320.0,2.5544759978943636e-12
321.0,16.28937388530707
322.0,30.86743172844267
323.0,42.32590971104847
324.0,49.57113074384855
325.0,51.928201040176965
326.0,49.203642235943654
327.0,41.700669704157725
328.0,30.185979840890113
329.0,15.811637613186114
330.0,3.6667928161916424e-12
331.0,15.696848711148311
332.0,29.749276074504287
333.0,40.79899125460115
334.0,47.790169418118715
335.0,50.07016845033229
336.0,47.45024677156191
337.0,40.22065391484201
338.0,29.118948122072474
339.0,15.254957631216794
340.0,2.5007868531775437e-12
341.0,15.148599217159378
342.0,28.714318990825124
343.0,39.385206738918214
344.0,46.14061048336324
345.0,48.34865136623331
346.0,45.82514240134273
347.0,38.848477903595196
348.0,28.129343671524815
349.0,14.738506171617782
350.0,5.501543130325551e-12
351.0,14.639646224565965
352.0,27.753242974597015
353.0,38.0719386068255
354.0,44.607859353644606
355.0,46.74854954166595
356.0,44.314196611195776
357.0,37.572310436107955
358.0,27.208706294003147
359.0,14.257905362176947
360.0,3.714754511324229e-12
361.0,14.165747551425703
362.0,26.85810415239425
363.0,36.8484220396132
364.0,43.17945599140942
365.0,45.25696251523786
366.0,42.9053275961126
367.0,36.382030331164906
368.0,26.349793833461554
369.0,13.80940517457389
370.0,2.8868468865000527e-12
371.0,13.723264703371063
372.0,26.022084763415574
373.0,35.70541237749755
374.0,41.844693192143154
375.0,43.86279771336409
376.0,41.58814029505106
377.0,35.268924093231256
378.0,25.546367606425786
379.0,13.389773236482378
380.0,1.7034272597321474e-12
381.0,13.309057708000159
382.0,25.239297706879483
383.0,34.63492224279965
384.0,40.5943145800969
385.0,42.556460095325505
386.0,40.35363788383799
387.0,34.225446007821084
388.0,24.79302200204539
389.0,12.99620724425521
390.0,3.876317858081708e-12
391.0,12.920401367145585
392.0,24.50463075476947
393.0,33.630011824233605
394.0,39.42027346401833
395.0,41.32960412288941
396.0,39.193991003712306
397.0,33.24502607983973
398.0,24.085047946813482
399.0,12.62626472231179
400.0,2.4469604884874026e-12
401.0,12.554917982021584
402.0,23.81362130284949
403.0,32.684620131034414
404.0,38.31553864295951
405.0,40.174933857576285
406.0,38.102351617837286
407.0,32.32191498931046
408.0,23.41832259652657
409.0,12.277806230261518
410.0,2.3946245899839482e-12
411.0,12.210522872842175
412.0,23.16235486303726
413.0,31.793428128111366
414.0,37.27393678046007
415.0,39.08604057809202
416.0,37.0727016914358
417.0,31.451057958270628
418.0,22.789219530770854
419.0,11.948949091693331
420.0,3.180461069338578e-12
421.0,11.885379926826257
422.0,22.54738218084857
423.0,30.95174690346203
424.0,36.29002351638451
425.0,38.057269908566624
426.0,36.09972928513339
427.0,30.627991395964184
428.0,22.194535114277876
429.0,11.638029426616495
430.0,2.4192474061180087e-12
431.0,11.577865073653513
432.0,21.965651087785638
433.0,30.15542565571654
434.0,35.358977351008555
435.0,37.08361235049257
436.0,35.17872640590216
437.0,29.848757637095655
438.0,21.631427709872113
439.0,11.343570789920959
440.0,8.772861924154521e-13
441.0,11.286536077312956
442.0,21.414450103428315
443.0,29.400775498174564
444.0,34.4765117150943
445.0,36.16061251900359
446.0,34.305504259541536
447.0,29.10983416160318
448.0,21.097367185365062
449.0,11.064258104986525
450.0,2.5473880184824798e-12
451.0,11.010107398342747
452.0,20.891361475911296
453.0,28.684505977240093
454.0,33.638801669498
455.0,35.28429343613138
456.0,33.476322521394295
457.0,28.408074488337395
458.0,20.59009272422139
459.0,10.798915871665185
460.0,7.328454389670505e-13
461.0,10.747429154580608
462.0,20.39422185691952
463.0,28.00367188205388
464.0,32.842422453989194
465.0,34.45109302762719
466.0,32.687829975927315
467.0,27.740658542662278
468.0,20.107577379654316
469.0,10.546489847682261
470.0,2.1165499662590798e-12
471.0,10.497469416604542
472.0,19.92108919234214
473.0,27.35562843795459
474.0,32.084297695189186
475.0,33.657810573867444
476.0,31.937014435547486
477.0,27.105050761213718
478.0,19.64799813922041
479.0,10.306031570114142
480.0,5.955784191747128e-12
481.0,10.259299233156634
482.0,19.470214704425917
483.0,26.737993371675636
484.0,31.361655536137363
485.0,32.901561329152884
486.0,31.221160278216978
487.0,26.498964553212318
488.0,19.209710519201224
489.0,10.076685212816061
490.0,2.1782864415087454e-12
491.0,10.032079904529438
492.0,19.040019068837598
493.0,26.148614641211555
494.0,30.671991299675536
495.0,32.179737882040264
496.0,30.53781227624541
497.0,25.920332013301195
498.0,18.791226903481807
499.0,9.85767637589176
500.0,2.0369152069506886e-12
501.0,9.815052117159523
502.0,18.629072066721907
503.0,25.585542860847802
504.0,30.013035570249915
505.0,31.489977108846468
506.0,29.88474464748913
507.0,25.367277996233106
508.0,18.391197993989298
509.0,9.648302481447846
510.0,1.3047885509192995e-12
511.0,9.607526627225715
512.0,18.23607513039276
513.0,25.047007637683276
514.0,29.38272679195893
515.0,30.83013179141073
516.0,29.259934463929387
517.0,24.83809783257049
518.0,18.00839685985182
519.0,9.447924511588754
520.0,2.2568511830754888e-13
521.0,9.408876239852976
522.0,17.85984631033394
523.0,24.531397182762703
524.0,28.779187649324193
525.0,30.198246143365036
526.0,28.661538713223624
527.0,24.33123809821357
528.0,17.64170516722419
529.0,9.255959873100194
530.0,9.34434604959274e-13
531.0,9.218528876902619
532.0,17.499307277620414
533.0,24.0372406763054
534.0,28.200704630852268
535.0,29.59253462647952
536.0,28.087874436654953
537.0,23.84527995699261
538.0,17.29010124715952
539.0,9.071876212423147
540.0,1.825449668694622e-12
541.0,9.035961563596764
542.0,17.153472045111165
543.0,23.56319295935906
544.0,27.645710282391345
545.0,29.011363548708225
546.0,27.537401469147238
547.0,23.378924680421626
548.0,16.952649719449973
549.0,8.895186035233817
550.0,2.3577180082442905e-12
551.0,8.860695193909802
552.0,16.821437145925923
553.0,23.10802119892231
554.0,27.112767743082074
555.0,28.45323502369405
556.0,27.008707389230437
557.0,22.930981017263605
558.0,16.628492439038997
559.0,8.725442010311626
560.0,4.792865025190431e-12
561.0,8.692289958667871
562.0,16.502373052588016
563.0,22.670593233791834
564.0,26.60055722600793
565.0,27.91677294301622
566.0,26.500494353205315
567.0,22.500354140933396
568.0,16.316840570913268
569.0,8.562232857462572
570.0,4.314954046022366e-12
571.0,8.530341339772857
572.0,16.195516656392332
573.0,22.24986735715077
574.0,26.107864161950413
575.0,27.400710670326582
576.0,26.01156754196111
577.0,22.086035947704733
578.0,16.016967631497245
579.0,8.405179735820203
580.0,1.5080252566059626e-12
581.0,8.374476589801178
582.0,15.900164656014868
583.0,21.84488333193482
584.0,25.633568770544688
585.0,26.90388021383612
586.0,25.540824992747204
587.0,21.687096515545004
588.0,15.728203360684144
589.0,8.253933062425121
590.0,1.6825329111555986e-12
591.0,8.224351629179079
592.0,15.615667728824796
593.0,21.454754467423466
594.0,25.17663686077698
595.0,26.42520267250692
596.0,25.087248624573075
597.0,21.30267656343163
598.0,15.449928310298986
599.0,8.108169701904536
600.0,1.4768058146664006e-12
601.0,8.079648303869616
602.0,15.341425377894627
603.0,21.078660612691635
604.0,24.7361116936711
605.0,25.96367978309557
606.0,24.649896295664664
607.0,20.931980776103916
608.0,15.181569052278308
609.0,7.967590477360996
610.0,4.895252725560164e-12
611.0,7.940071955198761
612.0,15.076881364431634
613.0,20.71584194435501
614.0,24.31110676573901
615.0,25.518386421743028
616.0,24.227894756015967
617.0,20.574271879570126
618.0,14.922593924731403
619.0,7.83191796015461
620.0,6.513612496834395e-12
621.0,7.8053492608691855
622.0,14.82151964890812
623.0,20.365593444822782
624.0,23.900799392947118
625.0,25.088463935667942
626.0,23.820433378578073
627.0,20.22886536993578
628.0,14.67250924623399
629.0,7.700894502393291
630.0,1.173403265545705e-12
631.0,7.67522631220494
632.0,14.5748607754076
633.0,20.027259982362
634.0,23.504424992593478
635.0,24.673114198950024
636.0,23.42675856986176
637.0,19.895124812377848
638.0,14.430855938759283
639.0,7.574280481486021
640.0,3.1365275568020382e-12
641.0,7.549466897753726
642.0,14.336458643355448
643.0,19.70023191729661
644.0,23.121271975550155
645.0,24.271594301459537
646.0,23.046168774795795
647.0,19.5724576390197
648.0,14.197206508332787
649.0,7.451852730255994
650.0,8.650863463096656e-13
651.0,7.42785096775508
652.0,14.105897618641874
653.0,19.383941169265366
654.0,22.750677173473584
655.0,23.883211793135686
656.0,22.67801000289073
657.0,19.260311384525682
658.0,13.971162339669732
659.0,7.333403130000736
660.0,1.0543333764510407e-12
661.0,7.310173257287632
662.0,13.882789942960317
663.0,19.077857689697026
664.0,22.392021736321116
665.0,23.507320416420132
666.0,22.321671812805796
667.0,18.958170306735987
668.0,13.752351266958309
669.0,7.218737346951685
670.0,3.21944608021423e-12
671.0,7.196242049341664
672.0,13.666773405688597
673.0,18.781486291160235
674.0,22.044727444184996
675.0,23.1433162689577
676.0,21.976583701076432
677.0,18.665552346779283
678.0,13.540425388326453
679.0,7.107673695152251
680.0,4.931091028914137e-12
681.0,7.085878061162675
682.0,13.457509247634368
683.0,18.494363791917564
684.0,21.70825338510808
685.0,22.79063434639672
686.0,21.64221184784618
687.0,18.382006389239972
688.0,13.335059095548612
689.0,7.000042111299238
690.0,5.8369721159464076e-12
691.0,6.978913439863945
692.0,13.25468026989716
693.0,18.216056439377255
694.0,21.382092956834718
695.0,22.44874542168133
696.0,21.318056178903202
697.0,18.107109788133428
698.0,13.135947294682614
699.0,6.895683228560216
700.0,2.694144194429415e-12
701.0,6.875190854713291
702.0,13.05798912458927
703.0,17.94615758094973
704.0,21.06577115599431
705.0,22.11715322305666
706.0,21.003647708337464
707.0,17.840466128819106
708.0,12.94280379603511
709.0,6.794447538552257
710.0,1.9310915339367213e-12
711.0,6.774562675486589
712.0,12.867156767262742
713.0,17.68428555481003
714.0,20.75884212276284
715.0,21.795391877556646
716.0,20.698546130891426
717.0,17.581703199807404
718.0,12.755359854920714
719.0,6.696194631557441
720.0,2.826926986233886e-12
721.0,6.67689022731697
722.0,12.681921053259298
723.0,17.430081776568063
724.0,20.460886913213624
725.0,21.483023591169353
726.0,20.40233763676395
727.0,17.330471151735708
728.0,12.57336284682299
729.0,6.600792506686178
730.0,2.4527935478169453e-12
731.0,6.582043113909439
732.0,12.502035462509406
733.0,17.18320900069915
734.0,20.171511474833185
735.0,21.17963654026755
736.0,20.114632925143837
737.0,17.086440823439144
738.0,12.396575062633604
739.0,6.508116944396239
740.0,3.485621594565197e-12
741.0,6.489898601734365
742.0,12.327267939192271
743.0,16.943349738349802
744.0,19.89034480381351
745.0,20.884842952033182
746.0,19.83506539545984
747.0,16.849302217559558
748.0,12.22477261135491
749.0,6.418050934961819
750.0,2.670651359570499e-12
751.0,6.400341058928165
752.0,12.157399834253983
753.0,16.710204815134617
754.0,19.617037265155115
755.0,20.598277354225498
756.0,19.56328949803111
757.0,16.618763110307384
758.0,12.05774441918593
759.0,6.330484157003659
760.0,2.087820211675598e-12
761.0,6.313261443273248
762.0,11.992224940187816
763.0,16.48349205466365
764.0,19.35125905895213
765.0,20.31959497704292
766.0,19.298979227720167
767.0,16.394547781555723
768.0,11.895291315150706
769.0,6.245312501095787
770.0,2.8868488296751865e-12
771.0,6.228556834178728
772.0,11.831548608856062
773.0,16.26294507501501
774.0,19.092698818123743
775.0,20.048470291702838
776.0,19.04182674637411
777.0,16.176395853326866
778.0,11.737225194629442
779.0,6.162437633838475
780.0,1.0741461393598944e-12
781.0,6.146130004439763
782.0,11.675186943921254
783.0,16.048312186976634
784.0,18.841062324499113
785.0,19.784595672243512
786.0,18.791541121133456
787.0,15.964061225880215
788.0,11.583368253071184
789.0,6.081766598505754
790.0,1.2212748949366355e-12
791.0,6.065889027696222
792.0,11.522966060704897
793.0,15.839355384086344
794.0,18.596071331742873
795.0,19.52768016843894
796.0,18.547847167421256
797.0,15.757311101895926
798.0,11.433552283088023
799.0,6.003211448667389
800.0,2.4549403778140077e-12
801.0,5.987746918273844
802.0,11.374721406921044
803.0,15.63584941554709
804.0,18.357462484726916
805.0,19.27744837920399
806.0,18.310484386527108
807.0,15.555925090338556
808.0,11.287618028838482
809.0,5.926688911573433
810.0,1.0234673566850247e-12
811.0,5.911621300212828
812.0,11.23029713832657
813.0,15.437580934248151
814.0,18.124986326271188
815.0,19.033639416883783
816.0,18.079205988750527
817.0,15.359694382431638
818.0,11.145414592299515
819.0,5.852120078651926
820.0,7.715990093884375e-12
821.0,5.837434102808824
822.0,11.089545544483695
823.0,15.24434771265617
824.0,17.898406383008048
825.0,18.79600595396471
826.0,17.853777994244275
827.0,15.168420992952926
828.0,11.006798886561999
829.0,5.779430120379708
830.0,5.430642127689011e-13
831.0,5.765111280157427
832.0,10.952326519551606
833.0,15.055957920498262
834.0,17.67749832307804
835.0,18.56431334460479
836.0,17.63397840422198
837.0,14.98191706102227
838.0,10.871635131863739
839.0,5.708548023518275
840.0,3.9888878144529035e-12
841.0,5.69458255251631
842.0,10.818507074356228
843.0,14.872229458460959
844.0,17.46204917913407
845.0,18.3383388141245
846.0,17.419596436321225
847.0,14.800004204732764
848.0,10.739794390479926
849.0,5.639406348460915
850.0,1.8258865387770898e-12
851.0,5.625781167585828
852.0,10.687960885763971
853.0,14.692989342936695
854.0,17.251856630708396
855.0,18.117870710423226
856.0,17.21043181819562
857.0,14.622512925018082
858.0,10.611154136959371
859.0,5.571941005137816
860.0,2.8464436728333953e-12
861.0,5.558643679774896
862.0,10.5605678802461
863.0,14.51807313719921
864.0,17.046728340786004
865.0,17.902707811778544
866.0,17.006294134317997
867.0,14.44928205429752
868.0,10.485597860648564
869.0,5.506091045598422
870.0,5.0603912364716545e-12
871.0,5.493109746068498
872.0,10.436213848440431
873.0,14.347324425064052
874.0,16.846481341725898
875.0,17.692658686146498
876.0,16.807002221289164
877.0,14.280158245990913
878.0,10.363014697639544
879.0,5.441798472014009
880.0,2.283747011203782e-12
881.0,5.4291219368672285
882.0,10.314790088205191
883.0,14.180594323225636
884.0,16.65094146636154
885.0,17.487541097467012
886.0,16.612383607461428
887.0,14.114995501460985
888.0,10.243299089635734
889.0,5.379008058692999
890.0,3.734158151635817e-12
891.0,5.366625560695249
892.0,10.196193073552596
893.0,14.017741029073333
894.0,16.459942820359608
895.0,17.28718145501886
896.0,16.42227399314769
897.0,13.95365473110219
898.0,10.12635046745772
899.0,5.317667186876403
900.0,4.608849040384884e-13
901.0,5.305568501423132
902.0,10.080324147444417
903.0,13.85862940090602
904.0,16.273327292411444
905.0,17.091414302183228
906.0,16.236516767939044
907.0,13.796003346806994
908.0,10.012072957093364
909.0,5.257725691399347
910.0,1.332388387771443e-12
911.0,5.245901067150491
912.0,9.967089236336015
913.0,13.703130567941004
914.0,16.090944099037458
915.0,16.90008184132508
916.0,16.05496256217642
917.0,13.641914883131928
918.0,9.900375106485756
919.0,5.199135718020061
920.0,2.145189481236418e-12
921.0,5.187575849602261
922.0,9.856398584746975
923.0,13.551121567564593
924.0,15.912649361287887
925.0,16.713033491868114
926.0,15.877468829615932
927.0,13.491268644872406
928.0,9.791169631261917
929.0,5.14185159076671
930.0,3.075098770616853e-12
931.0,5.130547593335361
932.0,9.74816650817428
933.0,13.402485007724177
934.0,15.738305710594684
935.0,16.530125478813382
936.0,15.703899458892549
937.0,13.343949378877006
938.0,9.684373178017328
939.0,5.08582968829016
940.0,1.3372224746422565e-13
941.0,5.074773073868046
942.0,9.64231116293051
943.0,13.257108752318176
944.0,15.567781921594955
945.0,16.351220449358898
946.0,15.534124411408559
947.0,13.199846968157585
948.0,9.579906103608284
949.0,5.031028328707491
950.0,4.206951809141686e-12
951.0,5.020210984054309
952.0,9.538754331566446
953.0,13.114885627862645
954.0,15.400952569631498
955.0,16.176187115285746
956.0,15.36801938361273
957.0,13.058856146595339
