Frequency (Hz),Magnitude (db)
0.0,-322.1874226194603
1.0,-93.20673181528015
2.0,-81.59879905928571
3.0,-75.29784892270304
4.0,-71.38801283869633
5.0,-69.00610572984331
6.0,-67.84877058810604
7.0,-67.90346856216296
8.0,-69.5053059403011
9.0,-74.05210806411222
10.0,-313.7036711319333
11.0,-72.2740064531307
12.0,-65.91326299894402
13.0,-62.421181713573134
14.0,-60.34862655652513
15.0,-59.28775786963419
16.0,-59.13546707114712
17.0,-59.98439549254713
18.0,-62.231341115218946
19.0,-67.31316803403917
20.0,-315.2979844318415
21.0,-66.37146378512399
22.0,-60.343509074349825
23.0,-57.141454849555075
24.0,-55.32360193311707
25.0,-54.48787308394421
26.0,-54.535699556043404
27.0,-55.563351176017704
28.0,-57.97056271822615
29.0,-63.196601670054136
30.0,-322.16029459655596
31.0,-62.502774298844614
32.0,-56.58153133533218
33.0,-53.476344913469745
34.0,-51.746517555777984
35.0,-50.99082934514123
36.0,-51.11144885022576
37.0,-52.205282688529266
38.0,-54.672617609141994
39.0,-59.953201012435315
40.0,-316.2798569161869
41.0,-59.35334579922474
42.0,-53.472214974451155
43.0,-50.402943588828364
44.0,-48.70507807079495
45.0,-47.97761128846683
46.0,-48.122896897005944
47.0,-49.238001765934534
48.0,-51.72335045657229
49.0,-57.01880773730031
50.0,-311.68998563025417
51.0,-56.43965747214364
52.0,-50.56450365719995
53.0,-47.49836322071993
54.0,-45.80081707239071
55.0,-45.070878178417104
56.0,-45.21090617517831
57.0,-46.317959883996224
58.0,-48.792441699276885
59.0,-54.07417983562864
60.0,-309.4406395541255
61.0,-53.45881340862022
62.0,-47.56101245671191
63.0,-44.469070418016784
64.0,-42.74244871511122
65.0,-41.98002036781607
66.0,-42.08398260929813
67.0,-43.15120700416233
68.0,-45.58188097027955
69.0,-50.815586601882224
70.0,-313.9484217286975
71.0,-50.09031563910923
72.0,-44.1299536598589
73.0,-40.969834981015964
74.0,-39.16893874893805
75.0,-38.325583608722226
76.0,-38.341327563388596
77.0,-39.312302381807974
78.0,-41.637835632301204
79.0,-46.7565051361361
80.0,-308.7110168431629
81.0,-45.76654358653579
82.0,-39.65347483758211
83.0,-36.324533212322066
84.0,-34.336291610560906
85.0,-33.28412896427755
86.0,-33.06597179154097
87.0,-33.77340896216405
88.0,-35.800002486711676
89.0,-40.5768901013996
90.0,-309.25024152104305
91.0,-38.73229013498806
92.0,-32.0749417904876
93.0,-28.091542847031423
94.0,-25.299623752772646
95.0,-23.232867937583332
96.0,-21.684017811386745
97.0,-20.544409769969878
98.0,-19.752256228149243
99.0,-19.271958083911727
100.0,0.0
101.0,-19.18509412042581
102.0,-19.57849789046257
103.0,-20.283696196223573
104.0,-21.336257607590838
105.0,-22.79793905582625
106.0,-24.777373328249887
107.0,-27.48178699338898
108.0,-31.37746535284404
109.0,-37.94684639986387
110.0,-309.99685165749025
111.0,-39.614643681054076
112.0,-34.748855709612705
113.0,-32.63298508291261
114.0,-31.835860372308264
115.0,-31.96388530174303
116.0,-32.92543611008806
117.0,-34.82255070728253
118.0,-38.05981385152467
119.0,-44.08061553567709
120.0,-315.81631277109875
121.0,-44.884124409720805
122.0,-39.67119051545075
123.0,-37.250646590196624
124.0,-36.18387271615981
125.0,-36.07149800489644
126.0,-36.81734605850241
127.0,-38.519812845592654
128.0,-41.58053219738513
129.0,-47.44047584646044
130.0,-314.62264415720074
131.0,-47.96164800908215
132.0,-42.624154663587966
133.0,-40.088459236405896
134.0,-38.91492074024103
135.0,-38.703290491929565
136.0,-39.356633125832815
137.0,-40.97268489608353
138.0,-43.952503368930245
139.0,-49.73655460208006
