Frequency (Hz),Magnitude
0.0,8.721103112849359e-14
1.0,1.1127688271379688e-13
2.0,6.689096156526379e-13
3.0,1.3002867070262864e-12
4.0,2.4978357936112154e-12
5.0,7639.437268410977
6.0,2.6273307921829036e-12
7.0,1.2796179727510044e-12
8.0,7.451625274686301e-13
9.0,1.52875638353218e-13
10.0,1.811825867634882e-13
11.0,2.9730683892069887e-13
12.0,7.565106377249534e-13
13.0,9.894758369125046e-13
14.0,2.5452802250915363e-12
15.0,2546.4790894703256
16.0,2.4648143597597416e-12
17.0,9.20362258451542e-13
18.0,4.980464694220058e-13
19.0,2.631223423170116e-13
20.0,1.3280307167484333e-13
21.0,1.8468395732860034e-13
22.0,5.124639945877449e-13
23.0,1.3248401308005947e-12
24.0,2.6123478253384964e-12
25.0,1527.887453682195
26.0,2.7070733894569155e-12
27.0,1.3735910707913921e-12
28.0,6.265217956217089e-13
29.0,3.5039751081650553e-13
30.0,7.710266469004065e-14
31.0,2.67363833260914e-13
32.0,6.293764028758507e-13
33.0,1.2705740701368921e-12
34.0,2.59237994993524e-12
35.0,1091.3481812015682
36.0,2.63878749646587e-12
37.0,1.3307868160055914e-12
38.0,6.290805308956085e-13
39.0,1.9602378991314656e-13
40.0,2.665274482383973e-13
41.0,3.580322294328021e-13
42.0,7.097068265410448e-13
43.0,1.25524721146525e-12
44.0,2.8224796821711394e-12
45.0,848.8263631567753
46.0,2.667622550517126e-12
47.0,1.5030617380073742e-12
48.0,4.700078649240089e-13
49.0,5.354207178211718e-13
50.0,2.841415319745587e-13
51.0,2.0695070478436972e-13
52.0,6.302707842356788e-13
53.0,1.2928580403165273e-12
54.0,2.6398431415146653e-12
55.0,694.4942971282704
56.0,2.559976628837529e-12
57.0,1.1366388747801598e-12
58.0,7.44754896191497e-13
59.0,6.35502183431231e-13
60.0,2.2580303147672523e-13
61.0,1.0279420050071884e-13
62.0,5.017497602684205e-13
63.0,1.20732552998139e-12
64.0,2.5006683844899955e-12
65.0,587.6490206469985
66.0,2.8987381859711295e-12
67.0,1.3142559858359174e-12
68.0,7.780455285192009e-13
69.0,5.834469511212e-13
70.0,7.813972541507603e-14
71.0,4.283217625131356e-13
72.0,4.823911636699716e-13
73.0,1.2115871012022146e-12
74.0,2.4046642087698557e-12
75.0,509.295817894065
76.0,2.625682683057718e-12
77.0,1.1342091750586254e-12
78.0,6.374487575636159e-13
79.0,4.121865202950295e-13
80.0,3.3742598575826077e-13
81.0,2.837636450776016e-13
82.0,4.929485284061763e-13
83.0,1.2164300753467322e-12
84.0,2.688079794168023e-12
85.0,449.3786628477046
86.0,2.6366768202715777e-12
87.0,1.4093221411492855e-12
88.0,5.878022171437385e-13
89.0,4.2858400122453216e-13
90.0,5.679342543314436e-13
91.0,1.743768687704614e-13
92.0,5.821224130094986e-13
93.0,1.269278087268426e-12
94.0,2.4893177281779952e-12
95.0,402.0756457058408
96.0,2.587886798413663e-12
97.0,1.4710509192086026e-12
98.0,1.0395016282599066e-12
99.0,4.464551969685342e-13
100.0,1.9431886317486467e-13
101.0,1.1955845474406422e-13
102.0,4.865274179147604e-13
103.0,1.0470483011571704e-12
104.0,2.6305096705575628e-12
105.0,363.7827270671895
106.0,2.8098987058868688e-12
107.0,1.5425220769116142e-12
108.0,7.361596287753331e-13
109.0,2.5767552592211156e-13
110.0,2.0270765269949927e-14
111.0,2.925680856648349e-13
112.0,5.826389926832039e-13
113.0,1.1920345342353028e-12
114.0,2.6180182509764576e-12
115.0,332.1494464526513
116.0,2.5726491528915482e-12
117.0,1.2889142362266268e-12
118.0,6.519180459471586e-13
119.0,7.803830022112282e-13
120.0,7.222907937144855e-13
121.0,1.272485803306245e-13
122.0,4.52023694230912e-13
123.0,1.1434108630586324e-12
124.0,2.3861221019405636e-12
125.0,305.57749073643936
126.0,2.924480275467708e-12
127.0,1.2626125079123255e-12
128.0,8.976936727003813e-13
129.0,4.560726900244947e-13
130.0,1.591843163598747e-13
131.0,1.9946032329772634e-13
132.0,3.724606411308713e-13
133.0,8.766634383751112e-13
134.0,2.4076741628514253e-12
135.0,282.94212105225847
136.0,2.793410425353027e-12
137.0,1.3100607221935595e-12
138.0,9.884004403721546e-13
139.0,4.480269442052485e-13
140.0,2.0540492935311775e-13
141.0,3.150342696816599e-13
142.0,4.543879046930044e-13
143.0,1.0403413385696733e-12
144.0,2.5989046447809698e-12
145.0,263.4288713245166
146.0,2.7300022607943293e-12
147.0,1.3998248109254814e-12
148.0,8.64614342486586e-13
149.0,3.7799096715499115e-13
150.0,3.965783621371449e-13
