Frequency (Hz),Magnitude (db)
0.0,1.1571929598639439e-14
1.0,-12.184535711000615
2.0,-12.620366336882544
3.0,-13.367340893292534
4.0,-14.461041991445263
5.0,-15.96324017133023
6.0,-17.98258141335491
7.0,-20.726305079648256
8.0,-24.66070888131697
9.0,-31.268242851688782
10.0,-298.0097546589708
11.0,-33.01067481945259
12.0,-28.181390966945333
13.0,-26.101496676629598
14.0,-25.339830910220545
15.0,-25.502807487513017
16.0,-26.498812459324267
17.0,-28.42989327377156
18.0,-31.700643963161834
19.0,-37.75446353967657
20.0,-297.98241688089655
21.0,-38.62263409634072
22.0,-33.44136083510645
23.0,-31.052041591612486
24.0,-30.01606431942562
25.0,-29.934065794687676
26.0,-30.70987708418709
27.0,-32.44190142794317
28.0,-35.53177974163164
29.0,-41.42049066143299
30.0,-298.0074238279469
31.0,-41.99804903695473
32.0,-36.688187588028455
33.0,-34.17975828561613
34.0,-33.03312622499865
35.0,-32.8480486565705
36.0,-33.527596003850825
37.0,-35.16951017017412
38.0,-38.174854235312075
39.0,-43.984099638932115
40.0,-298.0617997398389
41.0,-44.416196186496535
42.0,-39.03959120926302
43.0,-36.46797942524368
44.0,-35.261445642323444
45.0,-35.019495632160286
46.0,-35.64497352251212
47.0,-37.235417014710414
48.0,-40.191704436788314
49.0,-45.95413965561691
50.0,-298.05712365964604
51.0,-46.29875932041392
52.0,-40.88122203741972
53.0,-38.2703904327574
54.0,-37.026242945273054
55.0,-36.748187636176645
56.0,-37.338978715212995
57.0,-38.89607099421439
58.0,-41.820266264697466
59.0,-47.55179761112106
60.0,-298.0473479714049
61.0,-47.83791687443214
62.0,-42.39266576158989
63.0,-39.75507320288693
64.0,-38.48506870160731
65.0,-38.18201468501162
66.0,-38.74862275607445
67.0,-40.282307899585454
68.0,-43.183834636226166
69.0,-48.89340113357612
70.0,-298.04734527650675
71.0,-49.137572772339894
72.0,-43.672279252943014
73.0,-41.015228421205535
74.0,-39.72632419597831
75.0,-39.40490489484691
76.0,-39.95365938094124
77.0,-41.4699811729558
78.0,-44.354614511132695
79.0,-50.047738387396365
80.0,-298.0617997398389
81.0,-50.260305497361784
82.0,-44.77981660298337
83.0,-42.1079541179645
