Frequency (Hz),Magnitude
0.0,1.5219706949479623e-05
1.0,1.5254207042022061e-05
2.0,1.5357404235765953e-05
3.0,1.5528403227600152e-05
4.0,1.576578322488985e-05
5.0,1.6067688821974486e-05
6.0,1.6431941969562565e-05
7.0,1.6856165052866783e-05
8.0,1.7337895534170366e-05
9.0,1.7874695398610967e-05
10.0,1.846423045946526e-05
11.0,1.910435121650154e-05
12.0,1.979313403388563e-05
13.0,2.052891766568261e-05
14.0,2.131032653933285e-05
15.0,2.2136273851389065e-05
16.0,2.3005969936713257e-05
17.0,2.391891250760059e-05
18.0,2.4874884972168134e-05
19.0,2.5873945557313313e-05
20.0,2.6916418006753493e-05
21.0,2.800288602476621e-05
22.0,2.91341842056057e-05
23.0,3.0311394726753052e-05
24.0,3.153584168689759e-05
25.0,3.2809091679650895e-05
26.0,3.413295496941076e-05
27.0,3.550948562601381e-05
28.0,3.694099047118294e-05
29.0,3.8430035315787156e-05
30.0,3.9979453320460344e-05
31.0,4.159236337773149e-05
32.0,4.327217754279715e-05
33.0,4.502262794961191e-05
34.0,4.6847780169268145e-05
35.0,4.875206481171026e-05
36.0,5.074030089396139e-05
37.0,5.2817729885254584e-05
38.0,5.4990052708222275e-05
39.0,5.7263469456088096e-05
40.0,5.964472781188858e-05
41.0,6.214117432456493e-05
42.0,6.476081420751267e-05
43.0,6.751238130030989e-05
44.0,7.040540826601143e-05
45.0,7.345032061855052e-05
46.0,7.665852775302394e-05
47.0,8.004253773963265e-05
48.0,8.361608354052666e-05
49.0,8.73942652043362e-05
50.0,9.139371730811306e-05
51.0,9.563279423237841e-05
52.0,0.00010013179174661831
53.0,0.00010491318983978968
54.0,0.00011000194699676149
55.0,0.00011542583008290005
56.0,0.00012121580111251938
57.0,0.0001274064712125833
58.0,0.0001340366239317465
59.0,0.0001411498377158442
60.0,0.0001487952120842045
61.0,0.00015702822756413903
62.0,0.00016591177280755857
63.0,0.0001755173551878401
64.0,0.00018592656768307087
65.0,0.00019723283833935368
66.0,0.00020954355752819838
67.0,0.00022298265562178935
68.0,0.00023769376092903693
69.0,0.00025384408169984646
70.0,0.0002716292060223677
71.0,0.00029127909506315697
72.0,0.0003130655926672092
73.0,0.00033731193194813067
74.0,0.00036440485619611425
75.0,0.00039481021107065666
76.0,0.00042909320178229386
77.0,0.0004679449640896728
78.0,0.0005122178322248857
79.0,0.0005629726868460914
80.0,0.0006215433807892158
81.0,0.000689625666169837
82.0,0.0007694018787936669
83.0,0.0008637188569539894
84.0,0.0009763467365779438
85.0,0.0011123636854307182
86.0,0.0012787418511358587
87.0,0.0014852647814312017
88.0,0.0017460098530753046
89.0,0.002081832622966021
90.0,0.002524712003304776
91.0,0.0031257455446552446
92.0,0.003970792905284352
93.0,0.005213502376113752
