Frequency (Hz),Magnitude (db)
0.0,-144.301983398052
1.0,-144.28231647211862
2.0,-144.22375289212252
3.0,-144.12757321781112
4.0,-143.9957982073279
5.0,-143.83104098863686
6.0,-143.6363313961158
7.0,-143.41493375651476
8.0,-143.17018163661686
9.0,-142.90533629402609
10.0,-142.6234850623875
11.0,-142.32746344760363
12.0,-142.0198180242525
13.0,-141.70278829364054
14.0,-141.37830727779573
15.0,-141.04801900482883
16.0,-140.71329843877774
17.0,-140.3752808075096
18.0,-140.03488780321044
19.0,-139.69285623951262
20.0,-139.34976416852584
21.0,-139.0060536094428
22.0,-138.66205224101475
23.0,-138.31799108567364
24.0,-137.97402096486098
25.0,-137.63022536830158
26.0,-137.28663176477335
27.0,-136.9432219032949
28.0,-136.59993882645986
29.0,-136.25669387774425
30.0,-135.91337253231546
31.0,-135.56983759185212
32.0,-135.22593456797213
33.0,-134.8814927627643
34.0,-134.53632924679596
35.0,-134.19024931217254
36.0,-133.84304883800928
37.0,-133.49451498614485
38.0,-133.1444268980047
39.0,-132.7925564765356
40.0,-132.4386684089251
41.0,-132.082520512121
42.0,-131.7238636349907
43.0,-131.3624411120679
44.0,-130.9979892274133
45.0,-130.6302357393597
46.0,-130.25890017656212
47.0,-129.88369267774937
48.0,-129.50431323219775
49.0,-129.12045097077663
50.0,-128.73178284023072
51.0,-128.33797277765163
52.0,-127.93866993932573
53.0,-127.53350785699469
54.0,-127.12210225430982
55.0,-126.70404957069879
56.0,-126.27892498193859
57.0,-125.84627996314606
58.0,-125.405640101436
59.0,-124.95650205028969
60.0,-124.49833058158853
61.0,-124.03055514628996
62.0,-123.55256564490793
63.0,-123.06370840473753
64.0,-122.56328068775252
65.0,-122.05052523877384
66.0,-121.5246234760739
67.0,-120.984688068037
68.0,-120.42975409130969
69.0,-119.85876889263919
70.0,-119.2705804594597
71.0,-118.66392341173847
72.0,-118.03740296131222
73.0,-117.38947566863393
74.0,-116.7184266330087
75.0,-116.02234222497323
76.0,-115.29907707553446
77.0,-114.54621419919573
78.0,-113.76101588178355
79.0,-112.940363256563
80.0,-112.08068084635241
81.0,-111.17784143268919
82.0,-110.2270449143601
83.0,-109.22266173818912
84.0,-108.15802818660542
85.0,-107.02517372102882
86.0,-105.81445218507926
87.0,-104.5140321053945
88.0,-103.10917596638673
89.0,-101.58119357522567
90.0,-99.90587287507856
