Frequency (Hz),Magnitude (db)
0.0,-273.87209056937945
1.0,-34.414375794956314
2.0,-28.82695550676596
3.0,-26.047684808376786
4.0,-24.63641941559324
5.0,-24.192450227062356
6.0,-24.618419366423737
7.0,-26.01167419187147
8.0,-28.772913265347846
9.0,-34.34227028905838
10.0,-273.6637070447556
11.0,-34.30600617116876
12.0,-28.700363457577147
13.0,-25.902795505454165
14.0,-24.473146906051962
15.0,-24.010697255739032
16.0,-24.418077173505182
17.0,-25.792622284980887
18.0,-28.53501916506778
19.0,-34.085389246739346
20.0,-273.87918840978193
21.0,-34.01066633545686
22.0,-28.38552555266523
23.0,-25.56826228111546
24.0,-24.118706965431244
25.0,-23.63612457404699
26.0,-24.02313057633263
27.0,-25.377044883582307
28.0,-28.098537745692227
29.0,-33.62771361078782
30.0,-273.94192485057135
31.0,-33.50966011169532
32.0,-27.8623451942766
33.0,-25.022541936045993
34.0,-23.550059622131364
35.0,-23.044141017837873
36.0,-23.407378262560165
37.0,-24.737066720443096
38.0,-27.433850778845464
39.0,-32.93780760100223
40.0,-273.56172667391627
41.0,-32.767668336060716
42.0,-27.093423908669372
43.0,-24.226055034541453
44.0,-22.725334615953493
45.0,-22.19046672333704
46.0,-22.524002285448287
47.0,-23.82319271508074
48.0,-26.488635458709958
49.0,-31.960357473411435
50.0,-273.61115881378487
51.0,-31.722849092955148
52.0,-26.013350686174412
53.0,-23.109594193207712
54.0,-21.571280627161016
55.0,-20.997536444719906
56.0,-21.290828636460347
57.0,-22.548317676088885
58.0,-25.170502305262037
59.0,-30.5973021434794
60.0,-273.75721486555426
61.0,-30.264478658117106
62.0,-24.504319899867024
63.0,-21.547701388210477
64.0,-19.954155712182843
65.0,-19.322623746734457
66.0,-19.555367471056904
67.0,-20.74932027369179
68.0,-23.30472864751894
69.0,-28.66123117337385
70.0,-273.4426750978586
71.0,-28.175955346378522
72.0,-22.332892928621817
73.0,-19.288339186321352
74.0,-17.60131884643942
75.0,-16.870194298106895
76.0,-16.996565549101142
77.0,-18.076604724708762
78.0,-20.509678186393224
79.0,-25.734401064939668
80.0,-273.65558667996925
81.0,-24.95222801847975
82.0,-18.940962247780924
83.0,-15.712472591382216
84.0,-13.823362872294675
85.0,-12.86904184677727
86.0,-12.74746480965399
87.0,-13.550248408399057
88.0,-15.670981477808033
89.0,-20.54082766797848
90.0,-273.87367555174285
91.0,-18.878701289990143
92.0,-12.310915589444587
93.0,-8.415993653283838
94.0,-5.711487859132754
95.0,-3.731102869114799
96.0,-2.267601657377048
97.0,-1.2123405435824046
98.0,-0.5035512523356503
99.0,-0.10565340225142145
100.0,1.7357894397958995e-13
101.0,-0.1807702353851123
102.0,-0.6537892105904415
103.0,-1.4377082122352014
104.0,-2.5681119175994134
105.0,-4.106772901883128
106.0,-6.162339150446408
107.0,-8.942052000695181
108.0,-12.912211109905819
109.0,-19.555268429022814
110.0,-273.51584756628716
111.0,-21.368058748829583
112.0,-16.57361359690035
113.0,-14.528333443945025
114.0,-13.801059034401998
115.0,-13.998205945298794
116.0,-15.028161959664398
117.0,-16.99297623326542
118.0,-20.29724448194362
119.0,-26.384367377738013
120.0,-273.48840988058134
121.0,-27.318508376548188
122.0,-22.169905443314267
123.0,-19.81304869888798
124.0,-18.80932764453649
125.0,-18.759380582850234
126.0,-19.567040086188186
127.0,-21.33071087962702
128.0,-24.45203534374347
129.0,-30.371993559811052
130.0,-273.04501235392115
131.0,-31.011455648769363
132.0,-25.73225341120272
133.0,-23.254290055011083
134.0,-22.137932026510523
135.0,-21.982937909263445
136.0,-22.692379442390155
137.0,-24.3639998275528
138.0,-27.398863425864256
139.0,-33.2374429416266
140.0,-273.40991122135006
141.0,-33.727656427059976
142.0,-28.37983672374664
143.0,-25.83682968952738
144.0,-24.658721317413477
145.0,-24.445018549050374
146.0,-25.09856666728844
147.0,-26.7169045138944
148.0,-29.70091154291228
149.0,-35.49089273302654
150.0,-273.54220547722997
151.0,-35.89008781107087
152.0,-30.499582124680252
153.0,-27.9156127906791
154.0,-26.69815929201925
155.0,-26.446630721095975
156.0,-27.063782306118558
157.0,-28.647069864857407
158.0,-31.59729618243144
159.0,-37.354695324751084
160.0,-273.73865158054355
161.0,-37.692064292457566
162.0,-32.27219699191316
163.0,-29.659828802256275
164.0,-28.414890150164204
165.0,-28.13674437518832
166.0,-28.7281039816563
167.0,-30.286384844933636
168.0,-33.2123523656572
169.0,-38.94620558089348
170.0,-273.35796436711985
171.0,-39.238491883402226
172.0,-33.79702799786174
173.0,-31.163656110070242
174.0,-29.89828095825617
175.0,-29.600241669781045
176.0,-30.1722279080862
177.0,-31.71163398284611
178.0,-34.619204916081486
179.0,-40.3351204724195
180.0,-273.85030560275476
181.0,-40.59283624382205
182.0,-35.13470583197565
183.0,-32.48505891708126
184.0,-31.203785491219392
185.0,-30.890210674497823
186.0,-31.447010816083548
187.0,-32.971567561829474
188.0,-35.86461388096104
189.0,-41.56631805974848
190.0,-273.7439447542539
191.0,-41.79650754297349
192.0,-36.325041841877436
193.0,-33.66233206026632
194.0,-32.36825911928169
195.0,-32.042139470843736
196.0,-32.58664117645603
197.0,-34.09913795406371
198.0,-36.980355185320136
199.0,-42.67045389108623
200.0,-273.59555821948555
201.0,-42.878075720970074
202.0,-37.39563477166482
203.0,-34.72214719191823
204.0,-33.41748801327692
205.0,-33.080968032705414
206.0,-33.615249879745704
207.0,-35.11770205241841
208.0,-37.989044914173256
209.0,-43.66943465966989
210.0,-273.9023295298858
211.0,-43.8581163974943
212.0,-38.366435544137744
213.0,-35.683855909205576
214.0,-34.37024853057266
215.0,-34.024920355736256
216.0,-34.55053030247437
217.0,-36.0444432885949
218.0,-38.90737622306161
219.0,-44.579481966257944
220.0,-273.8008549114991
221.0,-44.75196070730465
222.0,-39.252354746258575
223.0,-36.56196369303812
224.0,-35.24065577906202
225.0,-34.887735237971974
226.0,-35.40585836246753
227.0,-36.89238753041951
228.0,-39.74803719253843
229.0,-45.41295782934743
230.0,-273.5535216376836
231.0,-45.5713517093927
232.0,-40.064841598534386
233.0,-37.36763576551377
234.0,-36.039600409747834
235.0,-35.68003779456162
236.0,-36.191602301674166
237.0,-37.67165445506936
238.0,-40.52090690652295
239.0,-46.179508390529776
240.0,-273.9157097247814
241.0,-46.32549140735251
242.0,-40.81288634139081
243.0,-38.10965711827146
244.0,-36.77566842826542
245.0,-36.410221067941855
246.0,-36.91596799315627
247.0,-38.39026834148695
248.0,-41.23383341638725
249.0,-46.886810640795254
250.0,-273.7671820399062
251.0,-47.02172941936547
252.0,-41.5036819243629
253.0,-38.795068486099694
254.0,-37.45575264918139
255.0,-37.08503409443095
256.0,-37.58556469089164
257.0,-39.05470251731592
258.0,-41.89315784540802
259.0,-47.5410770925579
260.0,-273.52640111844335
261.0,-47.6660313290888
262.0,-42.143075381805815
263.0,-39.4296014843058
264.0,-38.085472294669955
265.0,-37.70998662880987
266.0,-38.20579551180397
267.0,-39.670256198743395
268.0,-42.504078157355664
269.0,-48.14740702014157
270.0,-273.6522971378422
271.0,-48.2633063957489
272.0,-42.7358844925038
273.0,-40.01798466429208
274.0,-38.669468871526774
275.0,-38.28963524838426
276.0,-38.78113415367756
277.0,-40.2413221912565
278.0,-43.070908192199596
279.0,-48.710037166534555
280.0,-273.8125297493196
281.0,-48.817642551489094
282.0,-43.286125368428046
283.0,-40.56416397364802
284.0,-39.21161977020418
285.0,-38.82779034687165
286.0,-39.3153255286919
287.0,-40.771581397055854
288.0,-43.59726627158862
289.0,-49.232524661573265
290.0,-273.80167797172373
291.0,-49.332478552867734
292.0,-43.797179510014494
293.0,-41.07146489600808
294.0,-39.71519566257626
295.0,-39.32766895628329
296.0,-39.811534168840474
297.0,-41.26414695695882
298.0,-44.0862152240123
299.0,-49.71788307124467
300.0,-273.70126672342326
301.0,-49.81073247889621
302.0,-44.27191871828499
303.0,-41.54271389714176
304.0,-40.18297859721046
305.0,-39.79200960212195
306.0,-40.27245594752982
307.0,-41.72167294079478
308.0,-44.54036814248353
309.0,-50.168685317416916
310.0,-273.56128354859555
311.0,-50.2548992449601
312.0,-44.71280003425677
313.0,-41.9803308712057
314.0,-40.6173520308178
315.0,-40.223159995509754
316.0,-40.70040350511151
317.0,-42.146437576424404
318.0,-44.96196948459709
319.0,-50.58714271405299
320.0,-273.5181772757233
321.0,-50.66712569761102
322.0,-45.121938951680036
323.0,-42.3864005278065
324.0,-41.02037044403716
325.0,-40.623144930196446
326.0,-41.097372477794785
327.0,-42.54040785949157
328.0,-45.35295811037736
329.0,-50.975166478810806
330.0,-273.7178723580737
331.0,-51.04926920429285
332.0,-45.50116660836791
333.0,-42.762728224703665
334.0,-41.393813853968936
335.0,-40.993719512105756
336.0,-41.465093480162466
337.0,-42.90529032368332
338.0,-45.71501687391936
339.0,-51.334416178593834
340.0,-273.81442258766066
341.0,-51.40294390032625
342.0,-45.852074978559266
343.0,-43.11088413412446
344.0,-41.73923098209505
345.0,-41.33641135563768
346.0,-41.8050733557879
347.0,-43.242571370781974
348.0,-46.04961205721197
349.0,-51.666338290736235
350.0,-273.68300173472767
351.0,-51.729557572544905
352.0,-46.17605295037297
353.0,-43.43223853483521
354.0,-42.057973781140845
355.0,-41.65255436488625
356.0,-42.11862823178432
357.0,-43.55354961695135
358.0,-46.35802502601771
359.0,-51.97219718579572
360.0,-273.840051779374
361.0,-52.030341345907644
362.0,-46.474315388301164
363.0,-43.727990265892096
364.0,-42.35122529501136
365.0,-41.943316014253746
366.0,-42.40691023417135
367.0,-43.83936205652446
368.0,-46.64137785535745
369.0,-52.253100227631535
370.0,-273.6066740988596
371.0,-52.30637377000866
372.0,-46.747926730848974
373.0,-43.99918984691336
374.0,-42.62002231287288
375.0,-42.20971954720737
376.0,-42.67092924186989
377.0,-44.10100538150854
378.0,-46.90065422451451
379.0,-52.510018253627194
380.0,-273.76466880827456
381.0,-52.55860049777522
382.0,-46.99782028202888
383.0,-44.24675839106169
384.0,-42.8652739120857
385.0,-42.45266215739801
386.0,-42.911570714022076
387.0,-44.339353462906395
388.0,-47.1367165599495
389.0,-52.743802386582175
390.0,-273.94740733227206
391.0,-52.78785045678844
392.0,-47.2248140726883
393.0,-44.47150316303271
394.0,-43.08777671932795
395.0,-42.672929959224035
396.0,-43.129610376136824
397.0,-44.5551717584273
398.0,-47.350320170407805
399.0,-52.95519790290565
400.0,-273.84354255109906
401.0,-52.99484920002139
402.0,-47.429623960514355
403.0,-44.67413043343931
404.0,-43.28822752434972
405.0,-42.871210365821774
406.0,-43.32572636706007
407.0,-44.74912923306175
408.0,-47.54212494560662
409.0,-53.14485571380513
410.0,-273.8854446303582
411.0,-53.18022996486473
412.0,-47.61287448411159
413.0,-44.85525613192712
414.0,-43.46723373600905
415.0,-43.048102351807145
416.0,-43.500509312115945
417.0,-44.921808246225076
418.0,-47.712705060896674
419.0,-53.31334189089958
420.0,-273.7718827133589
421.0,-53.34454285055205
422.0,-47.775107871174626
423.0,-45.015414689198536
424.0,-43.62532206117897
425.0,-43.20412497202688
426.0,-43.65447068459021
427.0,-45.07371275879332
428.0,-47.86255703260264
429.0,-53.46114557255057
430.0,-273.894892132916
431.0,-53.48826243429499
432.0,-47.91679151329497
433.0,-45.1550663729326
434.0,-43.762945704163485
435.0,-43.33972442679525
436.0,-43.78804973905892
437.0,-45.20527513673911
438.0,-47.992106394130076
439.0,-53.5886855145499
440.0,-273.7946994916489
441.0,-53.61179407728671
442.0,-48.03832415258785
443.0,-45.27460335695622
444.0,-43.880490320287194
