Frequency (Hz),Magnitude
0.0,1.6619330648780555e-15
1.0,0.5878951608960477
2.0,1.1188704273347398
3.0,1.5414331563771186
4.0,1.814435835506601
5.0,1.911022242585763
6.0,1.821229326684582
7.0,1.5529966425542474
8.0,1.1314828580023872
9.0,0.5967463697236663
10.0,3.274087127134038e-14
11.0,0.6012159563070204
12.0,1.1484948495354788
13.0,1.5881490287062359
14.0,1.876393872307965
15.0,1.9836379451167094
16.0,1.8974657714648075
17.0,1.624017959182089
18.0,1.1876203666078118
19.0,0.6286764448814144
20.0,2.1169382805481883e-14
21.0,0.6380856559674267
22.0,1.223435801550498
23.0,1.6980327677176297
24.0,2.013635289193898
25.0,2.1365883773263223
26.0,2.051323235110205
27.0,1.7621917941706453
28.0,1.2934308126531149
29.0,0.687222825893145
30.0,1.6192580626818116e-14
31.0,0.7026943844265131
32.0,1.3523293858352274
33.0,1.883934449653995
34.0,2.242459035090787
35.0,2.3883343977776708
36.0,2.3016889219657624
37.0,1.9847821226774673
38.0,1.4623797601562631
39.0,0.7799798482707141
40.0,4.0305712092727175e-14
41.0,0.8037678161424524
42.0,1.5529567971834475
43.0,2.172068628568408
44.0,2.5958714607877154
45.0,2.776047044081634
46.0,2.686430812860046
47.0,2.3263009646546493
48.0,1.7213392283854039
49.0,0.9220932162641069
50.0,4.4328342865974956e-14
51.0,0.9587377789334629
52.0,1.86091979137511
53.0,2.615084052323717
54.0,3.14041994327072
55.0,3.375021355046661
56.0,3.282673536064408
57.0,2.857473634548088
58.0,2.1257600951446696
59.0,1.145056305214606
60.0,2.8483532035658896e-14
61.0,1.2044911616004987
62.0,2.3523007715994555
63.0,3.326694838257358
64.0,4.021485722272916
65.0,4.3517680140066854
66.0,4.263210057896726
67.0,3.7389712595366547
68.0,2.803489261404078
69.0,1.5226301918405765
70.0,7.385600677483786e-14
71.0,1.63044970186008
72.0,3.2150505004183128
73.0,4.593500399529119
74.0,5.61336758560334
75.0,6.144807849483015
76.0,6.094214088879051
77.0,5.415550019211159
78.0,4.118263179980473
79.0,2.2709159481602783
80.0,2.4394030760671075e-14
81.0,2.5162157481160787
82.0,5.05854219111426
83.0,7.381766274124133
84.0,9.232558012178789
85.0,10.369070782172635
86.0,10.580728188382357
87.0,9.70662014444663
88.0,7.650987759305226
89.0,4.394459712894299
90.0,2.572532466556898e-14
91.0,5.387083646316049
92.0,11.545269650457518
93.0,18.188811590371934
94.0,24.98484089530891
95.0,31.574421914055254
96.0,37.596066985186404
97.0,42.71000114019857
98.0,46.621380310764216
99.0,49.10072195814207
100.0,50.0
101.0,49.26317255606978
102.0,46.930326912164325
103.0,43.13510847828265
104.0,38.09561104638164
105.0,32.099403533458464
106.0,25.483813734913493
107.0,18.612946739487505
108.0,11.85315607694085
109.0,5.548790430570265
110.0,5.875201477200555e-14
111.0,4.555791768748304
112.0,7.957448093819643
113.0,10.127809162690813
114.0,11.075079098534463
115.0,10.887970767280216
116.0,9.72515166308377
117.0,7.799964532943761
118.0,5.3617410991473795
119.0,2.675259608044876
120.0,6.721800149375393e-14
121.0,2.4291817819066996
122.0,4.418501183461244
123.0,5.827631430038906
124.0,6.577211584925995
125.0,6.651081072061646
126.0,6.093288061135802
127.0,5.000344902742826
128.0,3.5095776749783916
129.0,1.7847088789539525
130.0,1.2665176796694264e-13
131.0,1.6756490145487988
132.0,3.0932960843674415
133.0,4.1360641847423825
134.0,4.727832323243487
135.0,4.837911854982578
136.0,4.481478774467611
137.0,3.715909156851396
138.0,2.633516077802687
139.0,1.351482342090089
140.0,5.5029156255486646e-14
141.0,1.2902516955614427
142.0,2.4001413054528062
143.0,3.2325698456583463
144.0,3.720518563383036
145.0,3.8320234532401756
146.0,3.5717390498391604
147.0,2.979073691681091
148.0,2.123189617867332
149.0,1.095436239710405
150.0,4.239165916052486e-14
151.0,1.0563083245746039
152.0,1.9741584674180555
153.0,2.6707676374794116
154.0,3.0871237598103853
155.0,3.192753518184927
156.0,2.9876686526403207
157.0,2.501395683357661
158.0,1.7892671247549183
159.0,0.9264012227202473
160.0,3.59389395055282e-14
161.0,0.8992655819987733
162.0,1.6859504736649908
163.0,2.2877924846224857
164.0,2.6522040596441503
165.0,2.7507277050141914
166.0,2.5810893519421545
167.0,2.166718500950289
168.0,1.5538451147076815
169.0,0.8065082801356421
170.0,8.057248404429944e-14
171.0,0.7865976750282998
172.0,1.4780540256957388
173.0,2.010081503616423
174.0,2.3352185764899596
175.0,2.426973309271164
176.0,2.2818737585895588
177.0,1.919277193173651
178.0,1.3790056792004015
179.0,0.7170801856999912
180.0,2.724516294581903e-14
181.0,0.7018569821018745
182.0,1.321065866051393
183.0,1.7995621521518288
184.0,2.094022304911793
185.0,2.179724540824016
186.0,2.0525512270715316
187.0,1.728977871014591
188.0,1.2440885565302617
189.0,0.6478451509852503
190.0,1.5345817971306284e-14
191.0,0.6358358346731511
192.0,1.1983853791727253
193.0,1.634561696188144
194.0,1.9044318745523656
195.0,1.9848289756236754
196.0,1.8712891670371619
197.0,1.5781570933513336
198.0,1.1368805763068144
199.0,0.5926888219796721
200.0,5.2515705173341446e-14
201.0,0.5829797898443534
202.0,1.0999340691838901
203.0,1.5018399253945605
204.0,1.7515831599810632
205.0,1.82735320617496
206.0,1.7245102010729076
207.0,1.4557680346113777
208.0,1.0497013443558125
209.0,0.5477453748398307
210.0,1.5436455648107404e-14
211.0,0.5397403610927352
212.0,1.0192408539251547
213.0,1.3928539342765707
214.0,1.625839374236262
215.0,1.6975700238060787
216.0,1.603329739324681
217.0,1.3545494952223778
218.0,0.9774802255499774
219.0,0.510451572338489
220.0,2.3565655934231363e-14
221.0,0.5037450253330126
222.0,0.9519616392198625
223.0,1.3018460414937911
224.0,1.5206803351685214
225.0,1.5888729821053347
226.0,1.501691068285192
227.0,1.2695333025568194
228.0,0.9167353789928262
229.0,0.47904111601159305
230.0,4.548046874305207e-14
231.0,0.4733476760954684
232.0,0.8950723557377821
233.0,1.2247950180409588
234.0,1.431537644812665
235.0,1.4966186374401418
236.0,1.4153239403331819
237.0,1.1972060143589571
238.0,0.8649971163824257
239.0,0.4522574784806438
240.0,3.430612667298499e-15
241.0,0.4473705717232357
242.0,0.8464033291211318
243.0,1.1588078397496013
244.0,1.3551157534261387
245.0,1.4174484110861953
246.0,1.341131642026533
247.0,1.135013194614999
248.0,0.8204653209388292
249.0,0.42918251887748404
250.0,3.1708204934627216e-14
251.0,0.42494895504464264
252.0,0.8043576972669708
253.0,1.1017502939429744
254.0,1.2889779125975023
255.0,1.3488733293982482
256.0,1.2768141469495518
257.0,1.0810534179232822
258.0,0.7817971561656846
259.0,0.4091298708128178
260.0,4.7620407176488113e-14
261.0,0.4054336707307419
