Frequency (Hz),Magnitude (db)
0.0,-55.85710113977706
1.0,-55.05763087524481
2.0,-53.47255755067997
3.0,-52.07810557512709
4.0,-51.20347649187388
5.0,-50.9058185855707
6.0,-51.18862649981763
7.0,-52.0484495641169
8.0,-53.427486323915794
9.0,-54.99365373904037
10.0,-55.76683492943764
11.0,-54.9410164325798
12.0,-53.33686412029756
13.0,-51.926741467366135
14.0,-51.036977995602285
15.0,-50.724066138283604
16.0,-50.99154587675342
17.0,-51.83601084094701
18.0,-53.19896871532777
19.0,-54.7452690564248
20.0,-55.49063151719935
21.0,-54.63680469348199
22.0,-53.012229360538356
23.0,-51.585206880064476
24.0,-50.679030193325765
25.0,-50.349492188846774
26.0,-50.60018137131499
27.0,-51.42773760574096
28.0,-52.77289112888482
29.0,-54.29701982946641
30.0,-55.01110865302366
31.0,-54.12564612341108
32.0,-52.47783278512018
33.0,-51.03142988301536
34.0,-50.106319223131955
35.0,-49.75749926712581
36.0,-49.98861218209272
37.0,-50.79634740952478
38.0,-52.1205001620205
39.0,-53.61825108499182
40.0,-54.29483284766965
41.0,-53.37123477263076
42.0,-51.69518072487017
43.0,-50.22501996798566
44.0,-49.27654617033042
45.0,-48.90379199302644
46.0,-49.110460086570995
47.0,-49.89329323562486
48.0,-51.19087379782633
49.0,-52.65491122933783
50.0,-53.283100132441426
51.0,-52.3100073646793
52.0,-50.59694689443572
53.0,-49.095331689202965
54.0,-48.11568366160206
55.0,-47.71076441202054
56.0,-47.88434295602808
57.0,-48.63321507296851
58.0,-49.894235746616815
59.0,-51.31128561650126
60.0,-51.8712036971901
61.0,-50.82776101889977
62.0,-49.06143890169488
63.0,-47.513939427344965
64.0,-46.48834587235349
65.0,-46.035566937307465
66.0,-46.159427843974754
67.0,-46.85675107312843
68.0,-48.0615904643448
69.0,-49.40507339964416
70.0,-49.85619199296113
71.0,-48.69940825832467
72.0,-46.84566587032372
73.0,-45.22132776819355
74.0,-44.11758293154466
75.0,-43.582188993879576
76.0,-43.618905670170854
77.0,-44.22440018422875
78.0,-45.32710624192485
79.0,-46.53242909930888
80.0,-46.772729299336724
81.0,-45.391975705173486
82.0,-43.359510303913105
83.0,-41.57217718572084
84.0,-40.29765732801435
85.0,-39.57644906148889
86.0,-39.41108377473557
87.0,-39.79648514618639
88.0,-40.64327448924544
89.0,-41.473336021108764
90.0,-41.0925673662003
91.0,-39.013854317161275
92.0,-36.36583189291615
93.0,-33.950049919556406
94.0,-31.94571693176579
95.0,-30.337544080092794
96.0,-29.081667570767845
97.0,-28.144288018393166
98.0,-27.515004808425743
99.0,-5.229069885162371
100.0,3.664444372902484e-14
101.0,-5.241420071303481
102.0,-27.652624448562943
103.0,-28.351993727654442
104.0,-29.35887527500213
105.0,-30.68359715971124
106.0,-32.35973483172336
107.0,-34.43150208461316
108.0,-36.91679961702084
109.0,-39.645920603046854
110.0,-41.83317873048708
111.0,-42.32693384142819
112.0,-41.576404537761434
113.0,-40.792740553571825
114.0,-40.46879404232732
115.0,-40.69668060194776
116.0,-41.48101704847363
117.0,-42.81902488425292
118.0,-44.672712412764454
119.0,-46.785058977283256
120.0,-48.27519362139516
121.0,-48.14673504574059
122.0,-47.02123125863019
123.0,-45.98288300001198
124.0,-45.43969664531869
125.0,-45.46602602723382
126.0,-46.06488975665048
127.0,-47.23232292456149
128.0,-48.92320360361146
129.0,-50.857635474340654
130.0,-52.12555640382946
131.0,-51.78733388738686
132.0,-50.52480642605303
133.0,-49.38562212731334
134.0,-48.75177537504779
135.0,-48.69202939593225
136.0,-49.20928486183855
137.0,-50.29951572902206
138.0,-51.91454136224938
139.0,-53.76305281552511
140.0,-54.92004815362388
141.0,-54.475116842661144
142.0,-53.14074803861001
143.0,-51.947006826637335
144.0,-51.263157495770685
145.0,-51.1552113844121
146.0,-51.626108927192355
147.0,-52.671877033879326
148.0,-54.242576884048276
149.0,-56.03993816186179
150.0,-57.129749791704185
151.0,-56.61955060574921
152.0,-55.24052240295291
153.0,-54.01228132905452
154.0,-53.29646519444566
155.0,-53.15742966051535
156.0,-53.59817150434126
157.0,-54.6147777854728
158.0,-56.156148164618045
159.0,-57.91927172004297
160.0,-58.963630125723
161.0,-58.40900482413965
162.0,-56.999266326278295
163.0,-55.747042760936125
164.0,-55.00884745254477
165.0,-54.84791941778663
166.0,-55.267306621189036
167.0,-56.2631483910051
168.0,-57.783510323833944
169.0,-59.52191526472721
170.0,-60.53321670436553
171.0,-59.946147503005434
172.0,-58.51382301096421
173.0,-57.24382851692557
174.0,-56.48896797022377
175.0,-56.31166947505716
176.0,-56.71502437789735
177.0,-57.69521554024739
178.0,-59.19967495398642
179.0,-60.919260792061245
180.0,-61.90526006375106
181.0,-61.29328338837603
182.0,-59.84352952004551
183.0,-58.55974544386023
184.0,-57.791905749249885
185.0,-57.60181826053718
186.0,-57.99261076320139
187.0,-58.960502370747975
188.0,-60.45242368200405
189.0,-62.157106447967465
190.0,-63.122986748713075
191.0,-62.491159933450405
192.0,-61.02746046116296
193.0,-59.732596171546874
194.0,-58.954297926689094
195.0,-58.75388044588415
196.0,-59.13450233516714
197.0,-60.09241322419601
198.0,-61.574134397229415
199.0,-63.26665083453186
200.0,-64.21605375262175
201.0,-63.567940821728435
202.0,-62.092763645017506
203.0,-60.7887492383771
204.0,-60.001794819516306
205.0,-59.79281125515743
206.0,-60.16498351774374
207.0,-61.114587270183975
208.0,-62.587801336990864
209.0,-64.27014217893564
210.0,-65.20572780880646
211.0,-64.54393848545051
212.0,-63.059098180600245
213.0,-61.747359132554315
214.0,-60.95308368378528
215.0,-60.73684400551311
216.0,-61.10184790146005
217.0,-62.044393540407015
218.0,-63.510367452280704
219.0,-65.18402787429055
220.0,-66.10780095597603
221.0,-65.43430585734319
222.0,-63.9411772263631
223.0,-62.62279745155627
224.0,-61.822218683896075
225.0,-61.59972348813105
226.0,-61.958539670063296
227.0,-62.89498509700701
228.0,-64.35469266276787
229.0,-66.02082536136243
230.0,-66.93433579806548
231.0,-66.25066089207385
232.0,-64.75031148354675
233.0,-63.42613517257579
234.0,-62.620047320855946
235.0,-62.392078833214185
236.0,-62.74547522858283
237.0,-63.67657181071252
238.0,-65.13077829045763
239.0,-66.79029139393519
240.0,-67.6947631287794
241.0,-67.00211507080763
242.0,-65.49539100983988
243.0,-64.16608893478573
244.0,-63.35512415012603
245.0,-63.122305866161156
246.0,-63.47089544268463
247.0,-64.39724377474616
248.0,-65.8465618248562
249.0,-67.50018392464928
250.0,-68.39660088978708
251.0,-67.69595080994746
252.0,-66.18353440880408
253.0,-64.84964862585029
254.0,-64.03431849030784
255.0,-63.79715560842758
256.0,-64.14143563301823
257.0,-65.06352352817999
258.0,-66.50845142118118
259.0,-68.15677616281268
260.0,-69.04594141866545
261.0,-68.33808269000099
262.0,-66.82053230630781
263.0,-65.48250720044503
264.0,-64.66323163162627
265.0,-64.42213926577227
266.0,-64.76251875662727
267.0,-65.68074786861348
268.0,-67.12169633819376
269.0,-68.76521384109043
270.0,-69.64779137214177
271.0,-68.93338050882353
272.0,-67.41115884844822
273.0,-66.06936324951428
274.0,-65.24649113769237
275.0,-65.00181449864291
276.0,-65.3386338987558
277.0,-66.2533388355928
278.0,-67.69065038991214
279.0,-69.32976991437317
280.0,-70.20631486059777
281.0,-69.48590114488431
282.0,-67.95939581807323
283.0,-66.6141391089687
284.0,-65.78796337713155
285.0,-65.53999252418691
286.0,-65.87353810518367
287.0,-66.78500044571733
288.0,-68.21896355564888
289.0,-69.85403019536017
290.0,-70.72501116645745
291.0,-69.99905854553583
292.0,-68.4685972944626
293.0,-67.12014137343495
294.0,-66.29091018010216
295.0,-66.03989101049989
296.0,-66.37040561815559
297.0,-67.27886438353809
298.0,-68.70972409904331
299.0,-70.34103129829334
300.0,-71.206847140151
301.0,-70.47575069842009
302.0,-68.9416128753818
303.0,-67.59018119273433
304.0,-66.7581064076488
305.0,-66.5042489813432
306.0,-66.8319401860517
307.0,-67.73759979222051
308.0,-69.16556581631633
309.0,-70.79336490741883
310.0,-71.6543575005345
311.0,-70.91845604642842
312.0,-69.38088140024041
313.0,-68.02666588921412
314.0,-67.19192960264355
315.0,-66.9354145430166
316.0,-67.26046091336924
317.0,-68.16349729933327
318.0,-69.58875021728376
319.0,-71.21325779204108
320.0,-72.06972195861395
321.0,-71.3293077770663
322.0,-69.78850327186397
323.0,-68.43166973644973
324.0,-67.59442932543095
325.0,-67.33541280623228
326.0,-67.65796880164973
327.0,-68.55853421326717
328.0,-69.98123036120654
329.0,-71.60263404010522
330.0,-72.4548253098656
331.0,-71.71015181247986
332.0,-70.16629698423489
333.0,-68.80698933861596
334.0,-67.9673814570163
335.0,-67.70599913343531
336.0,-68.02619896453788
337.0,-68.92442573283317
338.0,-70.34470104606274
339.0,-71.96316404545081
340.0,-72.81130481014439
341.0,-72.06259260330917
342.0,-70.51584381386532
343.0,-69.15418745333078
344.0,-68.31233120802041
345.0,-68.04870134861103
346.0,-68.36666205496289
347.0,-69.26266561025274
348.0,-70.680638696567
349.0,-72.29630348028904
350.0,-73.14058792033846
351.0,-72.38802966525893
352.0,-70.83852351311042
353.0,-69.4746280207535
354.0,-68.63062752384525
355.0,-68.36485352792167
356.0,-68.68067745483285
357.0,-69.57455875369091
358.0,-70.9903333703885
359.0,-72.60332459468569
360.0,-73.44392265681572
361.0,-72.68768699646
362.0,-71.13554307568594
363.0,-69.76950441304089
364.0,-68.92345084877222
365.0,-68.65562328867082
366.0,-68.96940009512254
367.0,-69.86124759089958
368.0,-71.27491465517588
369.0,-72.88534156385626
370.0,-73.72240219796576
371.0,-72.96263695286454
372.0,-71.40796010013133
373.0,-70.03986239400986
374.0,-69.19183570617699
375.0,-68.92203399290118
376.0,-69.23384229282246
377.0,-70.12373354508225
378.0,-71.53537277942577
379.0,-73.14333116286447
380.0,-73.97698497224086
381.0,-73.21381975935141
382.0,-71.65670189648162
383.0,-70.28661890484176
384.0,-69.43668918145883
385.0,-69.16498293349342
386.0,-69.4748916435901
387.0,-70.36289464154568
388.0,-71.77257592604067
389.0,-73.37814973361984
390.0,-74.2085111571736
391.0,-73.44205954672773
392.0,-71.88258119917569
393.0,-70.51057751972192
394.0,-69.6588061352694
395.0,-69.38525630791383
396.0,-69.6933257605423
397.0,-70.57950001580264
398.0,-71.98728450538773
399.0,-73.59054717805888
400.0,-74.41771629448303
401.0,-73.64807759355499
402.0,-72.08630914663273
403.0,-70.71244121726137
404.0,-69.85888177845717
405.0,-69.58354159911289
406.0,-69.88982446397027
407.0,-70.77422191568604
408.0,-72.18016296606918
409.0,-73.78117854085004
410.0,-74.60524256461701
411.0,-73.8325032962276
412.0,-72.26850603687359
413.0,-70.89282296564232
414.0,-70.03752209608633
415.0,-69.76043784027215
416.0,-70.06497988931399
417.0,-70.94764565571128
418.0,-72.35178959175366
419.0,-73.95061361860392
420.0,-74.7716481415135
421.0,-73.99588327248614
422.0,-72.42971025422631
423.0,-71.05225450828328
424.0,-70.19525249987014
425.0,-69.91646413527283
426.0,-70.2193048776624
427.0,-71.10027787946883
428.0,-72.50266463309177
429.0,-74.09934493545234
430.0,-74.91741495666585
431.0,-74.13868891604275
432.0,-72.5703856761739
433.0,-71.19119365259547
434.0,-70.33252500512165
435.0,-70.05206672547183
436.0,-70.35323993324425
437.0,-71.23255341010558
438.0,-72.63321704800302
439.0,-74.22779435221956
440.0,-75.04295512967185
441.0,-74.26132265031083
442.0,-72.69092780200376
443.0,-71.31003029912291
444.0,-70.44972416563814
445.0,-70.16762483025087
446.0,-70.46715897173041
447.0,-71.344840907607
448.0,-72.7438100655712
449.0,-74.33631851814
450.0,-75.14861626760441
451.0,-74.36412307693504
452.0,-72.79166879489172
453.0,-71.40909139806095
454.0,-70.54717194848207
455.0,-70.26345544225858
456.0,-70.561374035356
457.0,-71.43744750516957
458.0,-72.83474574253489
459.0,-74.42521333018269
460.0,-75.23468579255197
461.0,-74.44736917292437
462.0,-72.87288158657398
463.0,-71.48864497887322
464.0,-70.62513169415647
465.0,-70.3398172159074
466.0,-70.63613911333294
467.0,-71.51062256095356
468.0,-72.90626864334259
469.0,-74.49471752958996
470.0,-75.3013944230116
471.0,-74.51128365649281
472.0,-72.93478316052165
473.0,-71.54890336962977
474.0,-70.68381127179723
475.0,-70.39691356254232
476.0,-70.69165317333545
477.0,-71.5645606296255
478.0,-72.95856875031991
479.0,-74.54501553508672
480.0,-75.3489189026887
481.0,-74.55603561422521
482.0,-72.9775371073305
483.0,-71.5900256914552
484.0,-70.72336551885263
485.0,-70.43489503254281
486.0,-70.72806248979524
487.0,-71.59940373472894
488.0,-72.99178367849247
489.0,-74.57623959013861
490.0,-75.37738405456511
491.0,-74.58174246051495
492.0,-73.00125551649678
493.0,-71.6121196974125
494.0,-70.7438980279141
495.0,-70.45386105108571
496.0,-70.74546232781914
497.0,-71.61524300222301
498.0,-73.00600025703136
499.0,-74.58847128039164
