Frequency (Hz),Magnitude (db)
0.0,-43.05508191798552
1.0,-43.74187721870932
2.0,-46.061790229753356
3.0,-51.39020554887615
4.0,-291.2269224150419
5.0,-51.37581807583787
6.0,-46.03300689440876
7.0,-43.69868122562099
8.0,-42.997448031697196
9.0,-43.6697717128125
10.0,-45.97517081859166
11.0,-51.28902130167357
12.0,-290.53421844832354
13.0,-51.24531624595147
14.0,-45.887734434037185
15.0,-43.53855139776631
16.0,-42.822364744851676
17.0,-43.479629318729366
18.0,-45.76985388805706
19.0,-51.06840437724295
20.0,-290.26899713445374
21.0,-50.993681465961444
22.0,-45.62036027565205
23.0,-43.255269314864165
24.0,-42.522994536778675
25.0,-43.163978716073856
26.0,-45.437718104318456
27.0,-50.71956562408229
28.0,-290.5095993634668
29.0,-50.6107287412955
30.0,-45.21996775661258
31.0,-42.83716153544822
32.0,-42.08687996062597
33.0,-42.70954896979384
34.0,-44.964647150116775
35.0,-50.227508866617754
36.0,-292.36168473749615
37.0,-50.07958746094743
38.0,-44.66868550183203
39.0,-42.265309024754636
40.0,-41.494003684084745
41.0,-42.09516975981405
42.0,-44.32825863165873
43.0,-49.568575775042454
44.0,-290.00040444084755
45.0,-49.373834572119
46.0,-43.93858981343318
47.0,-41.51019974882908
48.0,-40.713170225058384
49.0,-41.28785889716401
50.0,-43.4936714353832
51.0,-48.705864223461255
52.0,-288.2131805284995
53.0,-48.452114933711
54.0,-42.98586815514543
55.0,-40.5253905867471
56.0,-39.69511620780717
57.0,-40.23532470983593
58.0,-42.405337028249896
59.0,-47.58031727398585
60.0,-288.8259887780867
61.0,-47.247493788626755
62.0,-41.73915462285402
63.0,-39.23470842195752
64.0,-38.35844328352925
65.0,-38.850477888761034
66.0,-40.969954999042606
67.0,-46.0918410141949
68.0,-288.92394076465325
69.0,-45.64424630388304
70.0,-40.07370946760764
71.0,-37.503456770129816
72.0,-36.557427694969455
73.0,-36.97534622006815
74.0,-39.01590637442572
75.0,-44.05356214688992
76.0,-287.199751132189
77.0,-43.41912546521371
78.0,-37.7445129093801
79.0,-35.06190248869004
80.0,-33.99415743291611
81.0,-34.27972944222943
82.0,-36.17579697076839
83.0,-41.05499333188491
84.0,-285.7037344176882
85.0,-40.0524096955623
86.0,-34.16205233763954
87.0,-31.237255442146665
88.0,-29.895516244155438
89.0,-29.868329091727638
90.0,-31.403670793639314
91.0,-35.861716420494616
92.0,-281.61931698414264
93.0,-33.75851439378956
94.0,-27.126075387118963
95.0,-23.258957011142193
96.0,-20.671889228723536
97.0,-18.899347577329564
98.0,-17.73838597532247
99.0,-17.088668532756987
100.0,2.121520426417229e-14
101.0,-17.163785365890458
102.0,-17.888623933577254
103.0,-19.12471524598262
104.0,-20.972399488945975
105.0,-23.634627043910506
106.0,-27.57692667843258
107.0,-34.28457274119733
108.0,-282.2756406961333
109.0,-36.538283559529745
110.0,-32.155548335833544
111.0,-30.695560172579324
112.0,-30.79814836324759
113.0,-32.2153404776923
114.0,-35.2156465623885
115.0,-41.18157379408003
116.0,-285.28259550150784
117.0,-42.33549697376923
118.0,-37.532079204931016
119.0,-35.71186880148961
120.0,-35.50223696954288
121.0,-36.64600980029834
122.0,-39.404740166302595
123.0,-45.15556943938868
124.0,-290.1443746684205
125.0,-45.94274843163299
126.0,-40.981627614171316
127.0,-39.01771791337427
128.0,-38.67657011009363
129.0,-39.69949498356431
130.0,-42.34677340431716
131.0,-47.99447077926989
132.0,-288.2460829086289
133.0,-48.5968107955142
134.0,-43.55251955449553
135.0,-41.51079205128958
136.0,-41.09666701373742
137.0,-42.05100686130292
138.0,-44.6336981488518
139.0,-50.22045807212902
140.0,-289.17237332772584
141.0,-50.710671557568936
142.0,-45.614671446733695
143.0,-43.523836723274385
144.0,-43.06300888875974
145.0,-43.97287269107806
146.0,-46.51315419527513
147.0,-52.05942525439312
148.0,-288.7345419607929
149.0,-52.473907863536866
150.0,-47.34243618167958
151.0,-45.21758923482514
152.0,-44.72411689102931
153.0,-45.602619824427144
154.0,-48.112746820005306
155.0,-53.62999856987315
156.0,-291.77839450757324
157.0,-53.98959060535974
158.0,-48.8321309054182
159.0,-46.68219674850644
160.0,-46.164489743749755
161.0,-47.019565716216356
162.0,-49.50703171490217
163.0,-55.00234954275161
164.0,-292.23696976645783
165.0,-55.320112223967556
166.0,-50.14269150964189
167.0,-47.97339187868129
168.0,-47.436887132006156
169.0,-48.273707004653005
170.0,-50.74343404267264
171.0,-56.22150701390939
172.0,-291.64451003062834
173.0,-56.50617685057077
174.0,-51.31286848624133
175.0,-49.12809581180727
176.0,-48.57651547943169
177.0,-49.39864101659319
178.0,-51.85403963907017
179.0,-57.31813560293163
180.0,-291.8490015406992
181.0,-57.57585137433536
182.0,-52.36954055496501
183.0,-50.172065950829506
184.0,-49.60807306256573
185.0,-50.41806481652361
186.0,-52.86159834406768
187.0,-58.31408830232516
188.0,-291.2381365149066
189.0,-58.549333190258025
190.0,-53.3321404717093
191.0,-51.12400896673578
192.0,-50.549576608226666
193.0,-51.349339094014184
194.0,-53.78284664726861
195.0,-59.225507319616156
196.0,-291.08868514107434
197.0,-59.441658694551556
198.0,-54.2151899083086
199.0,-51.9979553148535
200.0,-51.41458752797768
201.0,-52.205577144733006
202.0,-54.630469494655316
203.0,-60.06466793241894
204.0,-290.0029738917725
205.0,-60.26433588148646
206.0,-55.029837407727626
207.0,-52.80470908616178
208.0,-52.21357968052832
209.0,-52.99693608343513
210.0,-55.414320058815704
211.0,-60.84113152800846
212.0,-289.3165655990193
213.0,-61.02637664970118
214.0,-55.78483605855511
215.0,-53.552774497766
216.0,-52.954817873820105
217.0,-53.73145032234027
218.0,-56.142210946047975
219.0,-61.56249709678146
220.0,-290.62258502000464
221.0,-61.73497583782084
222.0,-56.487189469250616
223.0,-54.24897072678807
224.0,-53.64494335040636
225.0,-54.415589379992994
226.0,-56.82044589044982
227.0,-62.23490827092398
228.0,-290.1934138195559
229.0,-62.39597295986339
