Frequency (Hz),Magnitude
0.0,4.3894816921619005e-13
1.0,4.1113465439781684e-13
2.0,3.0562735887276194e-13
3.0,2.308891743935097e-13
4.0,1.9781911310061355e-13
5.0,6.342947870004739e-13
6.0,3.274641211355326e-13
7.0,7.094552307318182e-13
8.0,1.1450948776893131e-12
9.0,4.916044557333573e-13
10.0,3.8053141322293975e-13
11.0,2.955284638726953e-13
12.0,3.5079703514930097e-13
13.0,6.003531662427623e-13
14.0,1.3140314582693977e-13
15.0,3.0256694422201675e-13
16.0,1.9511412780900322e-13
17.0,3.3013509940148686e-13
18.0,6.368079614168537e-13
19.0,4.92122510834362e-13
20.0,3.1523560370949314e-13
21.0,6.839768999204056e-13
22.0,2.1481611499855517e-13
23.0,4.745300729577019e-13
24.0,2.9530464658366074e-13
25.0,3.4086427798552017e-13
26.0,1.8478242636998824e-13
27.0,1.692415550729767e-13
28.0,2.8324696611512743e-13
29.0,6.733941472477545e-13
30.0,3.628100805314659e-13
31.0,2.803960581074326e-13
32.0,2.5198072996503976e-13
33.0,3.272762584864516e-13
34.0,1.7635052354808707e-13
35.0,1.2657545902690252e-13
36.0,5.663615958253223e-14
37.0,5.80898152454264e-13
38.0,2.4660247108206326e-13
39.0,2.7490215142088177e-13
40.0,2.1175936042492306e-13
41.0,1.1467137163514788e-13
42.0,5.478967726097823e-13
43.0,2.0778782280250377e-13
44.0,3.1731420970153313e-13
45.0,3.5846356339226636e-13
46.0,2.7409099609737047e-13
47.0,2.5120002424095813e-13
48.0,8.549781410015814e-14
49.0,2.9150689481256854e-13
50.0,3.3290502385531037e-13
51.0,1.2669938086928987e-13
52.0,6.802067158427622e-13
53.0,3.299288495034547e-13
54.0,4.997390899706169e-13
55.0,7.557403750857701e-14
56.0,1.0271924705464857e-13
57.0,3.5559698088307446e-13
58.0,2.7144999016223947e-13
59.0,4.761857496828672e-14
60.0,5.688069545196336e-13
61.0,7.139253117564189e-13
62.0,8.704697743684487e-14
63.0,2.8102833597776797e-13
64.0,1.8262161493924888e-13
65.0,3.544156484663899e-13
66.0,4.6359000851972814e-14
67.0,1.7433594279285689e-13
68.0,6.032778056111177e-13
69.0,7.996787087666946e-13
70.0,3.02459370686624e-13
71.0,2.1338934366880805e-13
72.0,2.841565828119656e-13
73.0,5.460067791642346e-13
74.0,2.5241494714297765e-13
75.0,1.246014263237e-13
76.0,8.836166200067955e-13
77.0,6.889103344169366e-13
78.0,2.3603119990643685e-13
79.0,1.7043220252615577e-13
80.0,1.9683499277435726e-13
81.0,5.493144340059042e-13
82.0,6.981537106135428e-13
83.0,1.1371879733628544e-12
84.0,1.2812548344342566e-12
85.0,1.2590763037853483e-12
86.0,6.374618432136105e-13
87.0,6.256480151457161e-13
88.0,2.697622558395075e-14
89.0,5.974722320440094e-13
90.0,2.1271138921443292e-13
91.0,1.499730232927937e-12
92.0,2.6450569229263627e-12
93.0,1.8535771564234903e-12
94.0,1.9201467346419296e-13
95.0,6.639626030792973e-13
96.0,3.7011619530603176e-13
97.0,9.684341200769048e-13
98.0,7.009057231500766e-13
99.0,1.4590350571353072e-12
100.0,499.9999999999999
101.0,1.2301479407132154e-12
102.0,4.227295218415586e-13
103.0,5.430903085855739e-13
104.0,2.466477164594086e-13
105.0,4.912956689023619e-13
106.0,4.264089425274261e-13
107.0,1.864959707149842e-12
108.0,2.3298794757815062e-12
109.0,1.8025333446934612e-12
110.0,1.4920581894372448e-13
111.0,5.742733443005645e-13
112.0,4.145520277916934e-13
113.0,3.687399786868677e-13
114.0,3.7413152129484787e-13
115.0,1.478448083830672e-12
116.0,1.3654310097857356e-12
117.0,1.6067642702835962e-12
118.0,6.095080778575439e-13
119.0,1.1760537373285732e-12
120.0,7.051263275148855e-13
121.0,3.978187631019891e-13
122.0,7.15879005200087e-13
123.0,6.592313847269379e-13
124.0,3.446883516528653e-13
125.0,7.692506603259009e-13
126.0,1.2193105422106446e-12
127.0,1.2669166911688178e-12
128.0,1.4406968906122658e-12
129.0,9.946318439344809e-13
130.0,5.261283863133443e-13
131.0,1.2311873599006445e-12
132.0,7.984241276356234e-13
133.0,4.749867574528712e-13
134.0,7.511230837893662e-13
135.0,5.701332312622373e-13
136.0,6.875512702044325e-13
137.0,1.0042772614879601e-12
138.0,1.9188481690987173e-14
139.0,8.65741032537977e-13
140.0,5.025250881500303e-13
141.0,2.9083062525960424e-13
142.0,1.2814817605460704e-13
143.0,2.891902051531414e-13
144.0,3.1494243317579007e-13
145.0,1.906707490116162e-13
146.0,5.055653661630962e-13
147.0,2.0732913109031102e-13
148.0,5.951972041606521e-13
149.0,3.324048550456004e-13
150.0,4.2685214482055126e-13
151.0,2.2490329380398466e-13
152.0,4.5400590115854845e-13
153.0,1.0707591593004601e-13
154.0,3.3635325913252717e-13
155.0,2.1780161413034427e-13
156.0,1.3081054408081122e-13
157.0,4.607248636562924e-13
158.0,3.52858955179414e-13
159.0,2.819576483872345e-13
160.0,4.0478968172763107e-13
161.0,3.6039750003537624e-13
162.0,2.1100041851041852e-13
163.0,3.5498459165596274e-13
164.0,4.733569822214762e-14
165.0,3.4236794415716033e-13
166.0,3.0851705694045403e-13
167.0,1.1946331455469071e-13
168.0,2.397050275803798e-13
169.0,3.015577153840676e-13
170.0,3.0552411288514946e-13
171.0,4.0004589282673234e-13
172.0,1.9609555523617697e-13
173.0,1.7266756792678272e-13
174.0,1.1039430058936575e-13
175.0,1.407983836205977e-13
176.0,2.5424842777384083e-13
177.0,2.3995323286581417e-13
178.0,8.030527115956359e-14
179.0,2.541029245504937e-13
180.0,1.0397315201218483e-13
181.0,3.386057983671387e-13
182.0,2.1444245202054745e-13
183.0,7.789695419005525e-14
184.0,8.716840502419208e-14
185.0,1.6950660478581523e-13
186.0,1.15770496374569e-13
187.0,2.311690506092364e-13
188.0,1.9900588880361236e-13
189.0,4.3045897197782417e-13
190.0,1.0942497307881963e-13
191.0,1.1969533310934434e-13
192.0,5.59390581710679e-13
193.0,4.533459681223395e-14
194.0,4.738398886759159e-13
195.0,6.60845027624646e-14
196.0,2.2494563283435768e-13
197.0,4.045549112193484e-13
198.0,9.939794667958984e-14
199.0,5.765386482258152e-13
200.0,5.590596399599487e-13
201.0,4.780321247242802e-13
202.0,2.0095169771502742e-13
203.0,3.0683452097298055e-13
204.0,4.160116953337747e-13
205.0,5.297980853624623e-13
206.0,2.6959935800692083e-13
207.0,7.076799409211861e-13
208.0,6.021696321656768e-13
209.0,7.893739770212697e-13
210.0,4.66424198183006e-13
211.0,2.2073217997085372e-13
212.0,5.075079012525157e-13
213.0,2.012391925643773e-13
214.0,9.228829208378818e-14
215.0,4.031932890767461e-13
216.0,1.638609550221401e-13
217.0,3.8659840068610974e-13
218.0,5.242081139887007e-13
219.0,5.258770294231224e-13
220.0,2.748287461025969e-13
221.0,4.785905845170412e-13
222.0,2.027718914738345e-13
223.0,3.9816934012589155e-13
224.0,5.38095790418454e-13
225.0,5.509624580996159e-13
226.0,5.291017345019495e-13
227.0,5.531919087878946e-13
228.0,3.9988631078378245e-13
229.0,3.757575396357677e-13
230.0,2.680711331956816e-13
231.0,5.064095652076426e-14
232.0,1.4601405810633263e-13
233.0,1.8649797125551788e-13
234.0,8.561413476147496e-14
235.0,2.4798945853444026e-14
236.0,5.419380943716663e-13
237.0,3.7297860529137976e-13
238.0,8.579028884670929e-14
239.0,1.9036624285102593e-13
240.0,5.069179091727679e-13
241.0,1.1983627381577427e-13
242.0,4.707957807581979e-13
243.0,2.1051686414480778e-13
244.0,1.2663820656850498e-13
245.0,5.403715101433621e-13
246.0,4.318513938559312e-13
247.0,3.2273824054304343e-13
248.0,2.7612172987238817e-13
249.0,6.85350901419422e-14
250.0,7.66588712040066e-14
251.0,1.542843393170186e-13
252.0,1.330797168904795e-13
253.0,8.070719584473248e-14
254.0,2.853094298450185e-14
255.0,3.3529635901211314e-13
256.0,1.3121584850768199e-13
257.0,2.6782465571035475e-13
258.0,2.476366038829901e-13
259.0,1.347219448141265e-13
260.0,1.1123662019870704e-13
261.0,2.3974907126940583e-13
262.0,8.567730762035919e-14
263.0,1.8609476140470792e-13
264.0,1.1089729499003059e-13
265.0,1.715614395167577e-13
266.0,1.146804366512466e-13
267.0,1.639811462215852e-13
268.0,2.9501995968080143e-13
269.0,6.317063082831358e-14
270.0,1.337777953478822e-13
271.0,1.0044209153301632e-13
272.0,1.738503068070754e-13
273.0,1.947438426134332e-13
274.0,2.4108062303516895e-13
275.0,9.042672854388382e-14
276.0,1.772544249546119e-13
277.0,1.5249550785336218e-13
278.0,1.6240290482835712e-13
279.0,1.8808176835333837e-13
280.0,1.2842172390877354e-13
281.0,2.1293468311115826e-13
282.0,1.193901480272352e-13
283.0,2.1550418902640766e-14
284.0,2.4659197015811337e-13
285.0,8.364332929485634e-14
286.0,1.9606457344223007e-13
287.0,8.52898739960728e-14
288.0,2.3181587621344504e-13
289.0,1.2818105547056783e-13
290.0,8.054386556520692e-14
291.0,1.971197721348283e-13
292.0,1.334146241825153e-13
293.0,2.3853669569733555e-13
294.0,2.391106575032286e-13
295.0,1.4982607018743738e-13
296.0,4.2041225716951113e-13
297.0,3.7281613919291455e-13
298.0,2.595409352194347e-13
299.0,1.1116389324677299e-13
300.0,5.684402221232967e-14
301.0,9.187703209242216e-14
302.0,2.7221396262594665e-13
303.0,2.2935651243045554e-13
304.0,4.153599487752189e-13
305.0,4.840871661286209e-13
306.0,1.2348094258002634e-13
307.0,4.67158143991046e-13
308.0,3.988533930170839e-13
309.0,2.1822233996740425e-13
310.0,5.060115792781962e-13
311.0,2.5790217970888395e-13
312.0,5.244341678290466e-13
313.0,5.148631213380365e-13
314.0,4.3624095285151736e-13
315.0,1.5895070981969526e-13
316.0,8.632437816068426e-13
317.0,3.523187187691947e-13
318.0,6.807846284714907e-13
319.0,9.587006382481979e-13
320.0,7.727774230688771e-13
321.0,7.629651113323857e-13
322.0,5.436387981458021e-13
323.0,7.148371001361883e-13
324.0,7.317458280992208e-13
325.0,7.897671238225754e-13
326.0,1.1161567840584948e-12
327.0,1.1371627589053372e-12
328.0,9.166042677687176e-13
329.0,9.11502328698255e-13
330.0,8.711185334624952e-13
331.0,4.97276901099791e-13
332.0,5.17536953342656e-13
333.0,5.97047710030937e-13
334.0,6.144433663237299e-13
335.0,7.887372022833332e-13
336.0,7.172276731003346e-13
337.0,1.0102842539352183e-12
338.0,1.2422352874035454e-13
339.0,3.877534025482804e-13
340.0,3.557840634582156e-13
341.0,3.0064998897558886e-13
342.0,5.668277671315754e-13
343.0,1.1557655018479803e-13
344.0,1.2407936247254904e-12
345.0,1.3961909960038564e-12
346.0,6.003900835623263e-13
347.0,1.2677550789639277e-12
348.0,1.3822029763509515e-12
349.0,4.544011938474258e-13
350.0,1.02989913652525e-12
351.0,7.535441220554667e-13
352.0,3.1771295722442826e-13
353.0,8.392929171138731e-13
354.0,5.149220982362038e-13
355.0,3.6890208975857346e-13
356.0,3.590899720918431e-13
357.0,1.1657144567694506e-13
358.0,3.108962783363705e-13
359.0,1.8495426762589828e-13
360.0,2.2032331983088788e-13
361.0,2.1012768275910584e-13
362.0,2.1131767070258772e-13
363.0,1.0716835910837174e-13
364.0,3.0242466755947047e-13
365.0,1.5639091082600285e-13
366.0,9.424472823955935e-14
367.0,1.9111617169971774e-13
368.0,1.3414230463363177e-13
369.0,3.2220393136489195e-13
370.0,1.9335102729479344e-13
371.0,2.545750408580527e-13
372.0,3.288942893899204e-13
373.0,1.961958767079574e-13
374.0,3.206358110304387e-13
375.0,3.3510126377479324e-13
376.0,1.2391142454786907e-13
377.0,4.09003882294722e-14
378.0,9.905449508420137e-14
379.0,2.275966455322949e-14
380.0,6.403445482103781e-14
381.0,5.4804736975971546e-14
382.0,1.3217037121802984e-13
383.0,1.0382609109218497e-13
384.0,2.461134092980746e-13
385.0,1.0654508279000031e-13
386.0,3.3252801161532323e-13
387.0,3.7679483218911103e-13
388.0,7.675670918336521e-14
389.0,2.2663061202023824e-13
390.0,1.6969200734370928e-13
391.0,2.6755163769600373e-13
392.0,2.1881459041922206e-13
393.0,2.287663832436887e-13
394.0,1.7914433762548602e-13
395.0,2.415675803583507e-13
396.0,3.1064525053738773e-13
397.0,8.127287656675436e-14
398.0,1.0009698438311057e-13
399.0,1.154319556968379e-13
400.0,9.65298674243139e-14
401.0,3.4705572468479496e-13
402.0,7.927930149117891e-14
403.0,2.1773288039892962e-13
404.0,1.366341286710515e-13
405.0,2.1973053581300411e-13
406.0,1.6289949249197699e-13
407.0,9.802348518234224e-14
408.0,2.907607100073713e-13
409.0,5.29940312463666e-14
410.0,3.6772136778144865e-13
411.0,4.824519707065246e-14
412.0,1.8021615676755202e-13
413.0,3.026110500754419e-13
414.0,1.1754621059402638e-13
415.0,4.051863326357786e-13
416.0,5.540667530328891e-13
417.0,3.4040200732113194e-13
418.0,2.416625086961672e-13
419.0,2.164794735505255e-13
420.0,1.3882121775388282e-13
421.0,2.418510913487927e-13
422.0,1.3506190868059336e-13
423.0,1.4394046556131654e-13
424.0,4.797310858921376e-13
425.0,8.226977617409897e-13
426.0,2.2539178043813142e-13
427.0,6.184115201622069e-13
428.0,2.7772877210721174e-13
429.0,5.85701200292836e-13
430.0,2.2749015091449654e-13
431.0,2.862371851955326e-13
432.0,3.238604288819712e-13
433.0,8.970041250291835e-14
434.0,4.256465789195943e-13
435.0,1.8185547269478446e-13
436.0,4.762797231759836e-13
437.0,5.160534137080298e-13
438.0,1.8586767011265716e-13
439.0,4.852973633844081e-13
440.0,3.3229008064507353e-13
441.0,3.8150424538037184e-13
442.0,1.724566087557644e-13
443.0,3.2880373806937144e-13
444.0,2.293606975404019e-13
445.0,3.020353334124014e-13
446.0,7.544491050704051e-13
447.0,6.15458713760766e-13
448.0,3.141274263532531e-13
449.0,5.770919802890662e-13
450.0,7.066193065878032e-13
451.0,5.474721648834415e-13
452.0,1.3704548350586288e-12
453.0,1.2293139840191117e-12
454.0,4.67436558540913e-13
455.0,1.4804547816623782e-12
456.0,1.2355013886587822e-12
457.0,2.4998679319116724e-13
458.0,5.091663243867484e-13
459.0,3.391947726389878e-13
460.0,4.4353634618898915e-13
461.0,7.40810990264602e-14
462.0,2.4483693546183383e-13
463.0,2.488009665233827e-13
464.0,2.909207980135124e-13
465.0,3.2588321796608543e-13
466.0,1.2847732927167114e-13
467.0,5.64664068839334e-13
468.0,5.098276170502411e-13
469.0,2.4542709070927406e-13
470.0,1.7505784267492724e-13
471.0,6.754451246113773e-14
472.0,2.586937469126208e-13
473.0,2.447697168977393e-13
474.0,9.182065695207772e-14
475.0,1.708795503912428e-13
476.0,2.7270254445695447e-13
477.0,1.4365799703181042e-13
478.0,6.962202614379928e-14
479.0,2.4731516832320165e-13
480.0,4.7743067578705726e-14
481.0,2.038636285000741e-13
482.0,6.841610422533683e-14
483.0,1.0613082191430449e-13
484.0,2.6637179027240935e-13
485.0,5.5227476069639626e-14
486.0,1.9389135784132182e-13
487.0,4.106443596755215e-14
488.0,1.4622841390845626e-13
489.0,5.304123899781936e-14
490.0,6.988584580317313e-14
491.0,1.3996306069346018e-13
492.0,5.5901778430070534e-14
493.0,1.1166542655810837e-13
494.0,2.4949872452535386e-14
495.0,1.6851186185910385e-13
496.0,2.102048413276605e-13
497.0,8.825280043628229e-14
498.0,1.0466789249025034e-13
499.0,3.4054672916449516e-14
