Frequency (Hz),Magnitude (db)
0.0,-284.01560790973735
1.0,-283.8602701924391
2.0,-284.6913726528918
3.0,-283.3756189232764
4.0,-283.5811688522407
5.0,-283.09997849679525
6.0,-285.1307408805026
7.0,-280.56862455567807
8.0,-276.33447634256635
9.0,-277.624965874362
10.0,-279.54090290014227
11.0,-283.73211026684334
12.0,-282.7737744888839
13.0,-282.6016441017956
14.0,-279.9821554556077
15.0,-281.43197444455797
16.0,-273.04024673757795
17.0,-279.1913246368351
18.0,-281.5654847462136
19.0,-285.1497922751731
20.0,-283.0955563075724
21.0,-281.22603870488774
22.0,-283.07342686682165
23.0,-284.2737086914173
24.0,-284.7582769994158
25.0,-284.2637640097425
26.0,-281.70043760781203
27.0,-285.5008842361067
28.0,-284.62112875274556
29.0,-286.20609118961937
30.0,-286.0154677612251
31.0,-285.46048680045266
32.0,-283.96027880757913
33.0,-279.28462423603884
34.0,-283.26858609645694
35.0,-284.50692682527017
36.0,-285.3252832179445
37.0,-283.1770897242914
38.0,-285.5186934290793
39.0,-285.83461687739515
40.0,-285.2155001410626
41.0,-285.6229296280048
42.0,-285.5153190575128
43.0,-285.46961934121595
44.0,-286.12718391857885
45.0,-283.5982027821518
46.0,-285.9559786535336
47.0,-284.87755108535714
48.0,-285.88134769039
49.0,-283.6134674357067
50.0,-286.799249757149
51.0,-284.65782932510683
52.0,-282.92385075724434
53.0,-284.723581520626
54.0,-284.7882301791277
55.0,-285.34193211402004
56.0,-286.17307121471976
57.0,-286.82491628002737
58.0,-286.9590120533528
59.0,-284.3094892849542
60.0,-285.6096967761992
61.0,-286.6556626597943
62.0,-286.6033564685208
63.0,-285.50947127464246
64.0,-286.79362048249095
65.0,-285.6340088112588
66.0,-285.74812674505694
67.0,-285.461991802943
68.0,-284.0530695568356
69.0,-285.30750658611635
70.0,-285.3458193269821
71.0,-285.8143054363174
72.0,-286.7022517802241
73.0,-283.9940155491977
74.0,-281.1010639767825
75.0,-283.8063999129691
76.0,-285.26374071216827
77.0,-281.9737344089952
78.0,-285.6290184042072
79.0,-282.70595244993547
80.0,-282.3135428730138
81.0,-282.68221236205386
82.0,-284.87259553456084
83.0,-278.15285742464647
84.0,-275.9110867154353
85.0,-279.60353706843273
86.0,-286.24994056952244
87.0,-283.62483017816953
88.0,-286.57200454011286
89.0,-285.670904745004
90.0,-284.081288397832
91.0,-284.6223578509641
92.0,-282.33020979310356
93.0,-286.8736955815724
94.0,-284.18421207318056
95.0,-283.49420902371565
96.0,-286.9516582250986
97.0,-284.214225054021
98.0,-284.9299639698678
99.0,-281.83255955538084
100.0,-284.23327345242046
101.0,-284.90878779549604
102.0,-284.56091952097773
103.0,-282.47831592524653
104.0,-286.5953146784525
105.0,-283.9247759870582
106.0,-283.6029038971539
107.0,-280.996616173594
108.0,-285.29695874700036
109.0,-281.88056143949416
110.0,-281.1100748226739
111.0,-278.10096960070206
112.0,-284.32991589775185
113.0,-277.236844517281
114.0,-275.02970738944117
115.0,-267.8434029885907
116.0,-271.09877815002835
117.0,-267.23325917804846
118.0,-273.22501555987793
119.0,-273.82220117180316
120.0,-284.5927761133874
121.0,-279.31454043438083
122.0,-280.9022383719364
123.0,-279.1301364062683
124.0,-284.8040199409896
125.0,-283.9110832132757
126.0,-282.6347953583099
127.0,-281.4805669542467
128.0,-286.49126471988905
129.0,-283.6688628669653
130.0,-282.3451245995002
131.0,-281.81858587328765
132.0,-282.8906553480989
133.0,-282.2623757208711
134.0,-285.03217859025534
135.0,-284.42755430380134
136.0,-285.61697978342414
137.0,-284.00833073346837
138.0,-286.2270694748605
139.0,-283.6389160368959
140.0,-286.3307973001131
141.0,-284.0575745709174
142.0,-285.4646118735119
143.0,-281.3881402411862
144.0,-285.3815106795657
