Frequency (Hz),Magnitude
0.0,4.957056987109354e-11
1.0,52.33577836920936
2.0,99.57554864360023
3.0,137.11593151379026
4.0,161.29151891268566
5.0,169.7301523053772
6.0,161.58394873883324
7.0,137.61374347566203
8.0,100.11861769302686
9.0,52.716993593180746
10.0,1.478136036456675e-10
11.0,52.90991423819041
12.0,100.85298504140475
13.0,139.13146117426194
14.0,163.9662967851449
15.0,172.8671591587097
16.0,164.8798285273454
17.0,140.68665176806655
18.0,102.54966752597629
19.0,54.10102998241258
20.0,6.756922821071808e-11
21.0,54.51134740648393
22.0,104.11166438578361
23.0,143.9151490816281
24.0,169.9482702633262
25.0,179.54232179022932
26.0,171.6034396509704
27.0,146.7331336456383
28.0,107.18645799625581
29.0,56.67035476881106
30.0,3.988358212269336e-11
31.0,57.35528593344394
32.0,109.79414881028741
33.0,152.12399460019333
34.0,180.06882857469282
35.0,190.69508173901346
36.0,182.7136322670983
37.0,156.62753975999343
38.0,114.70933843291913
39.0,60.80776148442624
40.0,1.6404636960103558e-11
41.0,61.87949167583772
42.0,118.7904655901336
43.0,165.0671996770628
44.0,195.97273910027477
45.0,208.17376204862282
46.0,200.08945100809217
47.0,172.07891886252145
48.0,126.44641391384373
49.0,67.26038654790625
50.0,1.5254879938902125e-11
51.0,68.9408142474413
52.0,132.84767307036932
53.0,185.3242395182724
54.0,220.91547954603516
55.0,235.65646441780126
56.0,227.49322642610574
57.0,196.53297350486082
58.0,145.09593567626834
59.0,77.5589494974017
60.0,2.9818438834721323e-11
61.0,80.32839421634236
62.0,155.6525617102222
63.0,218.40063357745828
64.0,261.93002057450315
65.0,281.1922421432696
66.0,273.27186666392987
67.0,237.74605992959653
68.0,176.8260226417062
69.0,95.26020187432287
70.0,1.5746084359328643e-11
71.0,100.35003207422157
72.0,196.25571785062107
73.0,278.09210912445855
74.0,337.02744579767
75.0,365.8760278393754
76.0,359.84433563000886
77.0,317.1018337679465
78.0,239.12106123776525
79.0,130.74981554633308
80.0,8.486311321888477e-11
81.0,142.4387823410429
82.0,283.9295125886818
83.0,410.80945083627074
84.0,509.43369444778085
85.0,567.2594707290186
86.0,573.8849872901382
87.0,521.9586423814386
88.0,407.8833083417588
89.0,232.25556761290449
90.0,4.537768875786334e-11
91.0,279.8177368491655
92.0,594.4901429773872
93.0,928.4459301791125
94.0,1264.2513375263816
95.0,1583.7614338821718
96.0,1869.3361934286686
97.0,2105.0309267563066
98.0,2277.6725853916914
99.0,2377.7423488076815
100.0,21600.000000000047
101.0,2343.8056479589372
102.0,2213.117718988897
103.0,2016.1709163686905
104.0,1764.8620473819792
105.0,1473.893317313099
106.0,1159.740198908841
107.0,839.5229749627223
108.0,529.8666615196895
109.0,245.8329219705467
110.0,1.2504865479525096e-10
111.0,198.24662448457767
112.0,343.1680239141376
113.0,432.84610624863063
114.0,469.0765911905927
115.0,457.00048594372697
116.0,404.5132195637968
117.0,321.50620625295306
118.0,219.00633943941062
119.0,108.28406337654701
120.0,3.851967537354999e-11
121.0,96.54611778327968
122.0,174.0115333136397
123.0,227.41374857889923
124.0,254.32043679938374
125.0,254.82358390702436
126.0,231.31299455723925
127.0,188.07978662917554
128.0,130.79274045905888
129.0,65.89848561259842
130.0,8.083265078254217e-11
131.0,60.733325774418574
132.0,111.07642897740118
133.0,147.14184132408587
134.0,166.6293189442763
135.0,168.91939635041712
136.0,155.0125082437982
137.0,127.32854142722798
138.0,89.39293526354835
139.0,45.443862737959904
140.0,2.419597548659399e-11
141.0,42.57033968693335
142.0,78.440305691539
143.0,104.64307588692662
144.0,119.29336438871407
145.0,121.69734684893785
146.0,112.34726587983744
147.0,92.80755668408376
148.0,65.50876768332903
149.0,33.47305290787473
150.0,1.6826794149849207e-10
151.0,31.656300970605805
152.0,58.58880759224097
153.0,78.4910209877292
154.0,89.84148483122821
155.0,92.0057139729425
156.0,85.25024104837053
157.0,70.67182960550703
158.0,50.052591730150006
159.0,25.65809244683397
160.0,4.395354507363405e-11
161.0,24.412878317959827
162.0,45.311363886958745
163.0,60.868901119740514
164.0,69.85333792795663
165.0,71.71562488544352
166.0,66.60999672683542
167.0,55.34685472836718
168.0,39.285818870073804
169.0,20.181699693267277
170.0,8.026652580278018e-12
171.0,19.279304557369862
172.0,35.85066729718886
173.0,48.24702569683794
174.0,55.464573886188184
175.0,57.03813728632064
176.0,53.062126962614144
177.0,44.157405636888306
178.0,31.389498916924115
179.0,16.147963970017557
180.0,3.263987023146007e-11
181.0,15.466713804912818
182.0,28.796561397409455
183.0,38.79959111363447
184.0,44.6542352549494
185.0,45.97062845805206
186.0,42.81009762534211
187.0,35.66074613813383
188.0,25.373239757884512
189.0,13.064530034376316
190.0,3.8921061819917345e-11
191.0,12.533840950844583
192.0,23.35356424738388
193.0,31.48817420349203
194.0,36.26373057215402
195.0,37.35611979655508
196.0,34.80817952083682
197.0,29.010941440930882
198.0,20.6522030760095
199.0,10.638644435437598
200.0,4.2056027512907435e-11
201.0,10.214812768521943
202.0,19.039319037230488
203.0,25.679190782119495
204.0,29.581873005750012
205.0,30.480219758236764
206.0,28.406954448348145
207.0,23.679697925364852
208.0,16.859149866422776
209.0,8.685494013455981
210.0,4.2093575825455666e-11
211.0,8.340047394518505
212.0,15.544630368284848
213.0,20.964528550492027
214.0,24.14838222389189
215.0,24.87842100673064
216.0,23.182238661604817
217.0,19.320410115733623
218.0,13.75208984437869
219.0,7.082777484372905
220.0,3.0143845411017395e-11
221.0,6.796393322398465
222.0,12.662364819975203
223.0,17.06971568229734
224.0,19.65251101581478
225.0,20.23594076484198
226.0,18.845513571367256
227.0,15.69647222287901
228.0,11.16524468693927
229.0,5.746418997860418
230.0,3.9540626563433434e-11
231.0,5.505537065216041
232.0,10.248691054976607
233.0,13.803545958303278
234.0,15.877095854350786
235.0,16.33211008555713
236.0,15.193903237026085
237.0,12.641011609085359
238.0,8.981349589508927
239.0,4.616774225298168
240.0,5.5966936444373216e-11
241.0,4.41160768813752
242.0,8.200713293981513
243.0,11.028861516932492
244.0,12.66594404472676
245.0,13.007799292784402
246.0,12.08073198411951
247.0,10.033076514792217
248.0,7.115197287550331
249.0,3.650397869762745
250.0,6.039740326896826e-11
251.0,3.473713133785356
252.0,6.442945590723926
253.0,8.644809279595085
254.0,9.903945377267767
255.0,10.145471524611
256.0,9.397423209206547
257.0,7.782938237196272
258.0,5.503441229266056
259.0,2.814922911188161
260.0,9.670858482558403e-12
261.0,2.661262898904431
262.0,4.918804618673975
263.0,6.575640779692367
264.0,7.504473759440331
265.0,7.656503604304412
266.0,7.061953805378276
267.0,5.822684740650971
268.0,4.098048091133646
269.0,2.08576176792173
270.0,4.53052996927122e-11
271.0,1.9509355688185959
272.0,3.5850769292919162
273.0,4.76340560827801
274.0,5.40114360154997
275.0,5.472864780624299
276.0,5.011254524033058
277.0,4.100011111274545
278.0,2.8619631405006554
279.0,1.443916201659801
280.0,1.3471338763925995e-10
281.0,1.3246544232026385
282.0,2.408215439071308
283.0,3.163047489842211
284.0,3.542262397765035
285.0,3.5415025131162245
286.0,3.1960694865723913
287.0,2.5740087234554254
288.0,1.7661634858023183
289.0,0.8744847898385931
290.0,4.5567402926184965e-11
291.0,0.76820116141901
292.0,1.3617973207232246
293.0,1.739030332185185
294.0,1.88700524164975
295.0,1.8204620987654963
296.0,1.5773952418505617
297.0,1.2122418115589069
298.0,0.7876077631063102
299.0,0.3656221942362624
300.0,1.5541822866767054e-11
301.0,0.27024514449432147
302.0,0.42474012230499103
303.0,0.46296573627777915
304.0,0.40271932734561117
305.0,0.276146993563092
306.0,0.12396160499846684
307.0,0.01132476215450801
308.0,0.09222002628194718
309.0,0.09220140646393551
310.0,1.2089248793152805e-10
311.0,0.17835000087381903
312.0,0.41997477832341107
313.0,0.6880878919322595
314.0,0.9370120102697967
315.0,1.118652424844683
316.0,1.1895841343379063
317.0,1.1178217791305747
318.0,0.8883637826861347
319.0,0.5067368989638553
320.0,2.99620838489133e-11
321.0,0.5850304847797567
322.0,1.186231789730734
323.0,1.732866006695737
324.0,2.153783738805873
325.0,2.386201392232273
326.0,2.384008114109699
327.0,2.1245741096242163
328.0,1.6131697339912323
329.0,0.8843513810457029
330.0,3.2419686927422724e-11
331.0,0.9559247128937891
332.0,1.8854687996692376
333.0,2.686817085958387
334.0,3.265418575379434
335.0,3.5448926078173457
336.0,3.476480236272252
337.0,3.0459192357050755
338.0,2.276864339809995
339.0,1.2303234382952488
340.0,6.088277013446842e-11
341.0,1.2961223090054443
342.0,2.5271931911342347
343.0,3.5627932634940565
344.0,4.286756567125258
345.0,4.610053742473426
346.0,4.481321235009439
347.0,3.8938255224979343
348.0,2.887991364295131
349.0,1.5490667553044097
350.0,3.320949809448197e-11
351.0,1.6098859473372233
352.0,3.11937408710202
353.0,4.371575953621377
354.0,5.230256756174011
355.0,5.594563506522206
356.0,5.410573325393371
357.0,4.678365042099835
358.0,3.4537465280781143
359.0,1.8443015254290869
360.0,2.4091572636016307e-11
361.0,1.9008141095525715
362.0,3.6687440679779186
363.0,5.122280623827131
364.0,6.106461031059441
365.0,6.509327136456761
366.0,6.274441119171605
367.0,5.408079307840711
368.0,3.98023664489508
369.0,2.119187325109204
370.0,1.076287327533902e-10
371.0,2.1719675217012995
372.0,4.181033806729154
373.0,5.822671902192722
374.0,6.924355600951227
375.0,7.363647319103066
376.0,7.081635933891337
377.0,6.090265164340224
378.0,4.472682391535804
379.0,2.3764271900463183
380.0,5.2800708864014903e-11
381.0,2.4259683845589324
382.0,4.6611563972318475
383.0,6.479411366107738
384.0,7.691655521116646
385.0,8.165516437033062
386.0,7.839647328300032
387.0,6.731200465942141
388.0,4.93557852290921
389.0,2.6183499265411037
390.0,6.711784726128073e-11
391.0,2.6650789998992055
392.0,5.1133535404961945
393.0,7.098254238030596
394.0,8.415030759990954
395.0,8.921848976704382
396.0,8.554959235652678
397.0,7.336323871984405
398.0,5.372821627176191
399.0,2.8469758048921534
400.0,5.7209978607246156e-11
401.0,2.8912646311205488
402.0,5.541312526403131
403.0,7.684206922812413
404.0,9.100287408314792
405.0,9.638667988989766
406.0,9.233223515966454
407.0,7.9103793407301355
408.0,5.787812885132171
409.0,3.0640694434607534
410.0,1.1304543519997812e-10
411.0,3.1062441948805697
412.0,5.94826064250708
413.0,8.241654251755188
414.0,9.752514176428644
415.0,10.321255946779502
416.0,9.879400485637612
417.0,8.457533228343058
418.0,6.183541414249065
419.0,3.271182737634684
420.0,9.620164425510512e-11
421.0,3.311531474869909
