Frequency (Hz),Magnitude (db)
0.0,-292.61111807001305
1.0,-52.313101270201166
2.0,-46.72602086354907
3.0,-43.94731665420803
4.0,-42.53684438773253
5.0,-42.093895004405624
6.0,-42.521110681422805
7.0,-43.915838842472816
8.0,-46.67877812687473
9.0,-52.25006232632283
10.0,-283.2362223506759
11.0,-52.21833387134572
12.0,-46.61529988372855
13.0,-43.82056809975042
14.0,-42.39398326016931
15.0,-41.93482512293662
16.0,-42.34572448079128
17.0,-43.72401714517987
18.0,-46.47038988921714
19.0,-52.02496435622159
20.0,-289.96648979824744
21.0,-51.9593366827879
22.0,-46.33908723499956
23.0,-43.52694478483262
24.0,-42.08274004933435
25.0,-41.60573828188995
26.0,-41.99855524944728
27.0,-43.358511173599965
28.0,-46.08627662726463
29.0,-51.62195639445017
30.0,-294.458096210053
31.0,-51.51760603914874
32.0,-45.87749109999305
33.0,-43.04512060381487
34.0,-41.58030423688562
35.0,-41.08228517899953
36.0,-41.45365599742269
37.0,-42.7917124976678
38.0,-45.49709952204666
39.0,-51.00989470245639
40.0,-301.8757756459852
41.0,-50.858140274535714
42.0,-45.193443332633876
43.0,-42.335859349945224
44.0,-40.84516176749495
45.0,-40.32055520882458
46.0,-40.66459117030847
47.0,-41.97452164696883
48.0,-44.6509446822711
49.0,-50.13388784517669
50.0,-302.46939970148475
51.0,-49.919546853508464
52.0,-44.22199598682788
53.0,-41.33043048979192
54.0,-39.80455206404252
55.0,-39.24348787057947
56.0,-39.54970562026009
57.0,-40.82036652320704
58.0,-43.45597007379393
59.0,-48.89643666072616
60.0,-296.91286232410414
61.0,-48.5916933150095
62.0,-42.84594957019577
63.0,-39.903997144672765
64.0,-38.32536948195397
65.0,-37.709008329124444
66.0,-37.95717655539448
67.0,-39.16680845741326
68.0,-41.73815145449293
69.0,-47.1108450724503
70.0,-302.2108095298122
71.0,-46.65872471033417
72.0,-40.83262865023471
73.0,-37.80530170473036
74.0,-36.1357696422012
75.0,-35.422395913261006
76.0,-35.566781607516674
77.0,-36.6650999527072
78.0,-39.11671843365853
79.0,-44.36025332573386
80.0,-288.01294240204845
81.0,-43.616509975266624
82.0,-37.624864284987616
83.0,-34.41626649983858
84.0,-32.5473216981463
85.0,-31.613439914655103
86.0,-31.512577746142906
87.0,-32.33635316592726
88.0,-34.47835635886314
89.0,-39.36975234971968
90.0,-293.36289298937993
91.0,-37.75157022865314
92.0,-31.206181860274896
93.0,-27.33394268613596
94.0,-24.652406587604947
95.0,-22.695279757640023
96.0,-21.255326728767603
97.0,-20.223905407034376
98.0,-19.5392491319093
99.0,-19.16577916583776
