Frequency (Hz),Magnitude
0.0,0.0
1.0,1.5845229098832067e-27
2.0,5.048709793414476e-29
3.0,7.281352814037239e-28
4.0,6.8669877362290805e-28
5.0,6.386168876955164e-28
6.0,1.2772337753910328e-27
7.0,6.465503209195364e-28
8.0,1.761269022425907e-27
9.0,2.4317806591310125e-27
10.0,8.140799930173325e-28
11.0,1.0875253720372378e-27
12.0,1.2931006418390727e-27
13.0,1.004997647588279e-27
14.0,8.582806648804608e-28
15.0,4.515703318697475e-28
16.0,4.515703318697475e-28
17.0,1.151282966981706e-27
18.0,1.795134066814711e-27
19.0,8.567944634799143e-28
20.0,8.140799930173325e-28
21.0,1.135959703518257e-27
22.0,9.143602326010854e-28
23.0,8.988972228939077e-28
24.0,1.1175795534671538e-27
25.0,3.071010275773123e-28
26.0,1.5146129380243427e-28
27.0,9.087677628146056e-28
28.0,2.059477580406993e-27
29.0,8.641999120220354e-28
30.0,1.6045050727218168e-27
31.0,1.5651000359584874e-27
32.0,5.179543202201378e-28
33.0,5.644629148371844e-28
34.0,1.628159986034665e-27
35.0,6.582712205679564e-28
36.0,1.0377524425052143e-27
37.0,8.597642972149157e-28
38.0,4.789626657716373e-28
39.0,9.645546516923507e-28
40.0,1.4702064838057652e-27
41.0,2.2578516593487376e-28
42.0,1.2284041103092492e-27
43.0,1.946374209825277e-27
44.0,9.147086266821604e-28
45.0,1.743815884768121e-27
46.0,9.802821230620781e-28
47.0,3.675516209514413e-28
48.0,2.0194839173657902e-28
49.0,1.535505137886562e-27
50.0,9.431768249784138e-28
51.0,8.140799930173325e-28
52.0,9.312782808701741e-28
53.0,1.264447326705438e-27
54.0,4.070399965086662e-28
55.0,5.437626860186189e-28
56.0,1.5334287270139097e-27
57.0,1.4279907724665237e-28
58.0,5.909363306822771e-28
59.0,7.837705282368518e-28
60.0,1.278231224801461e-27
61.0,7.4543306782232255e-28
62.0,8.738243261696165e-28
63.0,1.5683538856994317e-27
64.0,1.0059482998401726e-27
65.0,7.689965652799539e-28
66.0,1.456489337023781e-27
67.0,5.76194719066396e-28
68.0,5.553580772755923e-28
69.0,2.1419861586997857e-28
70.0,1.171039502793486e-27
71.0,1.8919193708856606e-27
72.0,1.0792908808194616e-27
73.0,2.145701662201152e-28
74.0,6.797033575232736e-28
75.0,1.8238354943482594e-27
76.0,5.553580772755923e-28
77.0,6.773554978046213e-28
78.0,3.0942660496321317e-28
79.0,2.6834260635088654e-28
80.0,1.3126645462877636e-27
81.0,9.101691017546548e-28
82.0,9.101691017546549e-29
83.0,5.644629148371844e-28
84.0,2.37678436482481e-27
85.0,1.5813023315335676e-27
86.0,6.331049872184905e-28
87.0,1.7892673094347242e-27
88.0,1.2328056145314879e-27
89.0,1.7670484276950664e-27
90.0,5.672782086849057e-28
91.0,1.628159986034665e-27
92.0,1.4816479519577243e-27
93.0,1.9561714573472722e-27
94.0,1.4288829879690467e-27
95.0,6.8669877362290805e-28
96.0,6.582712205679564e-28
97.0,6.465503209195364e-28
98.0,1.1289258296743688e-28
99.0,1.80628132747899e-27
100.0,1.2712326437960755e-27
101.0,6.465503209195364e-28
102.0,2.7767903863779616e-28
103.0,1.0866460898247295e-27
104.0,7.228652342251938e-28
105.0,3.3867774890231064e-28
106.0,2.1902324905822306e-27
107.0,2.3762480867573284e-27
108.0,9.662048747153045e-28
109.0,2.789269376952761e-27
110.0,1.4536427040115752e-27
111.0,7.228652342251938e-28
112.0,8.391344497281374e-28
113.0,9.03140663739495e-28
114.0,3.281661365719409e-28
115.0,1.596542219238791e-28
116.0,1.4136387421560532e-27
117.0,6.386168876955164e-28
118.0,4.046848755073707e-28
119.0,7.4543306782232255e-28
120.0,3.232751604597682e-28
121.0,6.331049872184905e-28
122.0,1.7256324638487713e-27
123.0,5.048709793414476e-28
124.0,9.257880147146318e-28
125.0,1.743815884768121e-27
126.0,5.887756787286832e-28
127.0,7.1399538623326185e-28
128.0,1.3126645462877636e-27
129.0,8.571662554104e-28
130.0,6.079451647827532e-28
131.0,9.698254813793045e-28
132.0,4.515703318697475e-28
133.0,1.7670484276950664e-28
134.0,1.165585167121543e-27
135.0,6.563322731438818e-28
136.0,7.505446687415981e-28
137.0,1.654752663347142e-27
138.0,6.746453579552309e-28
139.0,6.664488163570611e-28
140.0,1.4317788485814558e-27
