Frequency (Hz),Magnitude (db)
0.0,-42.15483650366538
1.0,-42.15483650366537
2.0,-42.15483650366538
3.0,-42.15483650366538
4.0,-42.15483650366538
5.0,-42.15483650366538
6.0,-42.15483650366537
7.0,-42.15483650366538
8.0,-42.15483650366537
9.0,-42.154836503665365
10.0,-42.15483650366538
11.0,-42.15483650366537
12.0,-42.15483650366537
13.0,-42.15483650366537
14.0,-42.15483650366538
15.0,-42.15483650366538
16.0,-42.15483650366538
17.0,-42.15483650366537
18.0,-42.15483650366537
19.0,-42.15483650366538
20.0,-42.15483650366538
21.0,-42.15483650366537
22.0,-42.15483650366537
23.0,-42.15483650366538
24.0,-42.15483650366537
25.0,-42.15483650366538
26.0,-42.15483650366538
27.0,-42.15483650366537
28.0,-42.154836503665365
29.0,-42.15483650366538
30.0,-42.15483650366537
31.0,-42.15483650366537
32.0,-42.15483650366538
33.0,-42.15483650366538
34.0,-42.15483650366537
35.0,-42.15483650366538
36.0,-42.15483650366537
37.0,-42.15483650366538
38.0,-42.15483650366538
39.0,-42.15483650366537
40.0,-42.15483650366537
41.0,-42.15483650366538
42.0,-42.15483650366537
43.0,-42.154836503665365
44.0,-42.15483650366537
45.0,-42.15483650366537
46.0,-42.15483650366537
47.0,-42.15483650366538
48.0,-42.15483650366538
49.0,-42.15483650366537
50.0,-42.15483650366537
51.0,-42.15483650366538
52.0,-42.15483650366537
53.0,-42.15483650366537
54.0,-42.15483650366538
55.0,-42.15483650366538
56.0,-42.15483650366537
57.0,-42.15483650366538
58.0,-42.15483650366538
59.0,-42.15483650366538
60.0,-42.15483650366537
61.0,-42.15483650366538
62.0,-42.15483650366538
63.0,-42.15483650366537
64.0,-42.15483650366537
65.0,-42.15483650366538
66.0,-42.15483650366537
67.0,-42.15483650366538
68.0,-42.15483650366538
69.0,-42.15483650366538
70.0,-42.15483650366537
71.0,-42.15483650366537
72.0,-42.15483650366537
73.0,-42.15483650366538
74.0,-42.15483650366538
75.0,-42.15483650366537
76.0,-42.15483650366538
77.0,-42.15483650366538
78.0,-42.15483650366538
79.0,-42.15483650366538
80.0,-42.15483650366537
81.0,-42.15483650366537
82.0,-42.15483650366538
83.0,-42.15483650366538
84.0,-42.154836503665365
85.0,-42.15483650366537
86.0,-42.15483650366538
87.0,-42.15483650366537
88.0,-42.15483650366537
89.0,-42.15483650366537
90.0,-42.15483650366538
91.0,-42.15483650366537
92.0,-42.15483650366537
93.0,-42.154836503665365
94.0,-42.15483650366537
95.0,-42.15483650366538
96.0,-42.15483650366538
97.0,-42.15483650366538
98.0,-42.15483650366538
99.0,-42.15483650366537
100.0,-42.15483650366537
101.0,-42.15483650366538
102.0,-42.15483650366538
103.0,-42.15483650366537
104.0,-42.15483650366538
105.0,-42.15483650366538
106.0,-42.154836503665365
107.0,-42.154836503665365
108.0,-42.15483650366537
109.0,-42.154836503665365
110.0,-42.15483650366537
111.0,-42.15483650366538
112.0,-42.15483650366538
113.0,-42.15483650366538
114.0,-42.15483650366538
115.0,-42.15483650366538
116.0,-42.15483650366537
117.0,-42.15483650366538
118.0,-42.15483650366538
119.0,-42.15483650366538
120.0,-42.15483650366538
121.0,-42.15483650366538
122.0,-42.15483650366537
123.0,-42.15483650366538
124.0,-42.15483650366537
125.0,-42.15483650366537
126.0,-42.15483650366538
127.0,-42.15483650366538
128.0,-42.15483650366537
129.0,-42.15483650366538
130.0,-42.15483650366538
131.0,-42.15483650366537
132.0,-42.15483650366538
133.0,-42.15483650366538
134.0,-42.15483650366537
135.0,-42.15483650366538
136.0,-42.15483650366538
137.0,-42.15483650366537
138.0,-42.15483650366538
139.0,-42.15483650366538
140.0,-42.15483650366537
141.0,-42.15483650366537
142.0,-42.154836503665365
143.0,-42.15483650366538
144.0,-42.15483650366537
145.0,-42.15483650366538
146.0,-42.15483650366538
147.0,-42.15483650366538
148.0,-42.15483650366537
149.0,-42.15483650366538
150.0,-42.15483650366538
151.0,-42.15483650366538
152.0,-42.15483650366538
153.0,-42.154836503665365
154.0,-42.15483650366537
155.0,-42.15483650366538
156.0,-42.154836503665365
157.0,-42.15483650366538
158.0,-42.154836503665365
159.0,-42.15483650366538
160.0,-42.15483650366538
161.0,-42.154836503665365
162.0,-42.15483650366537
163.0,-42.154836503665365
164.0,-42.15483650366537
165.0,-42.15483650366538
